Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Katsund, 6100 Haderslev  - 1. sal",Haderslev,Katsund,6100,55.24929,9.488356,8.112 kr.,1.000 kr.,140 m²,4,1.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ja,N/A,"Super dejlig lejlighed med højt til loftet.
Lille indgang til tøj og sko.
Stor entre med to skabe.
Eget badeværelse med mulighed for tilslutning af vaskemaskine og tørretumbler.
2 værelser med 2 skabe i hver.
Stort soveværelse med walk inn.
Køkken med spiseplads og opvaskemaskine/kølefrys/kogeplade/ovn.
Dejlig stor lys stue med åbning til køkken.
Lejligheden har hvide væge og lofter, mahogni hoveddør og vinduer, vinylgulv i badeværelse og indgang samt lys asketrægulv i resten af lejligheden. 
Lejligheden blev gennem renoveret i 2011 så den er meget billig at opvarme, tidliger lejer havde et forbrug sidste år på 6960 kr. i varme.
Til lejligheden hører et lille kælderrum med strøm, fælles terrasse og aflåst cykelskur.
Der er en p muligheder.",https://www.boligportal.dk/lejligheder/haderslev/140m2-4-vaer-id-5078977
"Hundige Stationsvej, 2670 Greve  - 3. sal",Greve,Hundige Stationsvej,2670,55.596677,12.331357,12.100 kr.,800 kr.,85 m²,4,3.,Lejlighed,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,N/A,"Lejligheden
                            Dejlig  4-værelses lejlighed, hvor du bliver budt ind i lejligheden gennem en mindre entré med plads til overtøj. I lejligheden findes i øvrigt soveværelse med skabsplads og to ekstra værelser ved siden af soveværelset samt et badeværelse i tidløst minimalistisk design med fliser på gulv og i brusenichen, gulvvarme og vaskesøjle. Resten af lejligheden har flotte egetræsgulve og gulvvarme.  Lejligheden har køkken/alrum med moderne hvidt Svane køkken og med alt i hårde hvidevarer. Her er plads til kombineret spise- og stuearrangement, som ligger i åben forbindelse til altanen, hvor kaffen kan nydes. 
Tanken bag lejlighederne er Simple Living, som først og fremmest handler om, at du får ro og overskud til at fokusere på de få, men vigtige ting i livet. Det handler om at leve med så få ting som muligt og kun eje det, du har brug for i dit daglige liv. Netop dette kan vi tilbyde dig i vores effektive og velindrettede lejligheder. Det handler om at leve med så få ting som muligt og kun eje det, du har brug for i dit daglige liv.

Det er muligt at ansøge om husdyrtilladelse til et husdyr i alle lejemål, som skal godkendes af udlejer.

                                      NB: Billederne viser derfor ikke den pågældende lejlighed, men i stedet billeder fra prøveboligen. Billedernes formål er at give en fornemmelse af stil og materialevalg. Ift. planløsning henviser vi til plantegningen. Kom gerne forbi til et åbent hus, eller ring og book en personlig fremvisning.

                                                      Ejendommen
                            Strandby Høje  er en helt ny og elegant boligejendom, som kendetegnes ved de lyse nuancer samt de skrånende, begrønnede tagflader. Her får du de bedste muligheder for at nyde hverdagen med dine kære og ikke mindst det gode naboskab og fællesskab.

                                      Lokalområdet
              Strandby Højes centrale beliggenhed gør det nemt at få hverdagen til at gå op i en højere enhed. I Hundige Strandby bor du tæt på skole, fritidsaktiviteter, shopping og kultur. 

Her er du omgivet af flere grønne områder og ikke mindst Hundige Strands 8 km lange børnevenlige sandstrand og smukke natur – en oplagt oase til gåture, sommerdage med vandsport eller løbeturen.

Kulturhuset Portalen lokker med koncerter og teaterforestillinger og på ARKEN kan du opleve kunst og udstillinger i verdensklasse. 

Waves ligger lige ved siden af og byder på både shopping og de daglige indkøb, foruden en biograf og et stort udvalg af hyggelige caféer og restauranter. 

Strandby Høje ligger centralt i forhold til både motorvej og offentlig transport med både bus og S-tog station lige uden for døren. S-toget kører dig både til Køge og København på kun 20 minutter.

                      
Bofællesskab ikke muligt.",https://www.boligportal.dk/lejligheder/greve/85m2-4-vaer-id-5368270
"Emma Gads Vej, 2300 København, København S  - 2. sal",København,Emma Gads Vej,2300,55.638003,12.580704,13.600 kr.,700 kr.,70 m²,3,2.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,A,"Velkommen til boligen
BEMÆRK VENLIGST:
Ejendom med butikker og lejligheder boligen er tegnet af Praksis Arkitekter og er kendetegnet ved sin lyse teglkonstruktion med forskellige stentyper, som skaber spil i facaderne og giver bygningen sit eget unikke udtryk. I byggeriets stueetage finder du butikker, cafeer samt bydelens kultur- og beboerhus, mens resten af ejendommen indeholder private boliger.
Lyse og moderne boliger Fra 1. sal består boligen består af 2-4-værelses lejligheder. I alle boliger er der taget udgangspunkt i at sikre gode dagslysforhold og fleksible indretningsmuligheder til de primære opholdsrum. Materialerne i boligerne er lyse, og køkkenet er hvidt og moderne fra Invita.
Indbydende gårdrum Midt i boligen er der skabt et stort grønt gårdrum med plads til ophold og leg. Gårdrummet får tæt beplantning med forskellige græsser, buske og træer og i den nordøstlige del placeres en legeplads med omkringliggende bænke. Midt i gårdrummet er der mulighed for at aflevere sit affald i affaldsstandere, som omkranses af en pergola med klatreplanter.
Husdyr: Kan ansøges
*Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende lejlighed, og at udsigt m.v. derfor kan variere.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/70m2-3-vaer-id-5363017
"Jernbanegade, 9352 Dybvad  - Stuen",Dybvad,Jernbanegade,9352,57.274514,10.360273,3.850 kr.,250 kr.,73 m²,3,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,N/A,"Stor lys lejlighed, der består af stor stue, med åben køkken. For enden af stuen er udgang til stor badeværelse, hvorefter man kommer direkte til baggangen, hvor der ligeledes er adgang direkte ud til parkeringspladsen. Fra den lille mellemgang, kommer man direkte til soveværelset, samt et vaskerum.
Der er lagt fibernet ind, klar til brug - så du bestemmer selv udbyderen !
Forbrugs afgifterne afregnes direkte til varmeværket og el forsyningen.",https://www.boligportal.dk/lejligheder/dybvad/73m2-3-vaer-id-5349906
"Mølleparkvej, 6715 Esbjerg, Esbjerg N  - 3. sal",Esbjerg,Mølleparkvej,6715,55.497727,8.447269,7.995 kr.,840 kr.,103 m²,4,3.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,N/A,"Mølleparkvej består af 132 atrraktive 1-4 vær. lejligheder med skøn placering i Esbjerg.

Lejlighederne henvender sig både til den studerende, enlige, det unge par samt det ældre par, der evt. ønsker at komme i en mindre bolig.

På Mølleparkvej får du :


1-4 værelses lejligheder hvor de fleste er moderniseret med nyt køkken samt nyt badeværelse.
Hyggelige lejligheder hvor størstedelen har en god stor altan med en dejligudsigt ud over grønne områder og byen
Kogeunit, indbygningsovn, emhætte, kølefrys samt opvaskemaskine i de renoverede lejemål. I de ikke renoverede lejemål er der komfur, emhætte samt kølefrys
Nye elevatorer
Gode parkeringsforhold
Cykelparkering
Fælles vaskefaciliteter i kælderen
Et stk kælderrum medfølger - dog ikke til de 1 vær. lejligheder
Ubegrænset lejeperiode

Bofællesskaber og delebolig er ikke tilladt.

Det er ej heller muligt at leje en bolig, såfremt du er registreret i RKI.

Der tillades ikke husdyr i denne ejendom.

Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende bolig, og at udsigt m.v. derfor kan variere.",https://www.boligportal.dk/lejligheder/esbjerg/103m2-4-vaer-id-5317680
"Lyngbyvej, 2100 København, København Ø  - 2. sal",København,Lyngbyvej,2100,55.721333,12.556324,11.700 kr.,700 kr.,64 m²,2,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,N/A,"Velkommen til Rygården ll

Her finder du nyopførte moderne ungdomsboliger på Lyngbyvej, der udlejes til unge mellem 18 og 35 år. 

Rygården ll består af 36 lyse lejligheder fra stuen til tredje sal fordelt på fire etager. Lejlighederne varierer fra et til to værelser og er indrettet i funktionelle planløsninger, designet i nordisk stil med store vinduespartier.

Ilejlighederne får du bl.a.:


Eget køkken fra Svane 
Lyst badeværelse med separat brus 
Eget depotrum i lejligheden
Adgang til fælles tagterrasse
Fælles vaskeri
Cykelparkering 
Elevator i opgangen

Ejendommen ligger i gåafstand til offentlig transport og grønne områder, herunder Ryparken S-togstation, flere busruter, Fælledparken, Mindelunden, tæt på Nørre Campus og DTU Lyngby.

Den moderne rødstensbygning byder på unikke faciliteter ideelt for den kvalitetsbevidste unge, som sætter pris på det ekstraordinære. 

For at komme i betragtning til en af disse moderne ungdomsboliger er det et krav, at du er mellem 18-35 år. Det er altså ikke et krav, at du er studerende.


Husdyr er ikke tilladt i ejendommen.
Der er ikke mulighed for at leje, hvis du er registreret i RKI
Der betales tre måneders leje i depositum, første måneds leje samt en måneds forudbetalt leje.

*Bemærk venligst at lejemålene udlejes umøbleret.

*Billederne er ikke nødvendigvis taget i den enkelte lejlighed, men repræsenterer materialevalget i ejendommen. Udsigt mv. kan ligeledes variere.

ÅBENT HUS:
 - Søndag den 13. august 2023, kl. 12:15-12:45

OBS: Venligst hold dig opdateret, da der godt kan forekomme ændringer.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/64m2-2-vaer-id-5362571
"Foldegade, 7100 Vejle  - 2. sal",Vejle,Foldegade,7100,55.70661,9.533096,6.000 kr.,450 kr.,75 m²,3,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Lys, venlig taglejlighed midt i Vejle ved trafikcenter og å-miljø. Vinduer mod strøget og Foldegade.
Stort køkkenalrum, badeværelse og to værelser samt adgang til tagterrasse. Lyse trægulve, hvide vægge samt hvidt køkken og bad. Opvaskemaskine og vaskemaskine.
Mulighed for at leje parkeringsplads i Foldegade.",https://www.boligportal.dk/lejligheder/vejle/75m2-3-vaer-id-4660708
"Telefontorvet, 8000 Aarhus, Aarhus C  - 3. sal",Aarhus,Telefontorvet,8000,56.155819,10.20671,12.900 kr.,880 kr.,106 m²,3,3.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Nej,C,"Vi udlejer vores 106 kvm store og indbydende 3-værelses lejlighed. Ejendommen er opført i 2005 og har elevator og lækre fællesområder, herunder et skønt roligt gårdmiljø, aflukket og godt placeret bag ejendommen med grill og havemøbler.
Vinduerne er lydisolerede, så til trods for den centrale placering er støjen fra gaden og naboer minimal. 
Det store køkken-alrum, kombineret med stuen er det helt centrale rum i lejligheden. Her får du masser af lys, og direkte udgang til den store og meget anvendelige altan, som har sol fra middag til sen aften. Køkkenet er fra DESIGNA i tidløse hvide elementer med alt i hårde hvidevarer. 
Fra stuen er der adgang til lejlighedens to værelser, som vi anvender som hhv. soveværelse og kontor/børneværelse. Alternativt kan de også anvendes som to værelser såfremt lejligheden skal deles. I begge værelser er der indbygget skabe. Sidst men ikke mindst er der fra stuen adgang til badeværelset. Badeværelset er som køkkenet fra DESIGNA og indeholder gulvvarme, vaske-tørremaskine og separat bruseniche. Der medfølger desuden et privat tørt og aflåst kælderrum. Der er parkeringskælder under ejendommen, hvor man mod betaling kan parkere sin bil. 
Placeringen af lejligheden er central - men også rolig. Med adresse på Telefontorvet når du alle midtbyens mange tilbud i gåafstand og så snart du træder ned på gaden mærker du den stemningsfyldte og livlige beliggenhed. Ejendommen er nabo til Strøget, og der er 2 minutters gang til Salling og Magasin.
Lejligheden udlejes som udgangspunkt ubegrænset. Overtagelsesdatoen er til forhandling – men helst fra midt september :).
Der er vedlagt en tegning med vejledende mål!",https://www.boligportal.dk/lejligheder/aarhus/106m2-3-vaer-id-5369519
"Højervej, 6270 Tønder, Møgeltønder  - 1. sal",Tønder,Højervej,6270,54.942254,8.799283,4.000 kr.,600 kr.,70 m²,4,1.,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Ja,N/A,"Charmerende delevenlig 4 værelses lejlighed. 
2 gode værelser samt 2 gode rumlige stuer, hvor det kan deles op til et værelse samt en stue. 
Inden indflytning vil der komme helt nyt køkken og badeværelse. 
Til lejemålet er der vaskemaskine til.
Lejemålet er opvarmet med luftpumpe. 

Det er tilladt at have indekat eller mindre hund optil 5 kg. i lejemålet.",https://www.boligportal.dk/lejligheder/t%C3%B8nder/70m2-4-vaer-id-5318446
"Erik Ejegods Vej, 8800 Viborg  - 1. sal",Viborg,Erik Ejegods Vej,8800,56.447235,9.393016,7.200 kr.,N/A,79 m²,3,1.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Nej,N/A,"Klippingshusene byder på to-, tre- og fireværelses lejligheder med altaner og små forhaver i den nye bydel Banebyen centralt i Viborg. Boligerne opføres i anden sals højde med alle moderne faciliteter. Her får man et hjem i et bynært område med al den komfort og lys, der er i et nyt byggeri og masser af smuk natur rundt om hjørnet. Her er blot 300 meter til Søndersø og lige så kort vej til Viborgs smukke gamle bymidte.

Klippingshusene har både familieboliger og særligt seniorvenlige boliger.",https://www.boligportal.dk/lejligheder/viborg/79m2-3-vaer-id-5301137
