Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Vestergade, 6100 Haderslev  - 1. sal",Haderslev,Vestergade,6100,55.252686,9.477908,5.495 kr.,1.050 kr.,80 m²,3,1.,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Ja,N/A,"Lejligheden består af køkken med spiseplads, lille gang, lyst badeværelse, værelse med skabe, dejlig stue, soveværelse med skabe og adgang til depotrum. 

Der er fælles parkering og vaskefaciliteter.

Fælles have",https://www.boligportal.dk/lejligheder/haderslev/80m2-3-vaer-id-4623349
"Boller Slotsvej, 8700 Horsens",Horsens,Boller Slotsvej,8700,55.837816,9.896684,9.950 kr.,1.520 kr.,148 m²,4,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Boller Slot er idyllisk beliggende 300 m fra Horsens Fjord omgivet af voldgrav, historisk park og gammel løvskov. Afstand til Horsens er 3 km.
Slottet fremstår i dag med det oprindelige exteriør, men indvendig er slottet blevet renoveret og opdelt i 10 lejligheder af varierende størrelse. Renoveringen er foretaget med nænsom hånd i samarbejde med kongelig bygningsinspektør Baumann Boe Whitehorn Arkitekter samt Slots- og Kulturstyrelsen.
Lejligheden er unik med et vidunderligt lysindfald samt ca. 5 meter højt hvælvingeloft i størstedelen af lejemålet. God rum inddeling med 2 soveværelser. Til lejligheden hører en dobbelt carport med udhus, ligesom der er mulighed for egen lille have.

Der er adgang til slottets park og den gamle hvælvinge vinkælder.
Der er tale om en meget eksklusiv bolig som absolut skal ses.",https://www.boligportal.dk/lejligheder/horsens/148m2-4-vaer-id-4344337
"Enggade, 7100 Vejle  - Stuen",Vejle,Enggade,7100,55.715235,9.533733,5.200 kr.,950 kr.,61 m²,2,Stuen,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"I Vejle midtby ,2 værelses lejlighed ,indeholdende stue og spisestue -renoveret køkken og bad samt 1 værelser, der er  adgang til gårdmiljø, med mulighed for havemøbler/grill,men som også benyttes af de 2 øvrige lejere i ejendommen",https://www.boligportal.dk/lejligheder/vejle/61m2-2-vaer-id-2331508
"Albanivej, 5792 Årslev, Nørre Lyndelse",Årslev,Albanivej,5792,55.300215,10.393742,7.999 kr.,800 kr.,93 m²,3,-,Hus,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,G,"Dejligt lille hus med ugenert have - 2 p pladser og nyrenoveret badeværelse. Tæt på skole, daginstitution samt indkøb.
Godt udnyttet planløsning fra kælder til loft med en førstesal, der blev renoveret i 2023. I stueplan får I et moderne og funktionelt køkken, som blev renoveret i 2022, hvorfra der er åben forbindelse til en spisestue.
- i stueplan er der desuden adgang til en altan med nedgang til haven.
 På førstesalen er to soveværelser samt et nydeligt
badeværelse med brusekabine, mens der i kælderplan også er et ældre badeværelse, et disponibelt rum samt et fyrrum. Ejendommen opvarmes inden efterår med fjernvarme. Afslutningsvis råder ejendommen også over en lille have, som er nem at vedligeholde.
Velkommen til en indflytningsklar bolig med masser af potentiale.",https://www.boligportal.dk/huse/%C3%A5rslev/93m2-3-vaer-id-5366257
"Sønderhaven, 6100 Haderslev  - 1. sal",Haderslev,Sønderhaven,6100,55.246293,9.501252,4.650 kr.,0 kr.,85 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,N/A,"Pæn lejlighed på 85 m2 med udkig over Haderslev havn, udlejes pr. 15-7-2023
Der er fælles vaskekælder hvor der er muligt at tilslutte vaskemaskine og tørretumbler, samt parkering i stor fælles indkørsel til en bil.
Desuden er der et tørt kælderrum, hvor der er mulighed for opbevaring.
Rolig ejendom med kun 2 lejemål, hvor man selv bliver tilsluttet
selvstændig til fjernvarme og elselskab.",https://www.boligportal.dk/lejligheder/haderslev/85m2-2-vaer-id-5241663
"Billeshavehegn, 5500 Middelfart, Billeshave",Middelfart,Billeshavehegn,5500,55.533128,9.797857,9.660 kr.,500 kr.,92 m²,4,-,Rækkehus,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,A,"Rummelige og velindrettede rækkehuse placeret i skøn natur med træer, stier, masser af plads til leg. Husene ligger ved Strib Idrætscenter og tilbyder alt hvad en moderne familie ønsker.

Der er tale om en udstykning placeret på en grund med gamle træer og buske, en mindre sø, og et spændende kuperet terræn. Vi har udvikler til rekreativt område for alle beboere og med god afstand mellem boligerne, er der også plads til privatliv. 

Alle huse har ekstra loftshøjde og akustiklofter, som dæmper lyden og skaber godt inde  akustik miljø. Alle husene er også udstyret med højkvalitets hvidvare fra Miele. 

Vi har udarbejdet et mere detaljeret prospekt, som kan fremsendes til din mail (Se video)",https://www.boligportal.dk/r%C3%A6kkehuse/middelfart/92m2-4-vaer-id-5297048
"Møllehatten, 8240 Aarhus, Risskov  - 4. sal",Aarhus,Møllehatten,8240,56.186441,10.21267,11.295 kr.,700 kr.,85 m²,4,4.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Nej,A,"God 4-værelses delevenlig!

I kan nu blive de heldige lejere af denne unikke 4-værelses lejlighed med dejlig beliggenhed i Risskov.

Perfekt til den lille familie, parret der ønsker masser af plads eller 3 roomies, der ønsker at dele lejligheden.

Lejligheden er beliggende på Møllehatten i Risskov, hvor du er tæt på alt det gode: gåafstand til indkøb, transport, skov, strande og kun 4 km fra Aarhus Centrum!

Lejligheden rummer:
•	Entré med garderobeskab
•	Køkkenalrum med køkken ø og alt i SIEMENS hårde hvidevarer: indbygningsovn, køle-/fryseskab og opvaskemaskine.
•	Tre rummelige værelser.
•	Udgang til terrasse fra køkkenalrum og det ene værelse.
•	Badeværelse med hvidt inventar og kombineret vask- og tørremaskine.

Internet- og TV-udbyder på ejendommen er Stofa.

Der forefindes elevator i ejendommen.

På Møllehatten får du som lejer adgang til mange fællesfaciliteter såsom: dele el-bil, masser af tagterrasser, grillområde og meget mere!

Vi tilbyder fysisk eller FaceTime fremvisning efter aftale og afholder åbent hus med tilmelding hver SØNDAG kl. 11-12 - Tilmelding af åbent hus skal ske over mail. Aftalen skal bekræftes.

BILLIG INDFLYTNINGSPRIS: 2*md. leje i depositum og 0 kr. i forudbetalt leje.

OBS! Billeder og plantegning er fra en anden lignende lejlighed for at vise materialevalg.

Vi udlejer ikke til personer registreret i RKI.",https://www.boligportal.dk/lejligheder/aarhus/85m2-4-vaer-id-5193298
"Ladefogedvej, 8200 Aarhus, Aarhus N",Aarhus,Ladefogedvej,8200,56.199598,10.186267,4.495 kr.,500 kr.,29 m²,1,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,C,"Lejemålet på 29 m² indeholder: Entre med direkte adgang til køkkensektion herfra adgang til stue og soveniche. Fra entreen er der adgang til badeværelse med brus.

Lejemål i stueplan har egen lille terrasse - lejemål på 1. salen har lille altan.
 
Ladefogedvej er beliggende i den nordlige del af Aarhus i et attraktivt og primært nyere opført boligkvarter. Området er godt beliggende i forhold til indkøbsmuligheder, skoler, institutioner, fritidsaktiviteter osv. 

VIA University College er beliggende under 2 km fra ejendommen og kan nås på under 10 minutter på cykel. Ligeledes er Aarhus Universitetshospital beliggende 2 km fra ejendommen. 

Ejendommen er ligeledes beliggende tæt på Aarhus Universitet, som kan nås på 15 minutter på cykel.

Ejendommen ligger i stille og rolige omgivelser med stisystemer, legepladser og velholdte grønne områder.",https://www.boligportal.dk/lejligheder/aarhus/29m2-1-vaer-id-4287653
"Amagerbrogade, 2300 København, København S  - 5. sal",København,Amagerbrogade,2300,55.65414,12.611043,17.000 kr.,1.000 kr.,132 m²,4,5.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"// mere info på vej inkl. billeder
Boligen indeholder stor stue, spisestue, 2 soveværelser, bad og køkken.
Lejligheden er gennem renoveret og med flere smukke detaljer.
 
Hårde hvidevarer
Køle-fryseskab, ovn, emhætte samt komfur.
Område
Lejligheden er meget centralt beliggende på Amager. Der er to minutters gang til sundbyvesterplads, samt Amagerbrogade med utallige restauranter, caféer og butikker. Foruden de mange offentlige transport muligheder er det oplagt at komme rundt på cykel. Man er desuden tæt på Amager Strandpark og der er skoler og daginstitutioner i området. Dagligvarebutikker er der masser af lige rundt om hjørnet.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/132m2-4-vaer-id-5345351
"Ryhavevej, 8210 Aarhus, Aarhus V  - 3. sal",Aarhus,Ryhavevej,8210,56.166556,10.161221,8.550 kr.,800 kr.,63 m²,3,3.,Lejlighed,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,N/A,"Lej nu og få gratis parkering i hele 2023.

I Haslehus flytter bydes du på moderne boliger der varierer i størrelser fra 57-118 kvm., varierende fra 2-4 værelses, så du altid kan finde en bolig, der passer netop dine behov. Alle lejligheder er indrettet med entré, stort lyst køkken/alrum med køkken fra Designa og alle hårde hvidevarer, samt stort badeværelse med separat bruseniche samt vaskemaskine og tørretumbler. Alle boligerne har egne private altaner, hvor du ugenert kan nyde solen. 

Derudover har du som lejer i Haslehus adgang til fælles stor tagterrasse, hvor du kan nyde den fantastiske udsigt over Aarhus. Til lejlighederne hører depotrum og der er mulighed for at leje parkeringspladser på terræn i det fri, eller i aflåst kælder. 

Når du bor i Haslehus har du en attraktiv beliggenhed med kort afstand til Aarhus C. Der er cykelafstand til Aarhus Universitet (2,6 km) og Handelshøjskolen (1,6 km.), ligesom erhvervsområdet og Skejby Sygehus (2,5 km.) blot er få km. fra ejendommen. Her er desuden gode muligheder for at anvende offentlig transport i hele Aarhus fra området omkring Hasle Torv, hvor man også har flere gode indkøbsmuligheder. 

BEMÆRK at billederne muligvis kommer fra prøveboligen.",https://www.boligportal.dk/lejligheder/aarhus/63m2-3-vaer-id-5373766
