Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Stadion Alle, 8000 Aarhus, Aarhus C  - 5. sal",Aarhus,Stadion Alle,8000,56.142162,10.194093,4.600 kr.,300 kr.,30 m²,1,5.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,D,"På Stadion Allé udlejes nu denne harmerende 1 vær lejlighed med hems og eget the-køkken i et separat rum.
Hemsen er med ovenlysvindue og særdeles velegnet til soveafdeling.

Der er fælles badeværelse og vaskemaskine / tørretumbler med 2 andre lejere.

BBR areal 30 kvm + hems 

Pulterum, cykelkælder, tørrerum, fælles grønt område

Rygning og husdyr ej tilladt i bygningen.

Lejeperioden er ubegrænset - minimum 12 mdr.",https://www.boligportal.dk/lejligheder/aarhus/30m2-1-vaer-id-3378123
"Østre Alle, 6900 Skjern  - 2. sal",Skjern,Østre Alle,6900,55.951651,8.506856,4.733 kr.,596 kr.,72 m²,3,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Afdelingen er centralt beliggende i Skjern, tæt på børnehave, skole og indkøbsmuligheder. Boligerne er omgivet af store grønne
Områder med hyggekroge og en dejlig legeplads. Sal har åbne altaner.

Der hører kælderrum til hver lejlighed. Afdelingen råder over 18 garager og 13 carporte, som udlejes af afdelingens varmemester.
Derudover er der gode parkeringsmuligheder ved hver boligblok.

Der skal betales for el og vand og varme udover huslejen.
Antennesignalet kan leveres af Skjern bredbånd.
Det er tilladt at holde 1 husdyr pr. Lejemål.

Energimærke: d.",https://www.boligportal.dk/lejligheder/skjern/72m2-3-vaer-id-5069232
"Engtoften, 8260 Aarhus, Viby J",Aarhus,Engtoften,8260,56.122168,10.166994,7.495 kr.,500 kr.,54 m²,3,-,Lejlighed,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,N/A,"I ejendom kun 4 km fra Aarhus Midtby kan nu tilbyde denne dejlige 3 værelses lejlighed. Lejligheden er beliggende på 1. sal og har udgang til altan. Indeholder: Dejligt køkken med opvaskemaskine. Flot badeværelse, hvor der er gjort klar for at man selv kan installere en vaskemaskine. Soveværelse og et ekstra værelse/stue. I lejligheden er der gulvvarme, lyse parketgulve og hvide vægge og lofter. Der er fælles p-pladser samt pulterrum til hver lejlighed. Bemærk: Billeder viser hele ejendommen og ikke nødvendigvis den aktuelle bolig.",https://www.boligportal.dk/lejligheder/aarhus/54m2-3-vaer-id-5367936
"Jørgen Nyborgs Vej, 4200 Slagelse  - 1. sal",Slagelse,Jørgen Nyborgs Vej,4200,55.412035,11.358924,8.000 kr.,N/A,56 m²,2,1.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,N/A,"Tæt på Slagelse centrum, indkøbsmuligheder og kultur, opfører vi nu boligfællesskabet Sophushaven. Byggeriet er så småt skudt i gang, og i starten af 2023 slår vi dørene op for endnu 70 moderne lejeboliger for voksne uden hjemmeboende børn. Boligfællesskabet opføres i en lukket, grøn oase tilbagetrukket fra vej og trafik. Sophushaven er, som de øvrige Agorahaver, kendetegnet ved et grønt fællesskab, som den 1.000 m2 store, fælles atriumhave, danner den perfekte ramme om. De mange fællesfaciliteter giver dig mulighed for en fri og aktiv hverdag – og et naboskab ud over det sædvanlige. Det er dét, der gør livet i Sophushaven til noget ganske særligt.
 
I Sophushaven findes der både toværelses og treværelses boliger. Vi kalder de toværelses for Type A og de treværelses for Type B. Både de toværelses og de treværelses har forskellige variationer. Disse variationer består hovedsageligt i størrelsen på altanen/terrassen, placeringen af vinduerne og enkelte afvigelser i kvadratmeter. Uanset hvad du vælger, får du en lys, moderne og nybygget bolig med store vinduer. Og hvor du næsten ikke skal tænke på vedligeholdelse. Alle boliger har enten udendørs altan eller terrasse, og et smalt for-areal, som vender ind på atriumhaven. Her er der plads til en bænk, eller et lille cafésæt af metal, hvor du har mulighed for at forlænge ""udesæsonen"", nyde stemningen og møde naboerne i den grønne have.",https://www.boligportal.dk/lejligheder/slagelse/56m2-2-vaer-id-5306411
"Degnejorden, 4320 Lejre, Højby",Lejre,Degnejorden,4320,55.598903,11.975444,15.885 kr.,0 kr.,125 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,N/A,"Degnejorden – en moderne landsby med fællesskaber som omdrejningspunkt. Nyt byggeri skyder op af jorden i Lejre.

Landskabet imellem boligklyngerne på Degnejorden, er tænkt som et naturområde med varieret beplantning i form af forskellige træer og buske på en bund af enggræsser og urter. Igennem naturområdet etableres der trampestier og mindre opholds- og aktivitetsområder.

82 lejeboliger fordelt på 3 forskellige boligtyper i ét eller 2 plan. Udover lejeboligerne bliver der frasolgt 13 huse. 

I området bliver der bygget 1 forsamlingshus og 5 fælleshuse. Der etableres der 143 parkeringspladser til fri afbenyttelse inkl. handicappladser. Der opsættes tilmed 2 el-lade standere, således at der kan oplades 4 elbiler ad gangen.

Der er indflytning i 3 etaper og indflytningen for den enkelte bolig vil fremgå af den pågældende annonce. 

Der er ikke noget a conto beløb der skal betales via udlejer, da vand leveres af FORS og husene opvarmes med varmepumpe, hvor lejer selv skal tilmelde sig en el leverandør. 

Alle hårde hvidevarer medfølger. 

Boligerne kan reserveres ved at deltage på åbent hus. Vi holder åbent hus ca. én gang om ugen indtil alt er udlejet. Ønsker du at deltage i det åbne hus, så kan du sende en besked via annoncen og vil modtage en invitation til det næstkommende åbne hus.
Indflytningsprisen skal betales umiddelbart efter modtagelsen af lejekontrakten.

Det vil ikke være muligt at besigtige andre boliger end prøveboligen inden indflytning og det er under ingen omstændigheder tilladt at opholde sig på byggepladsen uden en invitation til åbent hus.

Billeder, plantegning og tekst er vejledende.

Hvis du er registreret i RKI kan vi desværre ikke tilbyde dig lejligheden. Dette kontrolleres ved udarbejdelse af lejekontrakt.",https://www.boligportal.dk/r%C3%A6kkehuse/lejre/125m2-4-vaer-id-5346977
"Miliegræsset, 5220 Odense, Odense SØ",Odense,Miliegræsset,5220,55.359569,10.499354,7.800 kr.,N/A,69 m²,3,-,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,N/A,"I attraktive Fraugde udlejes dette dejlige 2 plans rækkehus. Boligerne er beliggende centralt i Fraugde tæt på daginstitution, indkøbsmuligheder, fritidsaktiviteter samt motorvejen. Boligerne er i 2-plan og der findes 3-, 4- og 5-vær. boliger. Der er skabe på samtlige værelser. Boligen overtages med indbygnings-ovn, kogeplade, emhætte, køle/frys og opvaskemaskine. Lejer skal selv medbringe vaskemaskine og evt. kondens tørretumbler. Installationer er forberedt. Billederne er fra lignende bolig i bebyggelsen. Der medfølger et lille redskabsskur til boligen samt adgang til fælles arealer og parkeringsplads. Husdyr skal godkendes. Huslejen er angivet excl. forbrug (el, varme, vand og spildevand). Forbrug afregnes af lejer direkte til forsyningsstederne.",https://www.boligportal.dk/lejligheder/odense/69m2-3-vaer-id-5378393
"Østergade, 4970 Rødby",Rødby,Østergade,4970,54.695732,11.388888,4.650 kr.,350 kr.,52 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,D,"Hyggelig lejlighed på Østergade Rødby - ledig 15 september 2023, 
52 kvm. 1 vær, 1 stue, entre, køkken med køl/frost, badeværelse, og ugeneret delt flise gårdhave med eget stort aflåst skur.
Ingen husdyr! 
Røgfri lejemål!
Nymalet og indflytningsklar 15 september 2023.
Pr. Mdr. Kr. 4.650 + kr. 350 Vand a-konto = kr. 5.000,- 
Indskud 3 mdr. + 1 mdr. Forudbet. (Bruges ved flytning)
Husleje/vand, I alt kr. 23.600 - inkl. første mdr. husleje.
El og billig fjernvarme afregnes direkte, efter forbrug.
Ingen husdyr!
Røgfri lejemål!
KUN SERIØSE Henv.
Del gerne, tak.",https://www.boligportal.dk/lejligheder/r%C3%B8dby/52m2-2-vaer-id-5258218
"Skjoldsvej, 7480 Vildbjerg, Skibbild  - 1. sal",Vildbjerg,Skjoldsvej,7480,56.169625,8.847168,2.995 kr.,1.500 kr.,98 m²,5,1.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,E,"PGA. FERIE BESVARES HENVENDELSER IGEN I UGE 31

1. sals lejemål, bestående af 2 lejligheder med fælles badeværelse udlejes. Vil være oplagt som delelejlighed.

Lejemålet vil være egnet til evt. håndværkere og/eller landbrugsfolk der søger lejemål til  periodisk ophold med billig husleje.

Der er 2 køkkener og 5 værelser/stuer.
Lejemålet er ikke renoveret og fremstår slidt.",https://www.boligportal.dk/lejligheder/vildbjerg/98m2-5-vaer-id-5303397
"Ærøgade, 9000 Aalborg, Aalborg  - Stuen",Aalborg,Ærøgade,9000,57.042535,9.942436,5.495 kr.,700 kr.,64 m²,2,Stuen,Lejlighed,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Nej,D,"Med østeranlæg i baghaven!

Er du vild med hygge og gåture i østreanlæg, og mangler en lejlighed så har vi en 2 værelses lejlighed ideel til dig.
Denne lyse lejlighed er nymalet, gulvene er lysnet og så får du måske Aalborg eneste lejlighed med guldgulv på badeværelset. 
Entreen er omdrejnings punkt for alle rum i denne dejlige lejlighed. 
Den store lyse stue vender mod Aalborg Handelsskole, dette gør at der ingen anden lejlighedskompleks blokere eller skygger for udsigt eller lysindfald. Stuen er nem at indrette.
Lejlighedens soveværelse er ligeledes stor og rummeligt, og da det ligger i hjørnet mod gården, vil der være skygge og rummet kan nemt blive mørkt til nattetimerne. 
Køkkenet i lejligheden er stort i forhold til 2 værelses lejligheder i Aalborg. Der er nyt komfur samt køleskab i lejligheden. 
Flot og lidt retro badeværelset med brusehjørne og med det smukke guldgulv, samt nye elementer.
Adgang til vaskekælder med vaskemaskine og tørretumbler, som er inkluderet i lejen. 
Lejligheden er delevenlig.",https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-5358653
"Snogegårdsvej, 2820 København, Gentofte  - Stuen",København,Snogegårdsvej,2820,55.750023,12.516889,8.250 kr.,700 kr.,51 m²,2,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Nej,N/A,2 Værelses lejlighed med kælderrum i Gentofte udlejes. Lejligheden ligger tæt på gode transport- og indkøbsmuligheder.,https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/51m2-2-vaer-id-5282534
