Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Skelbækvej, 9800 Hjørring  - 1. sal",Hjørring,Skelbækvej,9800,57.469667,10.002531,3.798 kr.,450 kr.,52 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Velindrettet ungdomsbolig i Hjørring

Skøn, lys bolig tæt ved Hjørring by. Lejlighederne er indrettet med gode værelser, et åbent køkken-alrum med hårde hvidevarer og bad/toilet.

Boligen overtages nyistandsat - herunder med nymalede vægge og afslebne fyrtræsgulve mv.
Der er adgang til fælles vaskeri, kabel-tv og internet mm. Herudover har kollegiet 2 fællesrum, herunder ét indrettet som selskabslokale og ét indrettet som bar.

Studerende har fortrinsret til at leje boligerne, men det er ikke et krav at være under uddannelse for at bo på kollegiet.

Bebyggelsen, Skelbæk Kollegiet, består af 68 kvalitetsboliger fordelt i 2 etagers blokke med 4 boliger i hver. I stueetagen er der udgang til terrasse. Alle boliger har udsigt til kollegiets flotte, grønne oase med buske, træer og gangstier samt gode cykel- og parkeringsforhold.

OBS. Billederne er af prøveboligen og ikke den specifikke bolig.",https://www.boligportal.dk/lejligheder/hj%C3%B8rring/52m2-2-vaer-id-5292040
"Karlshøj, 4733 Tappernøje, Sølperup",Tappernøje,Karlshøj,4733,55.185849,11.986231,7.800 kr.,3.155 kr.,117 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,D,"2 vær. Stuelejlighed i det hyggelige Tappernøje.
Lejemålet opvarmes med naturgas og indeholder ovn, kogeplader, køle-/fryseskab, emhætte samt 
opvaskemaskine.
Lejemålet består af egen indgang, entre, køkken, alrum, soveværelse, flere depotrum, badeværelse m. 
bruseniche og plads til vaskesøjle.
Fra lejemålet er der adgang til fælles gårdanlæg/have samt eget kælderrum.
Ac-bidraget består af kr. 2.500 varme og kr. 655 vand.
Overtages nymalet.
Husdyr er ikke tilladt.",https://www.boligportal.dk/lejligheder/tappern%C3%B8je/117m2-2-vaer-id-5356509
"Estlandsgade, 9000 Aalborg, Aalborg  - 1. sal",Aalborg,Estlandsgade,9000,57.045676,9.944071,5.200 kr.,600 kr.,50 m²,2,1.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,C,"BO DEJLIGT, LYST OG CENTRALT… I ESTLANDSGADE … i en flot og nyere ejendom fra 2005, opført i kvalitetsmaterialer fra gulv til loft. Boligen fremstår i et enkelt design med lækre, lyse træparketgulve samt hvidmalede vægge og lofter. Køkkenet er udført i enkel stil i hvide elementer, ligesom det store og rummelige badeværelse er beklædt med lyse klinker og hvidt håndvaskearrangement. I ejendommen er der, foruden fællesvaskeriet i kælderen, gennemgående elevator samt dørtelefon. I kælderen findes desuden depotrum til samtlige lejligheder. 

Beliggenheden i ”Estlandskarréen” – Estlandsgade, Østerbro og Stormgade – giver desuden adgang til et dejligt og indbydende gårdanlæg. I gården er der gode cykelparkeringsforhold, mens der er parkeringsmuligheder i området omkring ejendommen. Ejendommen er beliggende i området omkring Østre Havn – en bydel i stor udvikling. Her kan du bo tæt ved vandet og Aalborgs grønne oase Østre Anlæg, i nærheden af Nordkraft og det nyopførte Musikkens Hus. Herudover er byens gågader og shoppingcenteret Friis beliggende i gåafstand. 

OBS. Billederne er af prøveboligen og ikke den specifikke bolig.",https://www.boligportal.dk/lejligheder/aalborg/50m2-2-vaer-id-5377983
"Sofielund Skovvej, 5700 Svendborg  - 3. sal",Svendborg,Sofielund Skovvej,5700,55.060875,10.565753,8.591 kr.,990 kr.,111 m²,3,3.,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,N/A,"Et stenkast fra Svendborg Bymidte og tæt på natur, udlejes nu en lækker 3 værelses lejlighed, som har 2 unikke altaner. 

Planløsningen byder på entré, depot, to gode værelser, køkken alrum, stort bad og to gode altaner. Slutteligt findes der også et depotrum i boligen.  

Når du går uden for din dør, kan du gå direkte ud i naturen, og du har lige så vel kort afstand til idrætsfaciliteter, skole, handlemuligheder og Svendborgs dejlige bymidte. 

Kontakt os i dag, for at få yderligere oplysninger.",https://www.boligportal.dk/lejligheder/svendborg/111m2-3-vaer-id-5372657
"Hovedgaden, 8220 Aarhus, Brabrand  - 1. sal",Aarhus,Hovedgaden,8220,56.153372,10.102482,7.895 kr.,850 kr.,94 m²,3,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Gl. Brabrand med udsigt til Brabrand Sø.
Renoveret 1. sals lejlighed i mindre ejendom med stor udsigtsaltan.
Klar til indflytning - og kan overtages efter nærmere aftale. Lejligheden er med trægulve overalt, stort nyrenoveret spisekøkken med alt i hårde hvidevarer herunder egen opvaske- & vaskemaskine. Soveværelse med stort skydedørsparti med spejl.  Nyrenoveret brusebadeværelse. Stort værelse med direkte adg. til såvel brusebadeværelset samt disponibelt rum/kammer/arkiv/walk-in. Fra lys regulær stue udgang til stor brugsaltan. Separat depot i gård. Adgang til flisebelagt lukket gårdhave. Ideel til single eller par. Gode parkeringsmuligheder.",https://www.boligportal.dk/lejligheder/aarhus/94m2-3-vaer-id-2636663
"Hestestræde, 8930 Randers, Randers NØ  - 3. sal",Randers,Hestestræde,8930,56.484263,10.031037,9.295 kr.,1.159 kr.,107 m²,4,3.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,N/A,"Nyopførte lejelejligheder i Randers tæt på by og natur

Drømmer du om en unik lejebolig med 2, 3 eller 4 værelser i Randers? Fleksibel overtagelse er muligt.  

De nybyggede lejligheder i Randers Kaserne byder på både stort køkken alrum og nem adgang til parkering og Nordre Fælled.
Lej en kvalitetslejlighed med egen altan og terrasse.
På Kavalerivej, Hestestræde og Mysundevej i Randers ligger Randers Kaserne, der nu er bygget om til 2, 3 og 4 værelses lejeboliger. Størrelserne varierer mellem 67 til 110 kvadratmeter.

Alle lejligheder har eget depotrum i lejligheden samt egen altan eller terrasse, hvor du kan nyde morgenkaffen. Det store, rummelige køkken er indrettet med køkken/alrum i åben forbindelse med stue, der danner rammen for fællesskab og liv. Køkkenelementerne er fra Svane og alt i hårde hvidevarer er fra Siemens.

I badeværelset kan du nyde både gulvvarme, en rummelig bruseniche med rain shower bruser, samt lejlighedens vaskemaskine og tørretumbler. Varmegenvindingsanlægget sikrer et godt indeklima i hele boligen.
Du har derudover adgang til elevator, ligesom det ikke er et problem at have bil, da du har nem mulighed for parkering uden krav om leje.
En moderne lejebolig i Randers’ historiske rammer

Som lejer i en af disse moderne lejeboliger, har du kort afstand til både Langvang Idrætscenter, Regionshospitalet, pasningsmuligheder, skoler og uddannelsessteder. Har du brug for et åndehul fra byen, ligger Nordre Fælled også lige udenfor din hoveddør. Desuden byder området på alt, hvad du har brug for til dagligdagen med nærliggende og gode indkøbs- og transportmuligheder.

Her i den nordlige del af Randers er atmosfæren hyggelig og fredelig, og der er plads til både singler, par, familier og seniorer.
Velkommen til Randers Kaserne i 8930 Randers

Randers Kaserne rummer 96 unikke lejeboliger i et åbent landskab med både Nordre Fælled som nær nabo. Her er der en by i byen – et kraftcenter for kultur og kreativitet med højt til loftet og et stærkt sammenhold.

Velkommen til Kavalerivej, Hestestræde og Mysundevej, 8930 Randers!",https://www.boligportal.dk/lejligheder/randers/107m2-4-vaer-id-5344327
"Lindvedhave, 5260 Odense, Odense S",Odense,Lindvedhave,5260,55.342157,10.421334,9.867 kr.,0 kr.,108 m²,3,-,Rækkehus,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,N/A,"LINDVEDHAVE

Nu udlejes skønne 3- og 4-værelses rækkehuse i det børnevenlige Lindvedhave, som er beliggende tæt på masser af handlemuligheder, motorvejsnettet og byen. 

Indvendigt indeholder de 4-værelses rækkehuse i to plan: entré, bryggers med gæstetoilet samt vaske- og tørremaskine, og stort, lyst og åbent køkken/alrum. På 1. salen findes tre gode værelser, samt et stort badeværelse med bruseniche. Der er gulvvarme i hele rækkehuset.

• De nye 2-plansboliger er bygget efter solide principper med fokus på lavenergi. De opføres i smukke blødstrøgne teglsten, taget er ægte sorte tegl og giver herved boligerne et stramt, men roligt udtryk. De ydre rammer her et lavt niveau af vedligehold, med moderne og funktionelt look og sætter en standard der naturligvis er videreført inde i boligerne.

• I stueplan er praktisk indrettet med entre, stor stue og køkken/ alrum i et, men med god adskillelse, gæstetoilet med vaskesøjle og 
opbevaringsrum undertrappen.

• 1.sal har 2 gode værelser, samt soveværelse forsynet med indbygget skabe. Her til kommer et lyst indrettet badeværelse med bruseniche og flere skabe.

• Alt indbygget skabs og køkken inventar i boligen er ad god kvalitet fra HTH, og hvidevare er fra Bosch, Siemens og Miele.

• Der er gulvvarme i stueetage samt i badeværelset på 1. sal.

• Boligerne er generelt meget lyse og indretningsvenlige, og har også eget redskabsskur/ depot på 4 m2.

• Der er parkeringspladser og gæsteparkering tilhørende området.

Ét husdyr tilladt med forbehold (hund max 15 kg).

Skriv for fremvisning.",https://www.boligportal.dk/r%C3%A6kkehuse/odense/108m2-3-vaer-id-5329697
"Schaldemosevej, 8900 Randers, Randers C  - 2. sal",Randers,Schaldemosevej,8900,56.468212,10.043184,3.267 kr.,700 kr.,62 m²,2,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Lejemålet er beliggende på Schaldemosevej og består af 2 værelser samt køkken og bad. Lejemålet er 62 m2 og er klar til overtagelse 01-11-2023. Månedlig husleje er 3267 kr. og forudbetalt husleje og depositum beløber sig til i alt 13068 kr. 

Send en besked, hvis lejemålet har fanget din interesse.",https://www.boligportal.dk/lejligheder/randers/62m2-2-vaer-id-5379156
"Heimdalsparken, 7500 Holstebro  - Stuen",Holstebro,Heimdalsparken,7500,56.366605,8.605638,4.972 kr.,700 kr.,74 m²,3,Stuen,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,B,"Lejligheden er indrettet med et stort køkken-alrum med adgang til stue, værelser og badeværelse.
Den rummelige stue har udgang til en stor lækker åben altan.
Køkkenet har faste skabe med komfur og emhætte, og køle- fryseskab.
Der er plads til opvaskemaskine som lejer selv skal medbringe.
Det lille badeværelse er med lyst inventar, nydelig sanitet og separat bruseniche.
Lejligheden fremstår i lyse farver på vægge og lofter i alle værelser.
Boligen har dørtelefon.

Området byder på et stort fællesvaskeri for alle beboere i Heimdalsparken 10 – 70.

Der er mulighed for at parkere cyklen udenfor opgangen, men der er også aflåste fællesrum til cykler og barnevogne. Biler parkeres på fælles parkeringsområder.",https://www.boligportal.dk/lejligheder/holstebro/74m2-3-vaer-id-5368820
"Tålforvej, 8250 Aarhus, Egå",Aarhus,Tålforvej,8250,56.219884,10.286485,4.300 kr.,0 kr.,40 m²,1,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Indeholder stue, lille køkken, soveværelse med skabe, og bad og toilet. Tæt på vandet. Bybus og cykelstier. Husleje er inkl. forbrug.",https://www.boligportal.dk/lejligheder/aarhus/40m2-1-vaer-id-5361880
