Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Linnemannsgade, 7100 Vejle  - 2. sal",Vejle,Linnemannsgade,7100,55.712882,9.544375,9.400 kr.,700 kr.,98 m²,4,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,F,"Total nyrenoveret 4. værelses lejlighed, 2 værelser, 1 stue og 1køkken alrum. Lejligheden er blevet totalrenoveret i forbindelse med renovering af bygningen derfor er det hele nyt i lejligheden. Der er nye vægge, lofter, gulve, vinduer, Svane køkken med hårde hvidevarer, nyt kompakt badeværelse med bruse, toilet og vaske-tørre maskine. 
Lejligheden indeholder entre, med adgang til køkken med god plads til spiseplads, badeværelse og stue. Fra stue er der adgang til et værelse med skab. Fra køkken alrummet er der adgang til andet værelse med adgang til altanen. 
En lejlighed som skal ses og mærkes.
Lejligheden ligger tæt på centrum og på skoven. Fælles have med terrasse. '
Ring for mere info og fremvisning.",https://www.boligportal.dk/lejligheder/vejle/98m2-4-vaer-id-5378453
"Sivmose, 5856 Ryslinge",Ryslinge,Sivmose,5856,55.228636,10.532398,9.995 kr.,N/A,105 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,A,"Moderne og lyst rækkehus med masser af naturligt lysindfald fra store vinduespartier. Man træder ind i særskilt entre med videre adgang til to gode værelser. Fra entreen finder man husets store opholdsrum med lyst køkken samt god plads til spisebord. Her er ligeledes mulighed for indretning af hyggeligt sofahjørne. Fra alrummet finder man særskilt bryggers med vask samt plads til vaskemaskine og tørretumbler, herfra finder man et stort moderne badeværelse. Ydermere forefindes et stort soveværelse med indbygget skabsvæg. Fra stue er der direkte udgang til bagvedliggende terrasse samt dejlig have.

Bebyggelsen vil bestå af 44 energivenlig og moderne kvalitetsrækkehuse i størrelsen 85, 95, 105 og 115 m² – alle i et plan tegnet i en moderne og enkel streg.

Alle boligerne opføres på selvstændige grundstykker. Til hvert hus hører egen parkering, stort redskabsrum, dejlig have, stor flisebelagt terrasse på begge sider af huset samt flisebelagt gangsti til boligens entre, hvor der udføres niveaufri adgang. Haven omkranses og lukkes af ligusterhæk.

Husene er beliggende på to lukkede vænger, hvorfor der er begrænset med trafik, og børn kan derfor trygt slippes løs og finde legekammerater i den nye bebyggelse. Hunden kan ligeledes luftes på de etablerede stier i området.

Husrækkerne udføres med murede facader af morderne lys beige mursten og sort sadeltag med 25 graders hældning. Stern af træ i farven antracit og mindre hvidmalet udhæng af træ.

Husene monteres med moderne træ/alu vinduer og døre (3-lags vinduer) i mørk farve udvendig og hvid indvendig i. Sålbænke under vinduespartierne i mørk skifer.

Husenes materialevalg er gennemtænkt og harmonisk, så husene vil fremstå smuk, tidløs og velholdt i mange år fremover.

Åbne og lyse huse

Alle husene indrettes lyse og venlige, med hvide glatte lofter og vægge. Store oplukkelige vinduer for ekstra godt lysindfald overalt. Fælles opholdsrum (køkken/alrum/stue) indrettes med store vinduespartier på flere sider for maksimalt lysindfald. Gulve af egeplank (laminat) i køkken/alrum, stue og værelser. Entre, bryggers, badeværelse og brus udføres med lækre klinkegulve i lysgrå. Alle døre i glat hvid finish med rustfri stålgreb og uden dørtrin for optimal betjening. Vindueskarme mures og vandskures i hvid. Vægge mod gulv afsluttes med hvide glatte fodpaneler.

Fine detaljer overalt

Alle boliger indrettes med bryggers med bordplade og vask. Boligens badeværelse ligger i forbindelse med bryggerset. Køkken, bad, bryggers og soveværelse monteres med moderne moduler i glat hvid afslutning og med linje greb i farven antracit grå. Bordplader i praktisk laminat i farven ’rustik skifer’ med rummelige stålvaske. Stænkplade bag kogepladen, for nem rengøring. Vask i badeværelse af formstøbt materiale. Væghængt toilet fra Ifö Sign, kvalitetsarmaturer fra tyske Hans Grohe og linjeafløb i bruseniche.

Kvalitetshvidevarer

Alle hvidevarer medfølger i anerkendt kvalitet herunder integreret køl/frys, integreret opvaskemaskine, kogeplade med induktionsteknologi, emhætte og indbygningsovn i højden med pyrolyse-teknologi. Der medfølger ligeledes vaskemaskine og tørretumbler placeret i bryggers.

Fast og god belysning

Der er etableret lyskilde i bad og bryggers, samt ved ventilation på loft. I køkken er der spot i overskabene.

Forberedt for el-bil

Der er forberedt tomrør til ladestation for el-køretøj.

Sundt indeklima og gulvvarme

Der er gulvvarme i hele huset. Dette styres via separate termostater i alle rum. Boligen er udført med ventilationsanlæg, der sikrer et sundt og godt indeklima.

Individuelle forbrugsmålere

Forbrug til varme, el, vand og spildevand afregnes direkte mellem lejer og forsyningsselskaberne. Opvarmning via fjernvarme.

Udvendig monteres der stikkontakt og vandhane samt væglampe ved entredør.

Illustrationer er modelfotos. Der tages forbehold for rettelser.",https://www.boligportal.dk/r%C3%A6kkehuse/ryslinge/105m2-4-vaer-id-5345646
"Tove Ditlevsens Gade, 8240 Aarhus, Risskov  - Stuen",Aarhus,Tove Ditlevsens Gade,8240,56.203579,10.227384,7.400 kr.,500 kr.,55 m²,3,Stuen,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,N/A,"Velkommen til vores nybyggede treværelses lejlighed med alt hvad hjertet kan begære! Denne lejlighed vil få dig til at føle dig hjemme fra det øjeblik, du træder ind ad døren.

Først og fremmest vil du blive mødt af et stort opholdsrum, der giver masser af plads til at slappe af, underholde gæster eller nyde en stille aften derhjemme. Det er perfekt til at skabe et hyggeligt og indbydende miljø for dig selv og dine gæster.

De to flotte, lyse værelser er det ideelle sted at opholde sig og de store vinduer giver masser af naturligt lys, og deres elegante design gør dem til et behageligt sted at være.

Badeværelset i denne lejlighed er virkelig noget særligt. Det er stort og rummeligt og er udstyret med alt, hvad du behøver.

Køkkenet er udstyret med alt fra Siemens og Svanekøkken. Derudover er der egetrælsgulv i hele lejligheden, som giver den et elegant og stilfuldt udseende. Og for dem der fryser om fødderne, er der gulvvarme i alle rum.

Som en ekstra bonus tilbyder vi også opvarmet cykelparkering, et cykelværksted, et kreativt rum og et studieområde. Alt er tænkt til at gøre din hverdag så let som mulig. Der er også mulighed for at leje egen parkeringsplads i kælderen til en månedlig pris på 510kr. 🚗

Denne lejlighed er virkelig en skjult perle i vores nybyggede kompleks og den er perfekt til dig ønsker en lys og rummelig lejlighed med udsigt ud i vores smukke gård. 

Husdyr er tilladt efter aftale med udlejer 🐈🐕‍🦺

Kontakt os i dag for mere information eller aftale om fremvisning.",https://www.boligportal.dk/lejligheder/aarhus/55m2-3-vaer-id-5341139
"Vesterbro, 9000 Aalborg, Aalborg  - 1. sal",Aalborg,Vesterbro,9000,57.049113,9.916448,6.995 kr.,800 kr.,94 m²,2,1.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,D,Lejligheden indeholder et dejligt stort og total moderniseret køkken med alt i hårde hvidevarer. Derudover er der massere af skabsplads i køkkenet. Bordplads er heller ikke noget som der mangler i denne lejlighed. Her er de optimale rammer til at udfolde kulinariske evner. Lejlighedens 2 værelser er begge meget rummelige og har et skønt lysindfald fra de dejligt store vinduespartier som giver solens stråler rigeligt med plads til lige at snige sig ind. Badeværelset er lyst og moderne med skabsplads både ved siden af- og under vasken. Derudover er her også en dejlig stor og separat brusekabine.,https://www.boligportal.dk/lejligheder/aalborg/94m2-2-vaer-id-5332791
"Jenny Kammersgaards Vej, 8700 Horsens  - 4. sal",Horsens,Jenny Kammersgaards Vej,8700,55.859086,9.865286,7.400 kr.,700 kr.,54 m²,2,4.,Lejlighed,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,N/A,"Lejlighed med fine detaljer og udført i lækker kvalitet.
HTH køkken med alt i hårde hvidevarer.
Flot badeværelse.
Gulv varme overalt i lejligheden.
Altan.
Lejligheden indeholder:
Toilet, køkken, stue og 1 værelse.
Der mulighed for at leje en p-plads i parkeringskælder.",https://www.boligportal.dk/lejligheder/horsens/54m2-2-vaer-id-5286723
"Bertram Knudsens Vej, 6000 Kolding",Kolding,Bertram Knudsens Vej,6000,55.507723,9.469545,9.309 kr.,1.180 kr.,111 m²,3,-,Rækkehus,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Vi kan nu tilbyde denne bolig på 111 m2 beliggende i Kolding
For at kunne leje denne bolig, kræver det man er medlem af boligforeningen. På BoligPortal annonceres kun reelt ledige boliger uden eksisterende venteliste på annonceringstidspunktet. Venligst kontakt udlejer hvis du er interesseret i lejemålet.",https://www.boligportal.dk/r%C3%A6kkehuse/kolding/111m2-3-vaer-id-5376255
"Olof Palmes Allé, 8200 Aarhus, Aarhus N  - 2. sal",Aarhus,Olof Palmes Allé,8200,56.187769,10.183751,9.890 kr.,1.145 kr.,82 m²,3,2.,Lejlighed,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,B,"Flotte moderne lejligheder til leje i Aarhus N

Drømmer du om at bo til leje i en ejendom med lækre kvalitetsmaterialer?

Her på Olof Palmes Allé finder du lækre lejeboliger, som ligger perfekt i forhold til både byliv, uddannelse, natur og offentlig transport.

I lejeboligerne på Olof Palmes Allé er der lagt vægt på detaljerne og høj kvalitet. Der er gulvvarme i alle rum, samt alle lejlighederne indeholder både vaskemaskine, tørretumbler og opvaskemaskine. Har du bil, er der gratis parkeringsforhold ved ejendommen.

Lejlighederne i stueetagen har udgang til egen terrasse, hvor de øvrige lejligheder har udgang til store altaner. Hver lejlighed har et dertilhørende pulterrum til opbevaring. Hver opgang har desuden elevator, affaldsskakt og porttelefon.Der kan gives tilladelse til at holde husdyr i lejeboligerne på Olof Palmes Allé.Lejlighederne er delevenlige og henvender sig både til studerende, singler, par, familier og seniorer.

Bo til leje tæt på Aarhus centrum, offentlig trafik og naturskønne områder.

Lejeboligerne ligger kun et kvarters kørsel fra Aarhus centrum. Her kan du shoppe, nyde kulturen eller besøge de skønne spisesteder, som Aarhus Midtby har at byde på. Offentlig transport kører lige foran ejendommen, hvor du også finder det nærmeste letbanestoppested og busstoppested. Ejendommen ligger inden for cykelafstand til flere forskellige uddannelsesinstitutioner, Aarhus Universitetshospital i Skejby samt Aarhus Midtby.

Lejeboligerne ligger nær parker og smuk natur, hvor du kan nyde hyggelige udflugter med venner og familie.

Velkommen til Olof Palmes Allé 27A-B, 29 og 33A-B, 8200 Aarhus N.

Ejendommene på Olof Palmes Allé indeholder i alt 87 attraktive lejeboliger. Lejlighederne er med 2, 3 eller 4 værelser, og størrelserne spænder fra 68 kvm til imponerende 122 kvm. Omkring ejendommen har du adgang til flotte grønne områder, samt legeplads og beachvolley-bane.

Som en ekstra bonus er der inkluderet 224 kr. i huslejen, som du frit kan bruge hos Fibia til en TV-pakke eller internet.

Velkommen til din nye lejebolig i Aarhus!

OBS: Billederne er fra en lignende bolig og dermed vejledende. Se plantegning.",https://www.boligportal.dk/lejligheder/aarhus/82m2-3-vaer-id-5358036
"Himmerlandsgade, 9000 Aalborg, Aalborg  - 2. sal",Aalborg,Himmerlandsgade,9000,57.041464,9.941541,5.685 kr.,645 kr.,57 m²,2,2.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,N/A,"Velkommen til ø-gaden i centrum af Aalborg.
Området er kendt for sine næsten uendeligt mange rødstensejendomme, der ligeledes er kendt for sin charme fra den tiden, hvor de blev opført.
Her befinder du dig i Aalborgs absolutte centrum med gåafstand til alt det, Aalborg midtby kan tilbyde, og som man har behov for.
Offentlig transport (både tog og bus), mange forskellige handlemuligheder, barer, natklubber, gågader, specialbutikker mm. er således lige ved hånden.
Der er også gåafstand til Karolinelunden, der tidligere husede Aalborg Tivoli, men som i dag fungerer som park og kulturelt samlingssted for både musik, stand - up, foredrag mm. Derudover over er der også gåafstand til Østre Anlæg, der er en af Aalborgs absolut største parker med løbe- og gåruter, flot anlæg med fisk og ænder, udendørs træningsfaciliteter, fodbold- og beachvolleybaner og enormt store græsarealer, der i sommer halvåret bliver flittigt brugt til solbadning, grillfester og socialt samvær generelt.

Lejlighederne på 52 kvm er meget regulære 2-værelses med separat stue og soveværelse samt entré, køkken og badeværelse med bruseniche, mens lejlighederne på 72 kvm har dobbeltstue og separat soveværelse samt entré, køkken og badeværelse med bruseniche.
Lejlighederne har alle flotte lyse trægulve, hvidmalede lofter og vægge samt lyst inventar i køkkenet og på badeværelset.
Alle boliger har desuden en større altan.

Der hører et lækkert og velholdt gårdmiljø til ejendommen, ligesom der er store cykelskure i baggården.
Der hører depotrum til alle lejligheder, og der er ydermere fælles vaskeri i kælderen.
Ejendommene har en viceværtsordning, ligesom at der regelmæssigt bliver vasket trapper, skiftet måtter i indgangspartiet og pudset vinduer i opgangene.
Kort sagt så bliver der sørget for, at lejerne i disse ejendomme færdes i velholdte omgivelser.

Velkommen til 🙂.",https://www.boligportal.dk/lejligheder/aalborg/57m2-2-vaer-id-5369825
"Tinnetvej, 7323 Give, Vesterlund",Give,Tinnetvej,7323,55.913439,9.33279,6.700 kr.,425 kr.,112 m²,3,-,Hus,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,D,"Dejligt hus på 112m2, med en hyggelig lille have og overdækket terrasse på 600m2 grund udlejes per 1. september 2023.

Boligen er indrettet med entre, stor og lys stue, køkken med lille spiseplads, soveværelse med indbygningsskabe, baggang med adgang til bryggers og toilet med bad samt et stort rum (40m2) på 1. salen med mange anvendelsesmuligheder f.eks. teenageværelse med egen indgang, hobbyrum eller ekstra stue.

I stuen er opsat en brændeovn til supplering af opvarmning.

Ved indflytning medfølger alt i hvidevarer (vaskemaskine, tørretumbler, opvasker, køleskab, skabsfryser og komfur). 

I haven er der yderligere adgang til et aflåst skur på 12m2.

Huslejen er 6700kr pr md + forbrug (el, vand og varme).

Husdyr er ikke tilladt og lejemålet er røgfrit.",https://www.boligportal.dk/huse/give/112m2-3-vaer-id-5377888
"Viften, 2670 Greve  - 2. sal",Greve,Viften,2670,55.5848,12.320129,11.000 kr.,1.000 kr.,78 m²,3,2.,Lejlighed,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,N/A,"UNDERSKRIV LEJEKONTRAKT PÅ EN BOLIG PÅ MINIMUM 84 KVM I JULI/AUGUST OG BETAL 0 KR FOR FØRSTE MÅNEDS LEJE!

Solviftens lejligheder er moderne indrettede og veludnyttede. Du får en nyopført, energioptimeret bolig, som er lige til at flytte ind i. Store vinduespartier sikrer masser af lys i boligen. Gulvene er i eg-laminat og derudover er der klinker i entre og badeværelse.",https://www.boligportal.dk/lejligheder/greve/78m2-3-vaer-id-5367309
