Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Møllehusvej, 4000 Roskilde  - 1. sal",Roskilde,Møllehusvej,4000,55.638497,12.069148,14.500 kr.,1.100 kr.,98 m²,4,1.,Lejlighed,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Nej,A,"35 nybyggede lejligheder med en central beliggenhed i Roskilde.
Her får du en hyggelig 4-værelses lejlighed der indeholder 3 værelser, køkken-alrum, badeværelse og 2 altaner.
Boligen består af en stue i forbindelse med køkkenet der indeholder integrerede hvidevarer. Derudover indeholder boligen et badeværelse med separat bruseniche og vaskemaskine og tørretumbler.
Lejligheden har to altaner, som giver et skønt lysindfald og mulighed for et dejligt uderum.
boligen består af 35 nybyggede rummelige lejligheder der fordeler sig på 2-4-værelser. Alle lejlighederne er udstyret med enten en tilhørende altan eller terrasse.
boligen er beliggende i Roskilde i nærheden af indkøb, og offentlig transport. Med kun 1,5 km til Roskilde centrum er boligen centralt placeret, og der er nem adgang til byens mange muligheder.
Der er mulighed for at købe en parkeringslicens igennem Roskilde kommune til at parkere på boligens parkeringspladser.
Derudover:
- Elevator i bygningen
- Mulighed for parkering i området
- Cykelparkering i terræn
- Skur/depotrum medfølger
Det med småt:
- Det er ikke tilladt at stå i RKI
- Bemærk, at billederne ikke nødvendigvis er taget af/fra den pågældende lejlighed, og at udsigt m.v. derfor kan variere.",https://www.boligportal.dk/lejligheder/roskilde/98m2-4-vaer-id-5353514
"Annagade, 4220 Korsør  - 1. sal",Korsør,Annagade,4220,55.339492,11.135878,7.000 kr.,1.100 kr.,98 m²,3,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Stor 3 værelses lejlighed beliggende på Annagade tæt på indkøb og skole. Lejligheden indeholder stue, 2 værelser, badeværelse og nyere køkken. Det er tilladt at holde en hund i lejemålet såfremt at husordenen overholdes.",https://www.boligportal.dk/lejligheder/kors%C3%B8r/98m2-3-vaer-id-5371905
"Bjælkerupvej, 4660 Store Heddinge",Store Heddinge,Bjælkerupvej,4660,55.318756,12.37912,6.950 kr.,1.350 kr.,78 m²,3,-,Lejlighed,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Nej,N/A,"Flot og velindrettet 3-værelses stuelejlighed.

Indeholder: Møblerbar entre, 2 værelser, stor stue i åben forbindelse til pænt køkken samt flisebadeværelse med plads til vaskemaskine.

Aconto forbrug indeholder: varme og vand.

Et lejemål der skal ses - udlejes nyistandsat.

Vores sagsnr. 13-1303-1",https://www.boligportal.dk/lejligheder/store-heddinge/78m2-3-vaer-id-5371815
"Nordborggade, 8000 Aarhus, Aarhus C  - 4. sal",Aarhus,Nordborggade,8000,56.145686,10.185422,8.400 kr.,800 kr.,72 m²,2,4.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Lejligheden har 2 store separate værelser hvoraf det ene har udgang til altan. Lejligheden har alt i hårde hvidevarer bl.a kombi vaske-/tørremaskine samt opvaskemaskine.

Lejligheden er delevenlig for 2.",https://www.boligportal.dk/lejligheder/aarhus/72m2-2-vaer-id-5375245
"Jomfrugang, 6100 Haderslev  - 2. sal",Haderslev,Jomfrugang,6100,55.249059,9.486095,4.500 kr.,650 kr.,54 m²,2,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,G,"Dejlig, roligt kvarter i Haderslev - Absolut centralt beliggende lejlighed med få minutters gåafstand til Torvet for enden af Haderslevs hyggelige gågaden, Storegade, der strækker sig fra Storegade i nord til det smukke Torv i syd. Her findes et væld af specialbutikker, grønne oaser, hyggelige caféer – masser af atmosfære.

Mange dagligvarer butikker lige i området – Rema, Netto, Meny, Føtex, Aldi m.v. 

Desuden ligger ejendommen med meget kort afstand ned mod Haderslev Dampark – under 3 min. Her kan du nyde de grønne områder, blomsterbedene eller leje en vandcykel til en tur på inderdammen.

Ca. 5 km. til motorvejsnettet E45. 

Super fin 2 vær. lejlighed på gode 54 kvm. Her får du plankegulv i både stue og soveværelse samt flisebadeværelse, der ligger med indgang fra lille mellemgang, hvor der er faste skabe fra gulv til loft. 

Regulær stue, hvorfra der er videre adgang til regulært værelse.

Køkken med vinyl på gulvet og med mulighed for opsætning af lille spiseklap. Der er komfur, emhætte samt køle-/fryseskab. 

Flisebadeværelset er med håndvask nedfældet og med underskabe til opbevaring. Hvid sanitet. Separat bruseniche med fliser. 

Evt. mulighed for tremmerum i kælderen – spørg udlejer ved fremvisningen. 

Udover den angivne AC til varme og vand, vil der komme udgift til el. Lejer bliver tilmeldt selvstændig elmåler. 

Telefonisk kontakt til det angivne mobilnr. kan ske hverdage mellem kl. 8.00 – 16.00. Det er også muligt at sende sms til mobilnr. indenfor det angivne tidspunkt. Efter kl. 16.00 bedes henvendelse ske via mail på Bolikgportalen.dk. Besvarelse af kald, sms og mail vil ske snarest muligt efter modtagelsen. 

Mulighed for at flytte ind uden af betale kontant depositum:
På dette lejemål har vi en samarbejdspartner, der kan hjælpe dig med finansieringen og derved kan erstatte det kontante depositum. Spørg vores udlejningsansvarlige, når I mødes ved fremvisning",https://www.boligportal.dk/lejligheder/haderslev/54m2-2-vaer-id-5197742
"Hedelunden, 2670 Greve  - Stuen",Greve,Hedelunden,2670,55.60629,12.331251,11.200 kr.,1.100 kr.,63 m²,3,Stuen,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,B,"Boligerne 
Lyse og funktionelle boliger i ét plan med et minimalistisk udtryk. Boligernes mange forskellige størrelser giver plads til både singlen, parret eller hele familien. Boligernes er lyse og indbydende med regulære rum, der er nemme at indrette. Både køkken samt badeværelse er holdt i moderne og tidløse materialer. Til alle boligerne medfølger egen terrasse og depotrum i ejendommens kælder. 
 
Ejendommen
Imødekommende boliger i et stille og naturskønt område med egne udearealer og gode parkeringsmuligheder. 
 
Området
Hundige Landsby har en naturskøn beliggenhed ud til rekreative naturomgivelser ved Søparken. Området er tæt på det meste, herunder blandt andet Hundige Strandpark og havnen. Derudover har du stationen og storcentret Waves inden for kort afstand. 
 
Bemærk, billederne er ikke fra den eksakte bolig.",https://www.boligportal.dk/lejligheder/greve/63m2-3-vaer-id-5374901
"Danmarksgade, 9000 Aalborg, Aalborg  - 3. sal",Aalborg,Danmarksgade,9000,57.045179,9.925425,6.395 kr.,550 kr.,76 m²,3,3.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Når du træder ind i lejligheden, vil du straks blive mødt af en rummelig og indbydende atmosfære. Fordelingsgangen leder ind til pænt lyst køkken, flot rumligt badeværelse og 3 værelser.Det stilfulde køkken er udstyret med opvaskemaskine og kølefryseskab og har masser af skabsplads til opbevaring af dine køkkenredskaber.De tre værelser i lejligheden er lyse og rummelige, hvilket giver dig masser af plads til at indrette efter dine ønsker.",https://www.boligportal.dk/lejligheder/aalborg/76m2-3-vaer-id-4968106
"Nyvej, 8920 Randers, Randers NV  - Stuen",Randers,Nyvej,8920,56.468668,10.021755,2.995 kr.,550 kr.,46 m²,1,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,D,"Lejlighed, Nyvej 8920 Randers Nv. Flot lejlighed i en total renoveret ejendom. Der er lagt nye egetræs trægulve.  Fransk syd vest vendt altan med flot udsigt.
Nyere køkken, nyere badeværelse med gulvvarme. God tør og varm vaskekælder, samt stor fælles have anlæg.
Centralt beliggende, tæt på skole og indkøb. Eget kælderrum.",https://www.boligportal.dk/lejligheder/randers/46m2-1-vaer-id-4962724
"Sct Knudsgade, 4100 Ringsted  - 3. sal",Ringsted,Sct Knudsgade,4100,55.445855,11.789776,9.500 kr.,900 kr.,109 m²,3,3.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,C,"Lejligheden har en af byens bedste beliggenheder. Tilhørende kælderrum og mulighed for cykelparkering. Den ligger på en sidegade, meget tæt på torvet. Tæt på offentlige transportmidler- gåafstand til togstation. 5 min. så er I på motorvejen til København eller Fyn.
Ringsted har masser af kultur. Grønne områder meget tæt på. Plus biograf, koncerthus og handlemuligheder svømmehal  m.m. 
Men kontakt os endelig for flere detajler.",https://www.boligportal.dk/lejligheder/ringsted/109m2-3-vaer-id-5365955
"Dexter Gordons Vej, 2450 København, København SV",København,Dexter Gordons Vej,2450,55.647285,12.547972,19.900 kr.,1.500 kr.,120 m²,4,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,C,"Kanallejlighed i 3 plan med egen terrasse og ponton.

Entré med indbygget garderobe og adgang til opbevaringsrum/kontor. Videre adgang til flot flisebadeværelse med separat brus – en af lejlighedens to badeværelser fordelt på to etager. Stort og rummeligt køkkenalrum med HTH elementkøkken holdt i hvidt grebsfrit-design. 

Alrummet ligger i åben forbindelse i forskudt plan til boligen opholdstue, som har over 4 meter til loftet. Fra stuen er der udgang til vandet og boligens ponton og udsigt til kanalerne.

1 sal.: Stort soveværelse med fuld vindueskig over kanalerne samt rummeligt værelse mod gården. Lyst og rummeligt badeværelse med vaskemaskine og tørretumbler. Endvidere fordelings gang/repos med trappe og adgang til depotrum.

Boligen er desuden udstyret med gulvvarme og lavenergiruder og indbygget HTH skabe

Lejligheden har opvaskemaskine, vaskemaskine, ovn, køle/fryseskab.

Der må ikke holdes husdyr i lejligheden.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/120m2-4-vaer-id-5376697
