Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Skovparken, 6000 Kolding  - 2. sal",7.408 kr.,1.899 kr.,122 m²,5,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Vi kan nu tilbyde denne bolig på 122 m2 beliggende i Kolding
For at kunne leje denne bolig, kræver det man er medlem af boligforeningen. På BoligPortal annonceres kun reelt ledige boliger uden eksisterende venteliste på annonceringstidspunktet. Venligst kontakt udlejer hvis du er interesseret i lejemålet.",https://www.boligportal.dk/lejligheder/kolding/122m2-5-vaer-id-5329514
"Hørmarken, 5260 Odense, Odense S  - 1. sal",4.263 kr.,N/A,35 m²,1,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Dejlig 1-værelses lejlighed i Odense S

Lejligheden ligger i Odense S i et stille og rolig område med kort afstand til universitetet, indkøbsmuligheder mv.

El, vand, varme og antenne opkræves direkte fra de pågældende forsyningsselskaber

Der er adgang til følgende:
- Fælles vaskeri
- Fælles gård/haveanlæg
- Cykelparkering",https://www.boligportal.dk/lejligheder/odense/35m2-1-vaer-id-5377881
"Moselundsvej, 3000 Helsingør  - 5. sal",15.195 kr.,1.400 kr.,124 m²,4,5.,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Nej,Ja,N/A,"De nyetablerede lejligheder i TRETÅRNET står indflytningsklar. De er alle funktionelt indrettet, og tilpasset de forandringer der kommer med alderen. Du får et hjem for resten af livet – ikke blot en periode.
Vi ved, det kan være svært at flytte i noget mindre. Derfor findes lejlighederne i varierende størrelser fra 1 til 4 værelser, så du eller I kan finde den rette lejlighed, hvor I kan skabe jeres hjem. Lejlighederne har alle faste skabe, som gør det nemt at gemme ting væk.
Til hver lejlighed medfølger også et depotrum, hvor ting, I ikke bruger dagligt, kan opbevares.
TRETÅRNET kan næsten ikke være placeret bedre, midt i det naturskønne område Teglstrup Hegn, tæt på Helsingør by, med nationalpark på to sider. Her kan du gå, løbe eller få jord under neglene i de fælles udearealer, hvor fritiden kan dyrkes, til den kan spises. Udsigten til den gode dag kan også nydes fra de to store tagterrasser med udsigt over Teglstrup Hegn og Øresund. Her på den blomstrende terrasse findes også et orangeri, grill og loungemøbler.",https://www.boligportal.dk/lejligheder/helsing%C3%B8r/124m2-4-vaer-id-5366312
"Digmannsvej, 9400 Aalborg, Nørresundby  - 1. sal",6.117 kr.,300 kr.,69 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,N/A,Lejlighed i Nørresundby med 2 værelser.,https://www.boligportal.dk/lejligheder/aalborg/69m2-2-vaer-id-5359753
"Byhaven, 8600 Silkeborg  - 1. sal",10.200 kr.,1.000 kr.,109 m²,4,1.,Lejlighed,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,N/A,"Projektet Byhaven består af 98 stk. 3-4 værelses lejligheder, som varierer fra 97 til 113 m². Alle boligerne har et lyst køkken-alrum med plads til hele familien. Hele lejligheden er udstyret med gulvvarme i flere zoner og med slidstærke gulve. 
Hverdagens madlavning bliver del sjovere i kvalitetskøkkenet fra Designa med grebsfri låger, god skabs- og bordplads. Udover at være udført i kvalitetsmaterialer er lejlighederne ligeledes udstyret med køle/frys, opvaskemaskine, emhætte, ovn. Dit badeværelse er rummeligt, lyst og spækket med smukke klinker. 
Lejlighederne er opført med tanke på optimal udnyttelse af pladsen og der er mulighed for at vælge mellem forskellige typer af lejemål. I hele lejligheden får du udsigt og strålende lysindfald.

I alle Byhavens lejeboliger får du en ekstra stor, privat altan eller terrasse, som har direkte adgang fra stuen, så du bare kan slå døren op og træde ud. Fra 1. sal og op får du en stor, privat altan, hvorimod stueplanen byder på en stor afskærmet terrasse.

Øverst på tagterrasserne er der fælles byhaver med udsigt, plads til fællesskab i det store drivhus og gode rammer til at drikke kaffe med naboen og invitere til fællesspisning.
Der er adgang til mere end 100 parkeringspladser, hvor der opsættes lade standere.

OBS. Billederne er af vores prøvebolig.",https://www.boligportal.dk/lejligheder/silkeborg/109m2-4-vaer-id-5349572
"Store Gråbrødrestræde, 5000 Odense, Odense C  - 3. sal",6.092 kr.,450 kr.,44 m²,1,3.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,N/A,"Vi udlejer nu denne fede lejlighed med altan, som er beliggende på 2. sal. Overtagelse pr. 01-09-23.

I nyere ejendom i gågaden udlejer vi denne 1-værelses lejlighed. 

Det er en super lækker lejlighed til dig, som sætter pris på noget der er nyt og med materialer af høj kvalitet.

Den er indrettet med et lyst HTH-køkken med alle hårde hvidevarer, som ligger i forlængelse af stuen, et stort badeværelse med vaskemaskine og tørretumbler, indbygget spots og bruseniche med rain-shower bruser.

Dertil er der tilhørende kælderrum, aflåst cykelparkering, elevator i ejendommen og fælles træterrasse på 2. sal, hvor du kan nyde de lune sommeraftner.

Med denne fantastiske placering, kan du næsten ikke bo mere centralt i Odense. Du kommer til at bo lige dér, hvor det sker. Rundt om hjørnet fra ejendommen finder du både Vestergade med diverse butikker og caféer, samt Jernbanegade med velkendte restauranter og barer, som bl.a. Amy’s Winehouse og Café Skt. Gertruds.

En lejlighed, som bestemt bør ses!

a´conto varme pr. mdr. kr. 300,- + a´conto vand pr. mdr. kr. 150.",https://www.boligportal.dk/lejligheder/odense/44m2-1-vaer-id-5338208
"Gammel Kongevej, 8260 Aarhus, Viby J  - Stuen",2.800 kr.,300 kr.,18 m²,1,Stuen,Værelse,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,F,"Klubværelse med egen indgang og stort indbygget skab med vaskekumme/spejl/toiletskab.

Beliggende i stueetagen i mindre udlejningsejendom og kun
3 km fra Aarhus Hovedbanegård. 

Gode muligheder for offentlig transport med 5 buslinier samt Aarhus Letbane
inden for ca. 200 m.

Altid ledige parkeringspladser (gratis) på offentlig vej 2-10 m. fra ejendommen.

Adgang til toilet på bagtrappe (stueetage), fælles bad (i kælder), fælles  
køkken (stueetage), cykelparkering og have.

Mulighed for tilslutning til Internet via ejendommens Wi-Fi eller 
kabel-tv stik (Aarhus Antenneforening/Vios) mod betaling.

Adgang til vaskemaskine og tørretumbler i kælder mod betaling.

Dagligvarebutik inden for 25 m.

Anvendelse: alm. beboelse for max. een person.",https://www.boligportal.dk/v%C3%A6relser/aarhus/18m2-1-vaer-id-5378663
"Huslodsvej , 7000 Fredericia  - 1. sal",8.400 kr.,0 kr.,70 m²,2,1.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,A,"KONTAKT OS FOR AT BOOKE EN FREMVISNING ELLER MELD DIG TIL ÅBENT HUS HVER TORSDAG FRA 15-16.

Nymarkshaven er stilrene, velindrettede lejeboliger tæt på det hele. Størrelserne på boligerne er fra 56-136 m2, og selve indretningen gør dem velegnede til både singler, seniorer og små og store familier. Alle lejlighederne er velindrettede med bl.a. flot hvidt køkken i åben forbindelse med stuen, lækkert badeværelse med vaskesøjle. Der er masser af lysindfald i lejlighederne, og alle har adgang til egen lille terrasse eller altan.

Materialevalget understøtter bebyggelsens generelle moderne nordiske stil. Opholdsrummene har rustikke asketrægulve, som er både smukke og praktiske.

Køkkenelementer er i minimalistisk design fra Invita i modehvid. Grebene er indfræsede og optager dermed ikke plads, men giver i stedet både rene linjer og høj funktionalitet. Alle hårde hvidevarer er fra Siemens.

Badeværelserne er enkelt og tidløst indrettede med god plads til de installerede vaskemaskiner og tørretumblere fra Siemens. Badeværelserne har flotte klinker på gulv og i bruseniche. Vægge og lofter er malet hvide, så du let kan sætte dit eget individuelle præg på rummet.

Hver lejlighed har eget depotrum, der er fælles parkeringsplads samt fælles orangeri/væksthus, som indbyder til at mødes og hygge sig i hinandens selskab, mens børnene leger og bruger deres energi i trygge omgivelser. Området fremstår meget indbydende og veletableret med grønne arealer, træer og hyggelige kroge.

I området er der nemt afgang til både Brugsen samt Netto – og så er der kort afstand til Øster Strand, Volden samt gågaden.
Så med en beliggenhed i Nymarkshaven er du tæt på mange ting og ikke mindst et godt naboskab.

Det er også værd at fremhæve, at motorvejene E45 og E20 gør det nemt at komme videre til sit destinationsmål.  

Du har mulighed for at tage din lille hund eller kat med - skal godkendes af udlejer. 

**OBS. billederne viser vores udstillingslejlighed og ikke nødvendigvis den pågældende lejlighed. 
**Plantegningen er vejledende og uden ansvar.",https://www.boligportal.dk/lejligheder/fredericia/70m2-2-vaer-id-5308909
"Gøteborg Allé, 8200 Aarhus, Aarhus N  - 1. sal",7.400 kr.,544 kr.,51 m²,2,1.,Lejlighed,Nej,Nej,Ja,Ja,Nej,Nej,Nej,Ja,A,"Boligen har et godt køkken med komfur i forbindelse med boligens alrum. Derudover er der et rummeligt badeværelse med stor bruseplads. Både værelser og opholdsrum er med pæne parketgulve, mens badeværelserne har klinkegulv.

Ejendommen bliver opført med lækker gårdhave og adgang til stor fælles tagterrasse. Derud over er der gode parkeringsmuligheder på terræn til din cykel. Der vil desuden på 2. sal kunne findes fællesvaskeri samt et fint fællesrum med køkken, hvor beboere kan mødes til arrangementer og hyggestunder.

*OBS* - billederne er fra en lignende prøvebolig.",https://www.boligportal.dk/lejligheder/aarhus/51m2-2-vaer-id-5354195
"Nørrebrogade, 8900 Randers, Randers C  - 2. sal",3.700 kr.,500 kr.,58 m²,2,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,D,"Ny udbydes denne lækre 2'er, centralt placeret i Randers med kort afstand til indkøb, og dagtilbud. Vi er i gåafstand til Randers C, ligesom busforbindelserne kører, næsten lige forbi.

Lejligheden består af en rummelig stue. Herudover et dejligt soveværelse med genialt lysindfald, rummeligt køkken, samt et lyst badeværelse m. brus.

I opgangen forefindes vaskeri og cykelparkering i kælderen, samt en hyggelig gård m. grill.  For pendlerne, er der glimrende parkeringsmuligheder lige uden for dør",https://www.boligportal.dk/lejligheder/randers/58m2-2-vaer-id-5362662
