Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Degnejorden, 4320 Lejre, Højby",15.340 kr.,0 kr.,118 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,N/A,"Degnejorden – en moderne landsby med fællesskaber som omdrejningspunkt. Nyt byggeri skyder op af jorden i Lejre.

Landskabet imellem boligklyngerne på Degnejorden, er tænkt som et naturområde med varieret beplantning i form af forskellige træer og buske på en bund af enggræsser og urter. Igennem naturområdet etableres der trampestier og mindre opholds- og aktivitetsområder.

82 lejeboliger fordelt på 3 forskellige boligtyper i ét eller 2 plan. Udover lejeboligerne bliver der frasolgt 13 huse. 

I området bliver der bygget 1 forsamlingshus og 5 fælleshuse. Der etableres der 143 parkeringspladser til fri afbenyttelse inkl. handicappladser. Der opsættes tilmed 2 el-lade standere, således at der kan oplades 4 elbiler ad gangen.

Der er indflytning i 3 etaper og indflytningen for den enkelte bolig vil fremgå af den pågældende annonce. 

Der er ikke noget a conto beløb der skal betales via udlejer, da vand leveres af FORS og husene opvarmes med varmepumpe, hvor lejer selv skal tilmelde sig en el leverandør. 

Alle hårde hvidevarer medfølger. 

Boligerne kan reserveres ved at deltage på åbent hus. Vi holder åbent hus ca. én gang om ugen indtil alt er udlejet. Ønsker du at deltage i det åbne hus, så kan du sende en besked via annoncen og vil modtage en invitation til det næstkommende åbne hus.
Indflytningsprisen skal betales umiddelbart efter modtagelsen af lejekontrakten.

Det vil ikke være muligt at besigtige andre boliger end prøveboligen inden indflytning og det er under ingen omstændigheder tilladt at opholde sig på byggepladsen uden en invitation til åbent hus.

Billeder, plantegning og tekst er vejledende.

Hvis du er registreret i RKI kan vi desværre ikke tilbyde dig lejligheden. Dette kontrolleres ved udarbejdelse af lejekontrakt.",https://www.boligportal.dk/r%C3%A6kkehuse/lejre/118m2-4-vaer-id-5347172
"Hobrovej, 8900 Randers, Randers C  - 2. sal",6.600 kr.,950 kr.,134 m²,4,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Velholdt og nymalet 4-værelses lejlighed med stuk lofter og smukke nye afhøvlede og lakeret plankegulve. Støj reducerende ruder isat vinduerne ud mod Hobrovej.

Der findes entre, stue, 3 værelser, stort nyere køkken med plads til spiseplads, masser af skabsplads, opvaskemaskine, køle/fryseskab samt komfur med ovn. Nyere badeværelse med separat brus. Dejlig lukket fælleshave som kun kan benyttes af ejendommens beboere via aflåst port.

Stor, flot og tør kælder, hvor der er fælles vaskeri og tørre faciliteter. Til lejligheden er der 2 depot rum – et som tilgås indefra kælderen og et som tilgås udefra til f.eks. cykler. 

Stort lysindfald i lejligheden, idet der ikke findes en etage ejendom direkte på modsatte side.

Lejligheden er centralt beliggende, tæt på parkområde, banegård og med byens centrum i gåafstand. Der findes ligeledes flere indkøbsmuligheder indenfor 400 meter. Børnehave og skole ligger indenfor 100 meter.

Husdyr er ikke tilladt.",https://www.boligportal.dk/lejligheder/randers/134m2-4-vaer-id-5128572
"Nørregade, 8620 Kjellerup  - 1. sal",5.600 kr.,1.400 kr.,100 m²,2,1.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,N/A,"Spændende lejlighed i særklasse, fordelt på 2½ plan. 
På 1. sal findes en stue/entre samt badeværels med gulvvarme, masser af skabsplads og plads til en vaskemaskine. Fra det store køkken al-rum med spiseplads er der adgang til næste etage via en flot svungen trappe. Her er opholdsstuen med plads til både hyggekrog og kontor. Øverste etage er ikke vist på plantegningen, men hemsen er på ca. 10 kvm. og kan evt. bruges som gæsteværelse/opbevaring. 

A´conto forbrug på 1.400 indeholder både vand, el og varme.

Husdyr... tjah, det kommer lidt an på hvad.",https://www.boligportal.dk/lejligheder/kjellerup/100m2-2-vaer-id-5328574
"Nytorv, 1450 København, København K  - 5. sal",17.850 kr.,1.100 kr.,116 m²,3,5.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,C,"Ejendommen
Nu kan du bo i topmoderne lejligheder i hjertet af København - tæt på det hele. 
Knabro Passage er en historisk gammel ejendom, der nu omdannes fra erhverv til lejeboliger. 

Lejligheden
- Stort køkken/alrum med alle hårde hvidevarer
- Hyggelig stue
- Stort soveværelse med ovenlys vinduer
- 1 mindre værelse
- Moderne og flot badeværelse med vaskemaskine og tørretumbler
- Kælderrum
- Elevator i ejendommen
 
Området
Knabro Passage ligger klods op af Nytorv og Strøget, midt mellem hyggelige cafeer og lækre restauranter. Kun en gåtur fra biografer, parker, udstillinger og de smukke kanaler. Tæt på blandt andet Tivoli, Rådhuspladsen, Christiansborg, Stræderne, Vor Frue Kirke, Nørreport og Gråbrødre Torv.  Lejligheden  
Udlejer tillader ikke bofællesskaber eller husdyr.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/116m2-3-vaer-id-4681715
"Kildestrømmen, 9000 Aalborg, Aalborg  - 3. sal",8.100 kr.,700 kr.,72 m²,3,3.,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,A,"Lækker 3V lejlighed i lyse materiale og nordisk stil. Alt i hårde hvidevarer, Elevator, Grønt område med legeplads.God afstand mellem ejendommene. Tæt på indkøbsmuligheder, padel center, busafgange. 10 mins. gang til Aalborg station. Mulighed for egen p.plads for kr. 400 pr. md. Genvex, gulvvarme, dejlig rummelig altan. SMART låsesystem. Ledig fra 1.10 men mulighed for tidligere indflytning.",https://www.boligportal.dk/lejligheder/aalborg/72m2-3-vaer-id-5374194
"Skjoldsgade, 6700 Esbjerg, Esbjerg  - Stuen",3.094 kr.,775 kr.,33 m²,1,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,D,"Lækker 1-værelses lejlighed/studiebolig på Skjoldsgade i Esbjerg.

Lejligheden er en af 22 boliger målrettet studerende. Lejlighederne blev ny-renoveret og taget i brug i 2014.

Lejligheden fremstår lys og moderne- god skabsplads, dejlig badeværelse med gulvvarme og lækkert køkken.",https://www.boligportal.dk/lejligheder/esbjerg/33m2-1-vaer-id-5069930
"Vestre Fjordvej, 9000 Aalborg, Aalborg  - 2. sal",5.295 kr.,600 kr.,60 m²,2,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Velkommen indenfor i denne dejlige og lyse 2-værelses lejlighed beliggende på Vestre Fjordvej i Vestbyen af Aalborg. På Vestre Fjordvej nyder du Vestbyens ro og du er samtidig tæt på Vestre Fjordpark, hvor du kan tilbringe de varme sommerdage.

Lejlighedens 60 kvadratmeter fordeler sig over en entré/fordelingsgang, et lyst køkken, en rummelig stue med udgang til lejlighedens ene altan samt et soveværelse med indbyggede skabe og udgang til lejlighedens anden altan. 

Til sidst har du badeværelset, som er et funktionelt og typisk, charmerende Vestbyen-badeværelse med hvide klinker.

Kontakt os endelig, hvis du ønsker en fremvisning!",https://www.boligportal.dk/lejligheder/aalborg/60m2-2-vaer-id-5290270
"Else Alfelts Vej, 2300 København, København S  - Stuen",14.500 kr.,1.000 kr.,108 m²,4,Stuen,Lejlighed,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,A,"Lejligheden
                            Lejligheden fremstår lys og indbydende. Den er opført i klassiske, tidssvarende materialer. Fra entreen er der adgang til badeværelse med gulvvarme, indbyggede spots, separat bruseniche og vaskesøjle. I soveværelset finder du hvide skabe og mulighed for opbevaring. Køkkenet, som er opført i lyse materialer, byder på masser af skabsplads, indbyggede hårde hvidevarer og ligger i forlængelse af stuen. Stuen er med sit vidunderlige lysindfald, en god ramme for hverdagslivet. Det er muligt at ansøge om husdyrtilladelse i alle vores lejemål. OBS: ønskes der mål af lejligheden skal du selv huske opmålings udstyr til fremvisning, da der ikke er mål på plantegningen.

                                      NB: billederne   viser ikke den eksakte lejlighed, men er i stedet billeder fra en lejlighed med samme planløsning og i samme stand. Der kan forekomme mindre variationer i vindues-, altan- og radiatorplaceringer mellem boliger af samme type. Desuden kan udsigten variere, hvis typebilledet er taget fra en etage lidt højere oppe eller længere nede end den pågældende lejlighed. Derfor kræver vi altid, at du skal med ud på en fremvisning inden du kan underskrive en lejekontrakt, så du er helt sikker på, hvad du får.

                                                      Ejendommen
                            Hesteskoen, der er opført i 2015, har fået sit navn efter de tre karréer, som er placeret i en hestesko, der åbner op mod Kalvebod Fælled og sørger for, at alle lejligheder har udsigt mod det grønne. Bygningens konstruktion er simpel i sin grundform, men altanernes varierede placering tilfører strukturen en dynamisk karakter. Samtidig sikres gode lysforhold til alle lejligheder. Samlingspunktet er et stort, fælles gårdmiljø med plads til både udfoldelse, ophold og leg. Og så er der direkte adgang til sø og egen bådebro, hvorfra det er muligt at sejle kajak. Ejendommen byder desuden også på bl.a. elevator, dørtelefon, affaldsskakt og mulighed for aflåst cykelparkering i kælderen. Der er desuden opført parkeringshus i forlængelse af ejendommen, med mulighed for at leje p-plads (skal dog lejes gennem By&Havn og ikke Balder ).

                                      Lokalområdet
              Ørestad Syd er Københavns nye grønne bydel omgivet af natur og vand - og med en god blanding af boliger, erhverv, uddannelse og kultur. Området er kendetegnet ved sammenstødet mellem moderne arkitektur og Kalvebod Fælleds vidtstrakte natur. Kvarteret er i konstant udvikling og de tusindvis af nye beboere er med til at gøre Ørestad Syd til en bydel fuld af liv og aktivitet. Selvom den fredede natur ligger lige i baghaven, er man som beboer i Ørestad Syd meget tæt på Københavns midte og puls. På cykel eller med metro kan du være på Christianshavn på 11 minutter eller på Nørreport St. på 14 minutter. I Ørestad Syd har du dog adgang til alt hvad hjertet begærer, uden at forlade kvarteret. Foruden den storslåede natur, har du Danmarks største shopping center, Field’s, store kulturoplevelser i Royal Arena, caféliv, sportsklubber, skoler, børnehaver og indkøbsmuligheder lige uden for døren.

                      
Bofællesskab ikke muligt.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/108m2-4-vaer-id-4107533
"Borresøvej, 8240 Aarhus, Risskov  - Stuen",7.495 kr.,225 kr.,58 m²,2,Stuen,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,N/A,"I denne bolig får du


Lækkert Svane køkken med opvaskemaskine
Åbent køkkenalrum i forbindelse med stuen.
Badeværelse med vaskemaskine og tørretumbler.
Altan
Gode parkeringsmuligheder
Eget aflåst kælderrum
Elevator
Aflåst cykelparkering i kæleren

Husdyrhold er ikke tilladt og det er ikke muligt at opnå tilladelse til husdyrhold.

Bofællesskaber og delebolig er ikke tilladt.

Det er ej heller muligt at leje en bolig, såfremt du er registreret i RKI.

Området:

Velkommen til Syrenhuset i Risskov

Syrenhuset er beliggende på Borresøvej er i det nye område omkring Risskov. Området kaldes Risskov Engbyen. Her har man indkøb lige om hjørnet, og i gåafstand til offentlig transport, herunder letbanen, Aarhus Universitet og ikke mindst centrum af Aarhus.

I kort afstand herfra findes mange indkøbsmuligheder, specialbutikker, café, bager, skole, daginstitution og fitness. Hele området er trukket tilbage fra de store veje, hvorfor området også er meget børnevenligt. Her er ligeledes fælles gårdhave og legeplads til de mindste.

En lille cykeltur herfra ligger det naturskønne område omkring Engsøen, skov og en badetur ved stranden kan ligeledes klares i cykelafstand.

Borresøvej er bygget i 2017 og tegnet af Arkitema Architects, og der er prioriteret funktionalitet og lysindfald samt indretning i gode og tidsløse materialer med inventar fra Svane, Siemens hårde hvidevarer og 1-stavs lamelplank i eg.",https://www.boligportal.dk/lejligheder/aarhus/58m2-2-vaer-id-5310734
"Gl. Jennumvej, 8930 Randers, Randers NØ  - 3. sal",9.245 kr.,2.050 kr.,129 m²,4,3.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,N/A,"På Gl. Jennumvej, finder du 16 lejemål, lejlighederne fordeler sig på fire til fem værelser - perfekt til, parret eller den lille familie.

Stor lys lejlighed med entre, dejligt køkken i åben forbindelse med stue og udgang til stor altan eller have.

I denne fireværelses lejlighed får du:


Tre gode værelser
Stor altan
Badeværelse med bruseniche og spabad
Bryggers med plads til vaskemaskine og tørretumbler
Stort lyst køkken med plads opvaskemaskine
Eget skur
Adgang til elevator
Gratis parkering

Lejevilkår:


Det er ikke tilladt at have husdyr.
Det er ikke muligt at leje boligen, hvis du er registreret i RKI.

* Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende bolig, og at udsigt m.v. derfor kan variere

Området:

Gl. Jennumvej ligger i den nordøstlige del af Randers, tæt på den tidligere Randers Kaserne, der i dag er lukket, men som fungerer som et erhvervsområde for mindre kontorerhverv og lignende.

Området har grønne fællesareal børnehave og fritidsklub, som er beliggende 100 meter fra boligerne.

Der er få kilometer til Randers City, hvor der er et rigt handelsliv.",https://www.boligportal.dk/lejligheder/randers/129m2-4-vaer-id-5376285
