Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Kalbyrisvej, 4700 Næstved  - 1. sal",6.500 kr.,0 kr.,76 m²,3,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,N/A,1.sal sf villa har eget køkken og bad stue og 2dtote værelset ligger tæt på centrum skole  bus 15min til storcenter  og 10 mn til axeltorvet,https://www.boligportal.dk/lejligheder/n%C3%A6stved/76m2-3-vaer-id-5369273
"Hovedgaden, 2640 København, Hedehusene  - 2. sal",10.900 kr.,1.200 kr.,74 m²,3,2.,Lejlighed,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Ja,B,"Åbenthus søndag d. 16.04.2023 kl. 14.00-14.30

Flot og fuldstændigt nyistandsatte lejligheder midt i Hedehusene by. Der er 14 lejemål alt i alt 

Station og indkøb er lige om hjørnet.

indflytning hurtigst muligt

OBS. Billederne er fra 1-2 lejligheder hvorfor de billederne i ser måske ikke er for samme lejlighed.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/74m2-3-vaer-id-5358408
"Nordre Frihavnsgade, 2100 København, København Ø  - 1. sal",4.600 kr.,0 kr.,15 m²,1,1.,Værelse,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,C,"Værelset er meget attraktivt, da det er stort og ligger godt og privat placeret i lejligheden. Det er nymalet og umøbleret. Der er adgang til stort badeværelse med vaskemaskine og ligeledes stort køkken med spiseplads. Hele lejligheden er på 124 m2 og ligger i det skønne indre Østerbro tæt på gode badefaciliteter, transport samt byens gode shopping muligheder. Huslejen er incl el, vand og varme. Som udlejer er jeg virkelig sød og har ikke så mange regler, men forventer selvfølgelig almindelig dannelse og pli :)) Jeg bor alene og arbejder som skolelærer og har et aktivt liv med familie, venner og interesser og er sød. Jeg er 57 år og ønsker kun kvindelige lejere.",https://www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/15m2-1-vaer-id-5338853
"Tårnfalkevej, 3600 Frederikssund  - Stuen",7.748 kr.,800 kr.,58 m²,2,Stuen,Lejlighed,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,N/A,"Lejligheden består af et soveværelse, et badeværelse samt et åbent køkkenalrum i forbindelse med stue.

Badeværelset er i lyse materialer og inkluderer en håndklædetørrer, gulvvarme samt skabsplads. Hertil er der klargjort til opsætning af vaskemaskine og tørretumbler.

Køkkenet er et vinkelkøkken med god skabsplads samt en installeret emhætte. Hertil er der klargjort til opsætning af køleskab, opvaskemaskine og komfur. Lejemålet inkluderer ikke hårde hvidevarer. I forlængelse af køkkenet ligger en åben stue med et stort vinduesparti, som giver et flot lysindfald i lejligheden. Fra stuen er det muligt at åbne op til en stor altan.

Lejligheden overtages nyistandsat. Til lejemålet medfølger også et depotrum på 3 kvm til opbevaring.
Det er ikke tilladt at have husdyr på nær fisk, små fugle, skildpadder og hamster, så længe de ikke er til gene for ejendommens øvrige beboere.

For at komme i betragtning til lejligheden, er det et krav, at man ikke er registreret i RKI.

Lejligheden er beliggende i en nyere ejendom fra 2016/2018 med elevator. Ejendommen ligger ud til Falkenborgvej sammen med fire andre beboelsesejendomme. Til ejendommen er gode parkeringsmuligheder i form af en fælles parkeringsplads, hvor det er muligt at få tildelt 1 stk. p-licens pr. lejlighed. Der er ingen faste pladser, og det fungerer efter først-til-mølle-princippet. På parkeringspladsen er der ladeløsning til elbiler.

Ejendommen ligger ud til et dejligt, grønt område. Her kan børnene slippes løs på den nyetablerede legeplads med pannabane, hvor der er rig mulighed for leg og sjov. Ved siden af er der ligeledes etableret outdoor træningsområde til aktivering af de voksne. Det er også muligt at tage nyde en kop kaffe under kastanjetræerne eller tilberede et lækkert måltid i den fælles grillhytte, som også rummer to bålsteder.

Lejligheden er ledig fra den 1. oktober 2023 eller snarest herefter.

Lejligheden fremvises torsdag den 10. august kl. 16:00, efter forudgående tilmelding.",https://www.boligportal.dk/lejligheder/frederikssund/58m2-2-vaer-id-5378319
"Gl. Landevej, 7400 Herning  - 1. sal",3.200 kr.,300 kr.,30 m²,1,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"1. værelses lejlighed ledig i Herning
 Central beliggenhed (800 m. til gågade) 7400 Herning 
 Eget bad og the-køkken
 25m2 
 Gratis vask/tørre 
 Cykelskur 
 Stor have 
Afstand til uddannelsessteder: 
200m. til: Erhvervsakademi MidtVest 
600m. til: Social & Sundhedsskolen
700m. til: Herning Gymnasium 
800m. til: Herning HF & VUC 
1300m. til: Herningsholm Erhvervsgymnasium (HHX & HTX)  
1400m. til: Herningsholms Erhvervsskole 
Afstand til indkøb, banegården, tank og fitness: 
600m. til: OK Tankstation 
950m. til: Føtex 
1100m. til: Banegården 
1200m. til: Fitness World 
1300m. til: Rema 100 

Lejligheden er ikke møbleret",https://www.boligportal.dk/lejligheder/herning/30m2-1-vaer-id-5199739
"Karlsbjergvej, 5672 Broby",5.650 kr.,200 kr.,100 m²,4,-,Lejlighed,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,N/A,"Dejlig lejlighed indrettet i Brobygaards tidligere karlekamre. Stor stue med køkken, stort badeværelse, gang samt 3 værelser, ca. 100 kvm, opvarmes med oliefyr og brændeovn. Månedlig leje 5.650 kr. depositum kr. 16.950 a conto vand og spildevand 200 kr. pr. måned",https://www.boligportal.dk/lejligheder/broby/100m2-4-vaer-id-4797551
"Langelandsgade, 8200 Aarhus, Aarhus N  - 1. sal",11.695 kr.,1.000 kr.,88 m²,4,1.,Lejlighed,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Nej,C,"KUN 2 MDR. I DEPOSITUM!

Velkommen på Langelandsgade i Aarhus N.

Denne dejlige, lyse lejlighed ligger placeret tæt på Universitet, fitness, indkøb, grønne omgivelser og en kort tur på cykel til Aarhus C.

Lejligheden indeholder:

• Altan

• Indbydende og lyst indrettet køkken med opvaskemaskine

• Fint badeværelse med separat bruseniche

• Stor stue og gode værelser

Lejligheden kan både bruges som delelejlighed, men passer absolut også godt til et par, eller eller lille familie.

Vi lejer ikke ud til personer registreret i RKI.

Billederne er fra en lignende lejlighed i samme bygning.

Interesseret i at komme ud og se lejligheden - kontakt os allerede i dag.",https://www.boligportal.dk/lejligheder/aarhus/88m2-4-vaer-id-5363202
"Samsøgade, 9800 Hjørring  - 2. sal",5.408 kr.,750 kr.,101 m²,5,2.,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Nej,N/A,"Stor lys lejlighed, godt indrettet til evt dele/børne familie. Roligt kvarter.
Lejligheden ligger på 2 sal, opgangen er ny malet. Udsigt ud over Hjørring. Tæt på skole, uddannelser, midt by m.m,
vinduer i alle retninger. 
Hyggeligt gårdmiljø, med mulighed for være ude på stor terrasse.
Træ gulv i hele lejligheden. 
Der er vaske rum, med mulighed for egen tilkobling af evt vaskemaskine og tørre tumbler. 
Opvaskemaskine køleskab m frys.
Eget kælder rum på 6m2.. 
inkl trappevask

Vi kontaktes gerne for spørgsmål",https://www.boligportal.dk/lejligheder/hj%C3%B8rring/101m2-5-vaer-id-4769858
"Borgergade, 9000 Aalborg, Aalborg  - 1. sal",7.158 kr.,1.172 kr.,89 m²,3,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Denne herskabelige lejlighed er super god med alt man har brug for.
Badeværelse med spots i gipsloft.

Køkken med keramisk komfur, køle/fryseskab, emhætte og opvaskemaskine.

Vaskemaskine/tørretumbler.

Skab i soveværelse.

Afhøvlede/oliebehandlede gulve, linoleumsbelægning i køkken.
Lejen indeholder henlæggelse til indvendig vedligeholdelse (§117) p.t. kr.370,83 kr. pr. måned.
Leje nr : 1214OAAB",https://www.boligportal.dk/lejligheder/aalborg/89m2-3-vaer-id-5351808
"Borgdalsparken, 8600 Silkeborg",11.700 kr.,0 kr.,131 m²,5,-,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Ja,N/A,"På Borgdalsparken i Sejs udlejer vi 26 rækkehuse og 52 lejligheder i varierende størrelser mellem 72 og 131 m2. 

OM BOLIGEN:
Alle boliger er lyse og velindrettede med hvidt inventar, hvide vægge og lyse lofter. Boligen her er en 5-værelses lejlighed beliggende på 1. sal. Boligen har egen indgang via svalegang. 

Lejligheden består af kombineret entre/brygger, et stort køkken/alrum i åben forbindelse med stue, et rummeligt badeværelse og 4 værelser med skabsplads.

UDE:
1.sals lejlighederne har en svalegang med direkte indgang, og her er det også muligt at indrette sig med cafébord eller lignende. 

HÅRDE HVIDEVARER:
Boligerne har gulvvarme, ventilationsanlæg, fibernet og hårde hvidevarer i form af opvaskemaskine, vaskemaskine, tørretumbler, køleskab, ovn og induktionskomfur.

HUSDYR:
Katte: Lejere kan ansøge om tilladelse til at holde én indekat på adressen. Udekatte er ikke tilladt.
Hund: Lejere i rækkehusene og i stuelejlighederne kan ansøge om tilladelse til at holde hund. Det er ikke tilladt at holde hund i lejlighederne på 1. sal.
Andre dyr: Kontakt os for vores samlede husdyrsregler.

PARKERING:
Beboerne i lejlighederne på 1. sal har adgang til en fælles p-plads.

ELEVATOR:
Der er ikke elevator.

OM OMRÅDET
Rækkehusene er belliggende i Sejs-Svejbæk 7 km sydøst for Silkeborg. Sejs og Svejbæk har tidligere været to adskilte byer, men er i dag vokset sammen til et samlet byområde med skole, daginstitutioner, togstation samt diverse dagligevare- og specialforretninger. Ud over disse praktikaliteter finder du her noget af det smukkeste natur i Søhøjlandet. Området strækker sig ned til Brassø - en del af Gudenå-systemet - og søen er velbesøgt af både kajak- og kano-roere. Derudover grænser Sejs-Svejbæk op til både skov og de smukke lyngbakker Sindbjerg og Stoubjerg. 

Sejs-Svejbæk ligger ligeledes godt placeret rent trafikalt. Fra Borgdalsparken er der kun 5 km til motorvejen mod Aarhus eller Herning, ligesom der både er gode bus- og togforbindelser til og fra Svejbæk station.",https://www.boligportal.dk/lejligheder/silkeborg/131m2-5-vaer-id-5189456
"Østergade, 7600 Struer  - 2. sal",6.000 kr.,700 kr.,95 m²,3,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,C,"Lejligheden er lige blevet gennemgribende renoveret og vi mangler en ny lejer.

Lejligheden ligger i en rolig og velfungerende ejendom - desværre uden elevator og man må ikke holde husdyr.",https://www.boligportal.dk/lejligheder/struer/95m2-3-vaer-id-1692045
