Type,Name,Latitude,Longitude
Schools,Heerup Skole,55.69242596363636,12.509173109090908
Schools,Rødkilde Skole,55.697162866666666,12.5076013
Schools,Bakkegårdsskolen,55.74689482941176,12.525695364705882
Schools,Karinedals Skole,55.69079313571429,12.497407035714284
Schools,Tre Falke Skolen,55.68005848888889,12.497784544444444
Schools,Blaagaards Seminarium,55.723062041666665,12.476918383333333
Schools,Brønshøj Gamle Skole,55.70342296,12.49816378
Schools,Utterslev Skole,55.711240272727274,12.519486909090908
Schools,Ørestad Skole,55.63110666923077,12.58146000576923
Schools,Sundbyøster Skole,55.651665884,12.61411086
Schools,Amager Lille Skole,55.65143061,12.61717995
Schools,Skelgårdsskolen,55.60516316216216,12.587284805405403
Schools,Københavns Åbne Gymnasium,55.65503785,12.524063725
Schools,Kofoeds Skole,55.66688626470588,12.617730058823527
Schools,Hanssted Skole,55.66588843333333,12.486713691666665
Schools,Ålholm Skole,55.67009925714286,12.494983714285715
Schools,Falkonergården Gymnasium og HF-Kursus,55.68130017142857,12.495283092857141
Schools,Søndermarkskolen,55.67440221,12.50262728
Schools,Lykkebo Skole,55.660112614285715,12.484783992857142
Schools,Damhusengens Skole,55.68615804666666,12.4803005
Schools,Vanløse Privatskole,55.68222338,12.48771544
Schools,Randersgades Skole,55.705794222222224,12.580883422222222
Schools,Billedskolen i Tvillingehallen,55.66827755641025,12.563367528205127
Schools,Blågårds Skole,55.68769427692308,12.550579176923076
Schools,Peder Lykke Skolen,55.65539968852459,12.598216249180329
Schools,Avedøre Skole,55.63228931333333,12.455894426666665
Schools,Øster Farimagsgade Skole,55.69259543571429,12.577864385714284
Schools,Heibergskolen,55.70298123076923,12.581848176923076
Schools,Den Classenske Legatskole,55.67288032,12.57577244
Schools,St. Petri Skole,55.679702222222225,12.569464672222223
Schools,DIA Privatskole,55.6902782,12.56164585
Schools,Lycée Français Prins Henrik,55.67406468235294,12.548343535294116
Schools,Frejaskolen,55.665045513333325,12.515462753333331
Schools,Valhøj Skole,55.67682901538462,12.450605138461539
Schools,Frederiksgård Skole,55.69663056666666,12.538928353333333
Schools,Freinetskolen,55.665914928,12.506205048
Schools,Skolen på Grundtvigsvej,55.67815352272727,12.539326159090908
Schools,Brønshøj Skole,55.703649985714286,12.495094557142856
Schools,Gladsaxe Skole,55.74514923,12.469665555
Schools,Gladsaxe Ungdomsskole,55.73543897692308,12.48561003076923
Schools,Buddinge Skole,55.74095523,12.504032465
Schools,Grønnemoseskolen,55.7314895,12.499775833333333
Schools,UCN 10. klasseskolen,55.66907067272727,12.4421288
Schools,Bjørns Internationale Skole,55.72173406666666,12.5586849
Schools,Ryparken Lille Skole,55.72150338,12.5582397
Schools,Gungehusskolen,55.6430718,12.468204971428571
Schools,Aurehøj Gymnasium,55.74574204,12.54528437
Schools,Rygaards Skole,55.73049784583333,12.55661505
Schools,Øregård Gymnasium,55.7381057090909,12.567199927272728
Schools,Tranegårdskolen,55.73908257,12.56714103
Schools,Tove Ditlevsens Skole,55.66626131818182,12.545161627272728
Schools,Skolen i Sydhavnen,55.6507088,12.5532061
Schools,Skovgårdsskolen,55.766078671428566,12.57051025
Schools,Frederiksberg Privatskole,55.67641639473684,12.458912136842104
Schools,Skolen på Islands Brygge,55.662267369841274,12.582740847619048
Schools,Valby Skole,55.66483268333333,12.508294138888887
Schools,Vigerslev Allés Skole,55.6623453,12.507604614285714
Schools,Sortedamskolens skolegård,55.69757454285713,12.577367614285714
Schools,Sortedamskolen indskolingshuset,55.69705734,12.57387178
Schools,Kirkebjerg Skole,55.69557326363636,12.483661563636364
Schools,Vidar Skolen,55.7537178125,12.531480325
Schools,Sankt Annæ Gymnasium,55.6564582875,12.5242219375
Schools,AHI International School,55.6877088875,12.487062925
Schools,"Glostrup Skole, afd. Skovvang",55.6839594,12.41424736
Schools,Amager Privatskole,55.62515708,12.59968028
Schools,Engstrandskolen,55.626318771428565,12.480261485714284
Schools,Holbergskolen,55.724310327272725,12.52982468181818
Schools,Præstemoseskolen,55.65460776,12.465986346666666
