Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Cortex Park, 5230 Odense, Odense M  - 5. sal",10.400 kr.,910 kr.,104 m²,4,5.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"I det attraktive campusområde Cortex Park finder du Cortex Housemed 96 lyse lejeboliger, som fordeler sig på to, tre og fire værelser – perfekt til den studerende, parret eller den lille familie.

Alle lejeboligerne i Cortex House er kendetegnet ved gennemtænkt planløsning udført i kvalitetsmaterialer og designet i ren, nordisk stil med flot lysindfald.

I denne delevenlige fireværelses lejlighed får du:


Tre gode soveværelser
Stue med åben forbindelse til dejligt køkken med alle hårde hvidevarer
Badeværelse med vaskesøjle
Adgang til elevator
Egen altan (fra 1. sal til 5. sal)
Adgang til møbleret, fælles tagterrasse
Eget depotrum i kælder
Overdækket cykelparkering
Mulighed for leje af p-plads i bygningens parkeringskælder

Området:

Cortex House byder på 96 lejeboliger med plads til den lille og store familie, singler og studerende fordelt på to til fire værelser (72-104 m²).

Ejendommen er bygget i 2018 og ligger med fantastisk placering tæt på naturskønne områder, få minutters gang til Syddansk Universitet i Odense og den nye letbane lige rundt om hjørnet. 

De to møblerede tagterrasser indbyder til fællesskab og naboskab – eller picnic med familien. Områdets stisystemer bringer dig hurtigt ud til grønne områder, boldbaner og sportsfaciliteter, universitetet, indkøb og daginstitutioner.

Letbanen – som kører lige rundt om hjørnet – bringer dig hurtigt til Odense centrum, hvor du kan benytte dig af de mange kulturtilbud samt shopping, café - og byliv, som byen byder på.

Lejevilkår:


Det er ikke tilladt at holde husdyr i ejendommen.
Det er ikke muligt at leje boligen, hvis du er registreret i RKI.

* Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende bolig, og at udsigt m.v. derfor kan variere.",https://www.boligportal.dk/lejligheder/odense/104m2-4-vaer-id-5280165
"Fredensgade, 8900 Randers, Randers C  - 1. sal",4.543 kr.,500 kr.,67 m²,3,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,D,"3. vær. lejlighed beliggende i Fredensgade.
Lejligheden fremstår istandsat med lyse farver og afslebne gulve.
Nyt køkken.
En god ejendom med fællesvaskeri i kld. og mulighed for at leje fælles festlokale.
leje 4.297,32 kr.
Indvendig vedligeholdelse 245,66 kr.
ac varme 500 kr.
I alt 5.042,98 kr.
Skriv eller ring hvis I ønsker at se lejligheden, tak.",https://www.boligportal.dk/lejligheder/randers/67m2-3-vaer-id-5048852
"Bramdrupskovvej, 6000 Kolding  - 4. sal",10.600 kr.,500 kr.,106 m²,3,4.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,A,"Helt særlig panoramalejlighed med betagende udsigt over skov og fjord. Her er der god plads, lys og luft.

Nu har vi en sjældent udbudt bolig på Hviidsminde i Kolding ledig. Smukt beliggende ved park og gåafstand til fjorden, skove, indkøb, daginstitution, skole og fritidsaktiviteter. 
Kolding centrum og det populære Fjordbadet er kun en cykeltur væk. I den anden retning er der kun 5 min. i bil til motorvejen. Endelig ligger der en hundeskov tæt på ejendommen.

Boligen er indbydende med hvidt inventar, hvide vægge og lyse lofter. Der er anvendt lækre kvalitetsmaterialer, der er nemme at holde.

På badeværelse og i entré/bryggers er der grå klinker på gulvet, mens der i de øvrige rum er lyse laminatgulve med egetræslook.

Der er faste hvide HTH-elementer i køkken, bad, værelser og entré/bryggers.

I køkkenet findes opvaskemaskine, køle-/fryseskab, ovn og glaskeramisk kogeplade. Desuden er 
vaskemaskine og tørretumbler installeret.

Fakta:
- 106 vedudnyttede m2
- Altan
- Store vinduer
- 2 gode værelser med skabe
- Stue/køkken-alrum
- Ventilationsanlæg for godt indeklima 
- Gulvvarme for stabil komfortvarme
- Eget skur
- Fælles p-plads
- Fælles cykelskur
- Fibernet installeret

Husdyr kun tilladt med særlig godkendelse fra udlejer.
Vand og strøm afregnes direkte med forsyningerne. Det angivne aconto-beløb er varme.

Det er ikke tilladt at være registreret i RKI. 
Indskud: 3 mdr. depositum + 1. måneds husleje. (opkræves 3 dage efter underskrivelse af lejekontrakt). 

Bemærk! Billederne er kun vejledende og kan afvige fra den faktiske bolig.

Se mere og kontakt os gerne for en fremvisning!",https://www.boligportal.dk/lejligheder/kolding/106m2-3-vaer-id-5253335
"Iversvej, 9800 Hjørring",9.450 kr.,500 kr.,94 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,A,"Velkommen til Ejnarparken! 

Hjørring får nu en ny bydel bestående af ikke mindre end 46 veldisponerede ét-plans rækkehuse.

Etape I (Nord) bestående af 23 rækkehuse står indflytningsklar pr. 1. maj og 1. september 2024.

Etape II (Syd) bestående af 23 rækkehuse står indflytningsklar pr. 1. januar og 1. april 2025.

Alle rækkehusene er lavenergi og udelukkende opført i kvalitetsmaterialer! Til hver bolig hører to store flisebelagte P-pladser, egen carport med integreret skur samt en stor privat flisebelagt terrasse med tilhørende have. 

Boligerne er med indlagt fjernvarme og meget billige i opvarmning. Der er individuelt styret gulvvarme i hvert rum. Der er integrerede hvidevarer i hver bolig. Du vil med de store vinduespartier og 14 spots pr. bolig opleve et fantastisk lyst hjem!

Ejnarparken har med sine kun 800 meter til Bagterpskolen og tæt på alle øvrige fornødenheder virkelig en enestående placering i naturskønne omgivelser.",https://www.boligportal.dk/r%C3%A6kkehuse/hj%C3%B8rring/94m2-4-vaer-id-5369896
"Jernbanegade, 8800 Viborg  - 1. sal",6.925 kr.,900 kr.,82 m²,3,1.,Lejlighed,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,N/A,Gennemført lækker lys lejlighed helt centralt beliggende mellem gågade og banegården. Er lige blevet færdigbygget pr. 1. juni - efter at have været et tidligere kontorlejemål. Lejligheden har et stort køkken alrum med nyt HTH køkken  - to gode værelser og et lækkert badeværelse med plads til vaskemaskine.,https://www.boligportal.dk/lejligheder/viborg/82m2-3-vaer-id-2638750
"Viften, 2670 Greve  - 3. sal",10.900 kr.,1.000 kr.,77 m²,3,3.,Lejlighed,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,N/A,"UNDERSKRIV LEJEKONTRAKT PÅ EN BOLIG PÅ MINIMUM 84 KVM I JULI/AUGUST OG BETAL 0 KR FOR FØRSTE MÅNEDS LEJE!

Solviftens lejligheder er moderne indrettede og veludnyttede. Du får en nyopført, energioptimeret bolig, som er lige til at flytte ind i. Store vinduespartier sikrer masser af lys i boligen. Gulvene er i eg-laminat og derudover er der klinker i entre og badeværelse.",https://www.boligportal.dk/lejligheder/greve/77m2-3-vaer-id-5367300
"Kastetvej, 9000 Aalborg, Aalborg  - 4. sal",5.616 kr.,1.009 kr.,80 m²,2,4.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,C,"Meget charmerende indrettet lejlighed i tagetagen med udsigt over byens tage og tæt ved nærbane.
Lejligheden er indrettet med:

Flot hvidt køkken med køle/fryseskab, Glaskeramisk komfur, Vægophængt emhætte opvaskemaskine.
Badeværelse med fliser på vægge og gulv, vaskeskab med vask, spejl med halogenspots, hængecloset, mekanisk udsugning, bruseniche med materet glasdør, håndklædevarmer, gulvvarme. Halgonspot i loftet.
Der er muligvis mulighed for opsætning af vaskesølje.
Olierede fyrtrægulve i stue køkken og soveværelse. Hems på 10 kvm. med trægulve.
Garderobeskabe i soveværelse og stue.
En lejlighed der bør ses.",https://www.boligportal.dk/lejligheder/aalborg/80m2-2-vaer-id-4773193
"Gl. Køge Landevej, 2500 København, Valby  - 6. sal",7.700 kr.,735 kr.,35 m²,1,6.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,A,"Velkommen til Blækhus Valby!
Er du studerende eller nyuddannet? Så kunne en 1-værelses lejlighed i Blækhus måske være noget for dig!
Velindrettede og lyse etværelses lejligheder med eget bad, køkkenniche og fransk altan.
HER FÅR DU:
- En 1-værelses lejlighed i attraktive Valby
- Et hjem beliggende kun 5 km fra Københavns Rådhusplads
- En lys og indbydende bolig, hvor funktionaliteten er i top
- En separat boligenhed med adgang til fede fællesarealer
- En fælles terrasse på ejendommens femte - og sjettesal
- En beliggenhed tæt på offentlig transport og indkøb.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/35m2-1-vaer-id-5344935
"Vesterbro, 9000 Aalborg, Aalborg  - 5. sal",8.600 kr.,700 kr.,82 m²,2,5.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,A,"Lækker lejlighed, beliggende centralt i Aalborg i nyere ejendom opført i 2014. Lejligheden indeholder fordelingsgang med adgang til dejligt badeværelse med brus og kombi vaskemaskine/tørretumbler. Lækkert køkken og stue i ét med fantastisk lysindfald og smuk udsigt. Fra stuen er der udgang til en fin altan. Dejligt soveværelse med god skabsvæg. Der er i lejligheden flotte parketgulve.
Der er brugsret til én af byens bedst beliggende tagterrasser med smuk udsigt over Aalborg og omegn, herunder brugsret til fælles gasgrill.
 
 
 Lejemålet er fra lejers side uopsigelig de første 12 måneder. Husdyrhold tillades ikke. Bofællesskab tillades ikke. Der er rygeforbud i hele ejendommen, herunder i lejligheden.",https://www.boligportal.dk/lejligheder/aalborg/82m2-2-vaer-id-5127389
"Poul Paghs Gade, 9000 Aalborg, Aalborg  - 4. sal",5.792 kr.,1.050 kr.,73 m²,3,4.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"3-værelses lejlighed beliggende på Poul Paghs Gade, 9000 Aalborg. 

Lejligheden er placeret i starten af Aalborg Vestby med kort afstand til midtbyen, havnefronten, diverse handlemuligheder samt offentlig transport. 

Lejligheden består af en stue, to værelser samt bad og køkken. 

Lejemålet overtages som beset.",https://www.boligportal.dk/lejligheder/aalborg/73m2-3-vaer-id-5315127
