Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Frederiksgade, 7800 Skive  - 1. sal",4.950 kr.,825 kr.,68 m²,2,1.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,N/A,"Lejemålet er beliggende på Frederiksgade og består af 2 værelser samt køkken og bad. Lejemålet er 68 m2 og er klar til overtagelse snarest. Månedlig husleje er 4950 kr. og forudbetalt husleje og depositum beløber sig til i alt 14850 kr. 

Send en besked, hvis lejemålet har fanget din interesse.",https://www.boligportal.dk/lejligheder/skive/68m2-2-vaer-id-5320826
"Højparken, Falkevej, 8800 Viborg  - 2. sal",5.650 kr.,950 kr.,79 m²,3,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Stor lys stue med udgang til altan. Soveværelse og værelse med skabe. Nyere køkken med kogesektion, indbygningsovn, opvaskemaskine, emhætte og køle-/fryseskab. Nyt badeværelse 2020. Nye hvide døre 2019. Nye hvide skabe 2019. Entre. Kælderrum. Der er parketgulve i lejligheden. Nye vinduer 2013. Der er ladestandere til el-biler på parkeringspladsen. Energimærke C. Billeder er vejledende.
Etagebyggeri beliggende få minutter fra Viborg centrum og med udsigt til store grønne arealer i udkanten af Viborg By. I umiddelbar nærhed af ejendommen er der gode busforbindelser til by og lokalområdet. Til ejendommen hører et større parkanlæg samt et rigeligt antal parkeringspladser og garager. I umiddelbar nærhed af ejendommen findes gode indkøbsmuligheder, restaurant/bar, børnehaver, skoler, m.m.",https://www.boligportal.dk/lejligheder/viborg/79m2-3-vaer-id-5064329
"Richard Mortensens Vej, 2300 København, København S  - Stuen",13.300 kr.,1.200 kr.,100 m²,3,Stuen,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,A,"Lejligheden
                            Lejligheden er indrettet med et stort alrum, hvor køkken og stue smelter sammen og skaber en rummelig atmosfære. De store vinduespartier trækker lys ind i lejligheden fra alle vinkler. Dertil er boligen udstyret med et moderne køkken fra Invita, hårde hvidevarer fra Bosch Siemens samt praktisk skabsplads i mastersoveværelset. Fra gangen har du adgang til det rummelige og indbydende badeværelse med gulvvarme, formstøbt marmorvask, væghængt toilet samt vaskesøjle. Fra stuen har du udgang til en stor møblérbar altan, der giver et privat pusterum med masser af sol, frisk luft og hygge. Det er muligt at ansøge om husdyrtilladelse i alle vores lejemål. OBS: ønskes der mål af lejligheden skal du selv huske opmålings udstyr til fremvisning, da der ikke er mål på plantegningen.

                                      NB: Billederne viser derfor ikke den pågældende lejlighed, men i stedet billeder fra prøveboligen. Billedernes formål er at give en fornemmelse af stil og materialevalg. Ift. planløsning henviser vi til plantegningen. Ring gerne for at booke en personlig fremvisning.

                                                      Ejendommen
                            Bastionen er et spændende byggeri med en stærk arkitektonisk identitet, tegnet af de prisvindende arkitekter Danielsen Architecture. Her bydes du velkommen af de karakteristiske hængende haver der pryder ejendommens facade og leder ind i den grønne gårdhave. Den unikke beplantning fra det nærliggende Kalvebod Fælled er trukket ind i både gårdrum og på altaner, og er med til at mildne vinden og skabe en grøn oase. Det sydvestlige hjørne af Bastionen er bevidst bygget lavere end bygningens andre hjørner for at trække sol ind i gårdrummet og give mest mulig udsigt til den omkringliggende natur i Skovrummet og Fælleden. Det sænkede hjørne i den sydvestlige del af bygningen betyder også, at lejlighederne gennemstrømmes af dagslys. Gårdrummets frodige og varierende beplantning skaber både afslappende hyggekroge og perfekte naturlige legeomgivelser med høje klatretræer, små bakker og enggræs til gemmeleg. Gårdrummet byder også på et væksthus, en basketball bane samt et overdækket område til cykelparkering. Til ejendommen hører der desuden elevator, dørtelefon med kamera og mulighed for parkeringsplads i kælderen.

                                      Lokalområdet
              Ørestad Syd   er Københavns nye grønne bydel der ligger i grænselandet mellem natur og storby. Bydelen er præget af spændende og moderne byggerier tegnet af anerkendte danske og internationale arkitekter. Som beboer i Ørestad Syd har man Kalvebod Fælled lige uden for døren. Fælleden byder på enestående naturomgivelser med masser af plads til både løb, cykling, ridning, drageflyvning, rulleskøjteløb eller bare helt stille og rolige gåture. Dertil rummer Ørestad også masser af spisesteder samt et aktivt byliv og kulturelt miljø. Her bor du i gåafstand til både shopping i Field’s, store kulturelle og sportslige begivenheder i Royal Arena, adskillige sportsklubber og et enestående friluftsliv. Bastionen er også optimalt placeret i forhold til daginstitutioner, skoler, gymnasier og videregående uddannelser – og med metroen lige rundt og hjørnet kan du være på Kongens Nytorv på bare 14 minutter.

                      
Bofællesskab ikke muligt.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/100m2-3-vaer-id-4810050
"Poul Paghs Gade, 9000 Aalborg, Aalborg  - 4. sal",3.000 kr.,500 kr.,17 m²,1,4.,Værelse,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Velbeliggende studiebolig  i Aalborg midt/vest. Værelse med egen indgang, bad, toilet og tekøkken.",https://www.boligportal.dk/v%C3%A6relser/aalborg/17m2-1-vaer-id-3685330
"Myremalmsvej, 3060 Espergærde  - 1. sal",13.995 kr.,1.000 kr.,96 m²,4,1.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,N/A,"Kom med indenfor i vores attraktive nyopførte lejeboliger i Espergærde. Boligerne er ideel til børnefamilien, såvel som seniorerne, der ønsker en hverdag i en moderne lejebolig i naturskønne omgivelser. 

Lejeboligerne er designet med jeres komfort i fokus. Moderne arkitektur og stilfuldt interiør skaber et indbydende og afslappende hjemmemiljø, hvor I kan skabe skønne familieminder. Hver lejlighed er rummelig og veludnyttet, og der er tænkt på en hver detalje.

Med den ideelle beliggenhed, fantastiske natur og komfortable boliger er vores nybyggede lejeboliger i Espergærde det perfekte hjem for både børnefamilier og seniorer. Tag det første skridt mod et liv fuld af glæde, fællesskab og naturskønne oplevelser!

Kontakt os i dag og lad os hjælpe jer med at finde jeres drømmebolig i Espergærde. Velkommen hjem!

Skovstykket er nyopførte og moderne lejeboliger, der er skræddersyet til børnefamilien såvel som seniorer. Ejendommen er beliggende i den nye ""by i byen"" i det charmerende område i Espergærde. Her forenes naturens skønhed med moderne bekvemmeligheder, hvilket skaber den perfekte ramme om jeres næste hjem. Med kort afstand til både skov og strand er der rig mulighed for at nyde naturen og den friske luft.

Vores skønne ejendom i Espergærde byder på tre- og fireværelses lejligheder samt 5- og 6-værelses rækkehuse. Boligerne er opført i lækre lyse og moderne materialer. Alle boliger har rummelige værelser, et skønt køkkenalrum, depotrum samt indbyggede skabe. Yderligere har alle boliger solrig altan eller terrasse. 

Ejendommen er klar til indflytning pr. 1. oktober 2023.",https://www.boligportal.dk/lejligheder/esperg%C3%A6rde/96m2-4-vaer-id-5376499
"Laurits Hauges Vej, 9400 Aalborg, Nørresundby",6.895 kr.,"247,50 kr.",66 m²,2,-,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,N/A,"Bo lækkert tæt på fjorden og med sol på altanen

De nye lejeboliger er præget af kvalitet i design og materialer og omtanke i alle detaljer
Nørresundby Havnefront ligger tæt på det rekreative område Lindholm Strandpark, hvor du kan bade fra badebroen, spille beach-volley eller løbe en tur i naturen ad stien til Lindholm Fjordpark.

Er det mere byens puls, der trækker, kan du cykle eller gå ad Kulturbroen – eller Kærlighedsbroen, som den også bliver kaldt – der på få minutter fører dig til Aalborg og bylivets tilbud.

Boligerne er lyse, moderne og velindrettede. Lejlighederne har massive trægulve og hvide HTH køkkener med moderne stilfulde greb. Lejlighederne har desuden flere indbyggede skabe.

Alle lejligheder er fuldt udstyrede med hårde hvidevarer i køkken og bad. Der er fokus på at minimere din elregning, både af hensyn til din pengepung og miljøet. F.eks. har både opvaskemaskinen og vaskemaskinen energimærket A+++, mens køle-/fryseskabet og tørretumbleren kommer lige efter med A++.

Lejlighederne har alle enten en stor altan eller en terrasse. Lejlighederne varierer i størrelse, og en del af dem er også velegnede som delelejligheder. Her kan findes en velegnet bolig til unge og ældre, singler og par, børnefamilier og studiekammerater, der gerne vil dele hverdagen og huslejen.

I Nørresundby Havnefront bor du i et røgfrit miljø: Det er ikke tilladt at ryge i lejligheder og opgange, eller på altaner og terrasser.

Alle bygningerne har det grønne energimærke A2015, der er din sikkerhed for, at de lever op til de gældende energi- og tæthedskrav.",https://www.boligportal.dk/lejligheder/aalborg/66m2-2-vaer-id-4011619
"Avnsøtoften, 8600 Silkeborg  - Stuen",9.250 kr.,0 kr.,88 m²,3,Stuen,Lejlighed,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,A,"Denne bolig på 88 kvadratmeter i ét plan, er fordelt på 2 værelser og et dejligt køkkenalrum med udgang til egen terrasse. Boligen er trappefri og er beliggende i stueplan.

Boligen er udstyret med grøn varmepumpe, så du kan blive fri af gas og gasbaseret fjernvarme.

Boligen ligger i det attraktive og naturskønne Virklund, 3-4 km syd for Silkeborg centrum. I nabolaget er et væld af friluftsaktiviteter. Du bliver nemlig nabo til Østerskoven, hvor du kan gå på svampejagt eller få naturoplevelser langs Brassø eller Uglesø. Alternativt kan du hoppe i Almind sø, som er én af Danmarks reneste badesøer, fra Østre Søbad (1km væk). Om vinteren er der endda mulighed for vinterbadning med sauna.
Thorsø (1,2 km) i Virklund byder også på vinterbadning, og hvis du er medlem af Virklund Outdoor får du også adgang til klubbens kajakker, kanoer og SUP boards.

Er du til cykling, kommer du her til at bo i et landets bedste områder med adgang til en af Danmarks bedste mountainbikeruter som er flittigt besøgt af entusiaster fra hele landet. Er du mere til racercykel, så er Søhøjlandet ligeledes meget populært, og med beliggenheden i Virklund er en tur rundt om Julsø, Borresø og Brassø helt oplagt.

Den lokale idrætsforening, Virklund Boldklub byder både på fodbold, håndbold, tennis, paddle tennis, badminton og gymnastik.

Børneliv Virklund skole er en meget populær og lokalt forankret skole og de integrerede børnehaver/vuggestuer ""Virklund Børnehus"" og ""Troldehøjen"" ligger ligeledes tæt på.

Indelukkets nybyggede superlegeplads ligger lige i baghaven. Og medlemskab i Aqua giver både natur og dyreoplevelser kombineret med en meget populær legeplads der tiltrækker både lokale og turister.

Der er kort sagt masser af attraktive tilbud i nærområdet til Christinedalen.

Pendlervenlig bolig
Fra naturskønne Silkeborg kan du både nå Aarhus, Herning, Horsens, Viborg eller Randers på relativt kort tid.
Med den nye Nordskovvej er det lettere end nogensinde at komme på motorvejen, så du inden for 40 min. kan befinde dig i Aarhus, ligesom der blot 30 min. til Herning.

Ønsker du at tage toget mod Århus eller Herning er der under 4 km til Silkeborg station.",https://www.boligportal.dk/lejligheder/silkeborg/88m2-3-vaer-id-5358854
"Framlevvej, 8462 Aarhus, Harlev J",6.500 kr.,500 kr.,100 m²,3,-,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Ja,N/A,"2/3 værelses udlejes.
Flot lejlighed med plads til en lille familie eller kan benyttes som dele lejlighed.  

Send kun SMS ved interesse for fremvisning.",https://www.boligportal.dk/lejligheder/aarhus/100m2-3-vaer-id-5302299
"Bysøstræde, 4300 Holbæk  - 1. sal",9.900 kr.,1.500 kr.,123 m²,4,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"I centrum af Holbæk udlejes 123 kvm. lys og moderne lejlighed.

Indeholder: 2 sammenhængende stuer, 2 værelser, nyere køkken/alrum og nyere badeværelse.

Der er mulighed for leje af parkeringsplads på ejendommen.

Lejligheden er ikke delevenlig. 

Telefonnr. bedes oplyst ved henvendelse.",https://www.boligportal.dk/lejligheder/holb%C3%A6k/123m2-4-vaer-id-5363771
"Mosegårdshaven, 2670 Greve",13.995 kr.,0 kr.,95 m²,3,-,Rækkehus,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Nej,A,"Lej en bolig og få 2 mdr. gratis husleje!!

Midt i Langagergårds skønne natur i Karlslunde og meget tæt på både motorvej og s-togsstation udlejes nu helt nyopført 3 værelses rækkehus på 95 m2. Hertil kommer et skønt orangeri/vinterhave på 9 m2 med yderligere overdækket areal på ca. 5 m2.

Huset har zoneinddelt fjernstyret gulvvarme i hele huset og er opført med kvalitetsmaterialer som eks. køkken og skabe fra HTH og STM vinduer.
Huset overtages med ovn, keramisk kogeplade og emhætte, men lejer skal selv medbringe køleskab og opvaskemaskine, samt opvaskemaskine og (kondens)tørretumbler (med fordel som kombimaskine). Alle installationer er forberedt til opsætning.

Der medfølger en dejlig privat have samt fri parkering og dejligt opbevaringsskur/værksted.

Huslejen er angivet ex. forbrug (el, vand og renovation) som afregnes direkte til værkerne efter målere. Husene er udstyret med luft-til-vand varmepumpe.

Evt. husdyr skal godkendes og medfører at der opkræves yderligere 1 mdrs. forudbetalt husleje. Minimumslejeperiode 9 måneder hvorefter lejemålet kan opsiges med 3 mdr varsel",https://www.boligportal.dk/r%C3%A6kkehuse/greve/95m2-3-vaer-id-5286988
