City,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,PostalCode_1000-1999,PostalCode_2000-2999,PostalCode_3000-3999,PostalCode_4000-4999,PostalCode_5000-5999,PostalCode_6000-6999,PostalCode_7000-7999,PostalCode_8000-8999,PostalCode_9000-9999
Løgstør,9670,56.970023,9.277769,2950.0,1000.0,65.0,3.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1
Horsens,8700,55.867855,9.846178,7000.0,0.0,108.0,4.0,1.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0
Kolding,6000,55.485657,9.498978,9850.0,1100.0,99.0,4.0,11.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0
Aarhus,8230,56.149784,10.171438,11440.0,1000.0,93.0,3.0,2.0,Lejlighed,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Aarhus,8200,56.179073,10.199313,8700.0,400.0,70.0,3.0,0.0,Lejlighed,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Aalborg,9000,57.046424,9.93932,4658.0,700.0,53.0,2.0,4.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
Aalborg,9000,57.051328,9.907304,6400.0,450.0,89.0,3.0,0.0,Lejlighed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1
Aarhus,8270,56.116617,10.206425,5850.0,250.0,60.0,2.0,2.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
København,2640,55.648132,12.195966,12400.0,1000.0,98.0,3.0,1.0,Lejlighed,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Hobro,9500,56.635773,9.793054,4000.0,600.0,60.0,2.0,2.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
Aalborg,9000,57.042346,9.938284,5128.0,650.0,80.0,3.0,3.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1
Aalborg,9000,57.033678,9.935609,7750.0,500.0,72.0,3.0,0.0,Lejlighed,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1
Silkeborg,8600,56.175321,9.493281,9295.0,350.0,121.0,4.0,0.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
København,2300,55.617429,12.566277,11050.0,800.0,63.0,2.0,3.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Viborg,8800,56.449946,9.414883,5000.0,1000.0,54.0,2.0,0.0,Lejlighed,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0
Gilleleje,3250,56.122423,12.308948,12900.0,1000.0,100.0,4.0,1.0,Lejlighed,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0
Randers,8900,56.463763,10.018442,5285.0,992.0,70.0,2.0,3.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
Horsens,8700,55.871924,9.844803,5495.0,1050.0,63.0,2.0,1.0,Lejlighed,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Aalborg,9000,57.053233,9.904568,4000.0,400.0,72.0,2.0,4.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
København,2500,55.655805,12.503371,7500.0,500.0,39.0,1.0,12.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0
Gråsten,6300,54.921043,9.593732,4800.0,700.0,75.0,3.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
Aalborg,9000,57.047023,9.941917,4945.0,500.0,38.0,1.0,5.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
Haderslev,6100,55.24665,9.49034,6200.0,1000.0,78.0,3.0,1.0,Lejlighed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
Ørbæk,5853,55.254785,10.670994,5900.0,0.0,66.0,3.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
Holstebro,7500,56.367767,8.608495,5236.0,630.0,85.0,4.0,2.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
København,2665,55.627195,12.38814,12360.0,1470.0,95.0,3.0,4.0,Lejlighed,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Aalborg,9000,57.051082,9.912914,7995.0,800.0,105.0,3.0,5.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
København,2730,55.717769,12.437481,13400.0,850.0,95.0,3.0,5.0,Lejlighed,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Aarhus,8200,56.188416,10.186281,8695.0,800.0,60.0,2.0,2.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Kolding,6000,55.502855,9.37728,5000.0,600.0,60.0,2.0,2.0,Lejlighed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0
Viborg,8800,56.450169,9.39994,5995.0,1250.0,92.0,2.0,2.0,Lejlighed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0
Esbjerg,6700,55.464847,8.462831,5750.0,660.0,68.0,2.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
København,2300,55.664888,12.622322,13750.0,1100.0,73.0,2.0,1.0,Lejlighed,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Aalborg,9000,57.042627,9.91921,4850.0,450.0,55.0,2.0,4.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
Aalborg,9000,57.044613,9.917159,4500.0,600.0,49.0,2.0,0.0,Lejlighed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
Aalborg,9000,57.047344,9.922277,6600.0,550.0,88.0,2.0,5.0,Lejlighed,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1
