Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Kollegievænget, 8700 Horsens",2.393 kr.,1.108 kr.,39 m²,1,-,Lejlighed,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,D,"Dejligt Kollegieværelse, udlejes snarest - boligen er beliggende på Teknisk Kollegium i Horsens, boligen er beliggende i skøn natur tæt på skov- og strand.
Boligen indeholder køkken med komfur, køle/ fryseskab og emhætte, derudover er der et dobbelt garderobeskab og eget bad- og toilet i boligen.",https://www.boligportal.dk/lejligheder/horsens/39m2-1-vaer-id-5259888
"Mysundevej, 8930 Randers, Randers NØ  - Stuen",7.595 kr.,943 kr.,86 m²,3,Stuen,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,N/A,"Nyopførte lejelejligheder i Randers tæt på by og natur

Drømmer du om en unik lejebolig med 2, 3 eller 4 værelser i Randers? De nybyggede lejligheder i Randers Kaserne byder på både stort køkken alrum og nem adgang til parkering og Nordre Fælled.

Lej en kvalitetslejlighed med egen altan og terrasse

På Kavalerivej, Hestestræde og Mysundevej i Randers ligger Randers Kaserne, der nu er bygget om til 2, 3 og 4 værelses lejeboliger. Størrelserne varierer mellem 67 til 110 kvadratmeter.

Alle lejligheder har eget depotrum i lejligheden samt egen altan eller terrasse, hvor du kan nyde morgenkaffen. Det store, rummelige køkken er indrettet med køkken/alrum i åben forbindelse med stue, der danner rammen for fællesskab og liv. Køkkenelementerne er fra Svane og alt i hårde hvidevarer er fra Siemens.

I badeværelset kan du nyde både gulvvarme, en rummelig bruseniche med rain shower bruser, samt lejlighedens vaskemaskine og tørretumbler. Varmegenvindingsanlægget sikrer et godt indeklima i hele boligen.
Du har derudover adgang til elevator, ligesom det ikke er et problem at have bil, da du har nem mulighed for parkering uden krav om leje.

En moderne lejebolig i Randers’ historiske rammer

Som lejer i en af disse moderne lejeboliger, har du kort afstand til både Langvang Idrætscenter, Regionshospitalet, pasningsmuligheder, skoler og uddannelsessteder. Har du brug for et åndehul fra byen, ligger Nordre Fælled også lige udenfor din hoveddør. Desuden byder området på alt, hvad du har brug for til dagligdagen med nærliggende og gode indkøbs- og transportmuligheder.

Her i den nordlige del af Randers er atmosfæren hyggelig og fredelig, og der er plads til både singler, par, familier og seniorer.

Velkommen til Randers Kaserne i 8930 Randers!

Randers Kaserne rummer 96 unikke lejeboliger i et åbent landskab med både Nordre Fælled som nær nabo. Her er der en by i byen – et kraftcenter for kultur og kreativitet med højt til loftet og et stærkt sammenhold. Velkommen til Kavalerivej, Hestestræde og Mysundevej, 8930 Randers!

Aconto beløbet er fastsat ud fra forrige lejers forbrug.

Der tages forbehold for fejl og evt. lejereguleringer siden annoncens publicering.

Der vil blive indhentet oplysninger hos RKI og er du registreret hos RKI vil vi ikke kunne udleje boligen til dig.",https://www.boligportal.dk/lejligheder/randers/86m2-3-vaer-id-5344317
"Nørregade, 6070 Christiansfeld  - 1. sal",8.435 kr.,775 kr.,106 m²,3,1.,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Nej,N/A,"Lejemålet er beliggende på Nørregade, er 106 m2 og er klar til overtagelse. Månedlig husleje er 8435 kr. og indskud beløber sig til i alt 30000 kr. Send en besked, hvis lejemålet har fanget din interesse.",https://www.boligportal.dk/lejligheder/christiansfeld/106m2-3-vaer-id-5306643
"Thomas Koppels Gade, 8000 Aarhus, Aarhus C  - 3. sal",5.400 kr.,500 kr.,10 m²,1,3.,Værelse,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Nej,A,"Står du og mangler et megafedt værelse/lejlighed i Århus C til studiestart, så læs her:
Jeg søger en roomie at dele denne helt nye lejlighed med. 
Den har solrig altan, badeværelse med vaske og tørre søjle. Stort moderne og helt nyt køkken med opvaskemaskine og gode opbevaringsmuligheder
Hyggeligt og lækkert møbleret fælles stue og spisebord område.
Der er et kælderrum samt cykelkælder.
Elevator i opgang / samt trapper. 
Der er to fælles tagterrasser samt en stor fælles gårdhave. Ja som du kan læse så bare genneralt mega fed.
Indflytning omkring 1. september, det kan vi aftale nærmere, så det passer med din studiestart.
Der er flere indkøbsmuligheder i nærområdet, bl.a. Rema1000 som er indenfor 100 m. 
Lejligheden ligger tæt på midtbyen og i gå/cykel afstand til botanisk have, Banegården samt grønne områder mm.

Lidt om dit værelse 🛏️
Du får et dejligt lyst værelse på 10 m2 med et stort vindue ud til fælles gårdmiljø.
Hele lejligheden er helt ny, Vi er de første der skal bo i den😊

Lidt om mig 💃
Jeg er en 20-årig pige, der flytter fra Fredericia til Århus den 15/8, for at starte på erhvervsakademiet, hvor jeg skal læse til Serviceøkonom, med start til september. 
Jeg er selv meget socialt anlagt, elsker at rejse, rolig, imødekommende og ansvarlig. Jeg elsker at hygge og sætter pris på hverdagshygge og gerne fællesspisning i løbet af ugen. Jeg er altid klar på en kop varm kakao eller en cocktail at hygge os med. I min fritid kan jeg godt lide at tage i byen med vennerne eller en brætspilsaften samt lave god mad.  Det vil være et mega plus, hvis vi i ny og næ kunne være sammen om at lave noget, når tiden er til det. Jeg sætter stor pris på et hyggeligt og rent hjem, hvor vi er fælles om opgaverne.

Dig som person🏄
Jeg søger en smilende og nogenlunde jævnaldrende, som er frisk på at indgå i et roomie fællesskab, hvor vi skaber et hyggeligt hjem sammen. Du er ansvarlig, rolig, sød, stabil, ikke-ryger, bidrager til de huslige pligter og søger fællesskabet, hvor der selvfølgelig også altid er plads til at lukke døren. Du er også studerende eller starter studiet her efter sommer så vi kan søge boligstøtte.

Til sidst 🔑
For mig er det vigtigste den gensidige respekt og jeg ønsker at vi begge kan føle os hjemme. Venner og familie skal naturligvis være mere end velkommen.

Hvis du synes det er noget for dig så send mig gerne en PB, hvor du skriver lidt om dig selv.
Jeg ser meget frem til at høre fra dig.
Filippa 🍸",https://www.boligportal.dk/v%C3%A6relser/aarhus/10m2-1-vaer-id-5378152
"Højbyvej, 5260 Odense, Odense S",9.975 kr.,0 kr.,114 m²,4,-,Rækkehus,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,A,"Velkommen til Højbyvej, hvor dette nyere rækkehus er beliggende. Fra rækkehuset er der kort afstand til alle dagligdagens fornødenheder uanset om det er handlemuligheder, fritidsaktiviteter, offentlig transport eller Højbys fantastiske foreningsliv. 

Indvendigt indeholder rækkehuset: En entré med garderobeskab, hvor der også er vaskesøjle. Fra entréen er der adgang til det store og lækre køkken/alrum, samt udgang til en dejlig solrig terrasse. Tilbage i entréen er der opgang til førstesalen, hvor der er tre gode værelser, alle med fransk altan, og et dejligt badeværelse. 

Der er mulighed for parkering. 

Skriv endelig til os ved interesse eller for fremvisning af det skønne rækkehus.",https://www.boligportal.dk/r%C3%A6kkehuse/odense/114m2-4-vaer-id-5372022
"Søvejen, 7620 Lemvig  - Stuen",5.500 kr.,1.000 kr.,83 m²,3,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Flot og lys 3-værelses lejlighed, som er beliggende i centrum af Lemvig – tæt ved sø, gågade og øvrige indkøbsmuligheder.

Lejligheden ligger i stueplan, hvor man kommer ind i en fin entré. Lejligheden er med en stor stue, stort køkken, to værelser og badeværelse.

Til ejendommen er en fælles baggård med have og cykelskur. 

Lejligheden henvender sig til voksne og rolige lejere.
Husdyr er ikke tilladt.",https://www.boligportal.dk/lejligheder/lemvig/83m2-3-vaer-id-5369522
"Åstrupskrænten, 8500 Grenaa",7.900 kr.,0 kr.,140 m²,4,-,Hus,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,Etplans villa udlejes nær skole og indkøb i rolig villa kvarter,https://www.boligportal.dk/huse/grenaa/140m2-4-vaer-id-5319027
"Lollandsgade, 8000 Aarhus, Aarhus C  - 1. sal",8.800 kr.,1.000 kr.,52 m²,2,1.,Lejlighed,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Lys 2 værelses lejlighed i det populære ""Øgadekvarter""

Lejligheden har et soveværelse med to enkeltsenge, dyner og puder. Der er også en lille skrivebordplads, et badeværelse og et køkken/alrum med alt hvad man har brug for af udstyr, TV og møbler. 

Der er adgang til vaskeri i ejendommen med vaskemaskine og tørretumbler og de betjenes med møntindkast. Ydermere er der til lejligheden en delt have og gårdmiljø, som er ideelt til afslapning i forårs- og sommermånederne.

Alle udgifter er inkluderet i lejen også wifi. Der kommer altså ikke en ekstra regning udover den månedlige leje. 


Bright 2 room apartment located in the popular ""øgadekvarter"" 

The apartment has a bedroom with two single beds. There is also a desk, a bathroom and a combined livingroom and kitchen. The kitchen is fully equipped. 

Tenant will have access to a shared coin operated launderette located in the property as well as a nice little garden and terrasse. 

All expenses are included in the rent, also WIFI.",https://www.boligportal.dk/lejligheder/aarhus/52m2-2-vaer-id-4487600
"Nørregade, 8850 Bjerringbro  - 1. sal",4.200 kr.,800 kr.,51 m²,1,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,C,"Bjerringbro: Flot 1½ vær taglejlighed, med synlige bjælker i centrum af Bjerringbro. Indeholder: Nyere køkken med vaske/tørre-maskine, flot stort badeværelse, lille kammer, stor stue med nyt flot trægulv og gaderobe skabe.
Område: Bjerringbro midtby, 100m til gågade og banegård.
Bemærk! vi tillader ikke husdyr
Alle vores lejemål udlejes efter først til mølle princippet",https://www.boligportal.dk/lejligheder/bjerringbro/51m2-1-vaer-id-4836714
"Onsholtvej, 8260 Aarhus, Viby J  - Stuen",7.955 kr.,N/A,76 m²,3,Stuen,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Nej,C,"Ejendommen
Lejligheden befinder sig et byggeri fra 2008. Det er et dejligt og roligt område, hvor der er plads til folk i alle aldre. 
Her er dine husdyr også velkommen. 
 
Lejligheden
Lejligheden er godt fordelt og synes rummelig og indbydende. Du træder ind i entréen, hvor du efterfølgende vil komme ind i et stort og åben køkkenalrum i forbindelse med stuen. 
Til lejemålet tilhører en terrasse, der kan tilgås direkte fra alrummet. 
Lejligheden rummer ligeledes et stort badeværelse, samt to store værelser med indbyggede skabe. Der er installeret et køle-/fryseskab, komfur og emhætte. Der er ligeledes gjort klar til du kan indsætte en opvaskemaskine. 
 
Området
Du vil bosætte dig tæt på grønne arealer, tæt på offentligt transport og kun få minutters kørsel til motorvejen. 
Lejligheden ligger ligeledes tæt på institutioner, erhvervsakademiet og indkøb. 
Til boliger hører gratis parkering med. 
 
Andre vilkår
OBS! Billederne er fra et sammenligneligt lejemål
Forbrug skal betales direkte til forsyningsselskaberne. 
Der er mulighed for at leje et stort depotrum for kun 100 kr. om måneden.",https://www.boligportal.dk/lejligheder/aarhus/76m2-3-vaer-id-5344617
