Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Kongefolden, 8660 Skanderborg, Skanderborg Bakker  - 1. sal",13.995 kr.,700 kr.,157 m²,4,1.,Lejlighed,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,C,"Lejligheden er i 2 plan, hvor i entré plan, finder man 2 gode værelser, hertil er der gæstebadeværelse m. vaskemaskine og tørretumbler. Fortsætter man af entréen kommer man til forældreafdelingen, hvor man får et stort soveværelse med eget badeværelse.
Fra den lyse entré er der trappeopgang til 1. salen, som byder på ét stort rum, hvor der er samtalekøkken med alt i hårde hvidevarer, og en lys og rummelig opholdsstue. Fra stuen er der kig udover de grønne arealer og ned til Skanderborg by, samt udgang til kæmpe solorienteret tagterrasse. 
Området er enormt hyggeligt, med gode grønne arealer, legeplads, daginstitution, og togstationen er kun få minutters gang fra bebyggelsen.

BEMÆRK: billeder er fra en lignende penthouse i bebyggelsen, og ikke fra den pågældende lejlighed.

El og varme afregnes direkte til forsyningsselskaberne.",https://www.boligportal.dk/lejligheder/skanderborg/157m2-4-vaer-id-5377103
"Skodsborg Strandvej, 2942 København, Skodsborg  - Stuen",23.800 kr.,1.490 kr.,130 m²,3,Stuen,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,C,"Billederne er fra selve ejendommen og ikke fra boligen. 
 
Lejligheden
Boligen er beliggende på vandsiden i stuen. Med dejlig stor altan og den smukkeste udsigt til Øresund.  
Stuen har et pragtfuldt lysindfald pga de store vinduer. Derudover findes der en stor entre, stort soveværelse med skabe og et mindre værelse. Badeværelse med brus. 
Stort kælderum. 
 
Parkering
Lige uden for ejendommen gratis nemt for både for Jer og Jeres gæster. 
 
Skodsborg Sundpark
som er opført i 1995, er perfekt beliggende mellem skov og vand, samtidig med at man er tæt på København. Dette uanset om man vælger bil eller offentlig transport. Stationen ligger i gåafstand fra bebyggelsen. Lejlighederne ligger med tilknytning til Skodsborg Sundhedscenter, hvor der forefindes fitness, nybygget spa- og wellnescenter fra 2011, lægecenter, restaurant m. v. 
Indkøbsmuligheder har I 3 km derfra i Nærum hvor der findes en Matas, Menu, Apotek, Imerco mm.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/130m2-3-vaer-id-5285906
"Liljevænget, 5492 Vissenbjerg, Skallebølle",7.985 kr.,0 kr.,88 m²,3,-,Rækkehus,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,A,"Rækkehus på 88 m2
Boligen er en 3 værelses + baghus
Beliggende 5 min fra motorvej
Tæt på indkøbsmuligheder",https://www.boligportal.dk/r%C3%A6kkehuse/vissenbjerg/88m2-3-vaer-id-5361324
"Kirkebjerg Parkvej, 2605 København, Brøndby  - Stuen",9.975 kr.,895 kr.,63 m²,2,Stuen,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,N/A,"156 lejeboliger fordelt på 2-, 3- eller 4-værelses lejligheder. 

Den nyligt opførte rødstensejendom præsenterer sig flot i nabolaget med store vinduespartier, grå detaljer og glasafskærmede altaner, der har en behagelig afstand imellem sig. Alle lejligheder fremstår med regulære værelser, lyse stuer, pæne køkkener og rummelige badeværelser, og når først gårdhavemiljøet er færdiganlagt, får I endnu flere udendørsarealer til rådighed. 

I bosætter jer i et nyetableret kvarter, hvorfra I får korte afstande til alle hverdagens fornødenheder - og det gælder alt fra skolefaciliteter, dagtilbud og indkøbsmuligheder, som tæller både Rema1000, SuperBrugsen, Lidl og Netto. Glostrup Station er ligeledes inden for nær rækkevidde, og her kan I komme til Indre By med S-toget på cirka 20 minutter. Det er derfor ganske nemt at pendle til og fra Indre By, hvilket gør denne adresse ekstra attraktiv. I kommer ligeledes hurtigt til Høje Taastrup, hvorfra regionaltogene fører jer videre rundt på Sjælland. Derudover tager det under fem minutter i bil at komme på motorvejsnettet

Der er 94 parkeringspladser i parkeringskælderen + 62 parkeringspladser i terræn. En parkeringsplads kan lejes for 300 dkk pr. måned i terræn og 350 dkk i parkeringskælderen. Der opsættes tilmed 2 el-lade standere, således at der kan oplades 4 elbiler ad gangen. 

Alle hårde hvidevarer der forefindes i prøveboligen medfølger i alle lejlighederne.

Der er Stofa fibernet og boligerne opvarmes med fjernvarme.

Lejlighederne kan reserveres ved at deltage på åbent hus. Vi holder åbent hus ca. én gang om ugen indtil alt er udlejet. 

Ønsker du at deltage i det åbne hus, så kan du sende en besked via annoncen og modtage en invitation til det næstkommende åbne hus. 

Indflytningsprisen skal betales umiddelbart efter modtagelsen af lejekontrakten. 

Det vil ikke være muligt at besigtige andre boliger end prøveboligen inden indflytning og det er under ingen omstændigheder tilladt at opholde sig på byggepladsen uden en invitation til åbent hus. 

Billeder, plantegning og tekst er vejledende. 

Hvis du er registreret i RKI kan vi desværre ikke tilbyde dig lejligheden. Dette kontrolleres ved udarbejdelse af lejekontrakt.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/63m2-2-vaer-id-5349242
"Havnegade, 5700 Svendborg  - Stuen",4.325 kr.,1.000 kr.,52 m²,2,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"2 værelses lejlighed beliggende i ældre ejendom tæt på havnefronten i Svendborg udlejes snarest. 
Boligen indeholder et soveværelse, stue, et mindre badeværelse med brus samt køkken. Køkkenet er udstyret med komfur/ovn/emhætte samt køleskab med frostbox.
El betales direkte til udbyder.
Husdyr er ikke tilladt.
Vi kan kontaktes på hverdage mellem kl.9-13.00 telefonisk eller send en mail for yderlig info eller fremvisning.",https://www.boligportal.dk/lejligheder/svendborg/52m2-2-vaer-id-5315325
"Låsbygade, 6000 Kolding  - 1. sal",7.820 kr.,600 kr.,88 m²,4,1.,Lejlighed,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Nej,D,"Velkommen til Låsbygade

Lejligheden er yderst velholdt og vil blive overtaget nymalet og med nysleben lyse gulve. Der er desuden installeret nyt komfur i 2022. I lejligheden er der opvaskemaskine og fællesvask i foreningen.

Lejligheden er en del af en mindre og hyggelig ejerforening. Der er ca. 5 min gang til gågaden, ca. 10 min til togstationen, og den ligger i et hyggeligt kvarter.

Køkken og badeværelse fremstår yderst pænt og velholdt. Der er lyse trægulve i lejligheden.

Der vil være mulighed for at søge om boligsikring mm. til lejligheden.

Lejligheden er desuden delevenlig til eventuelt studerende.

De nuværende lejere flytter officielt ud d. 1 november, men kunne godt være interesseret flytte før tid (f.eks. 01.09 eller 01.10), hvorfor der vil være mulighed for fleksibel overtagelse , som skal aftales nærmere med de nuværende lejere.

Vi ser frem til at byde jer velkommen til lejligheden.",https://www.boligportal.dk/lejligheder/kolding/88m2-4-vaer-id-5326338
"Rosendal, 2860 København, Søborg  - 4. sal",12.990 kr.,1.300 kr.,78 m²,3,4.,Lejlighed,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,N/A,"Velkommen til ""Tobaksbyen"".
Her finder du lækre nyere lejligheder, der alle er bygget med masser af naturligt lysindfald, nydelige egetræsgulve, store vinduer, lækre HTH-køkkener og fine badeværelser. Der er indbyggede skabe i garderobe og soveværelser og der følger ligeledes vaskesøjle med til hvert lejemål. 
Hver bolig har sit eget klimaanlæg og gulvvarme overalt. Derudover er der tilhørende terrasse/ altan til hvert lejemål samt kælderrum. Der er ligeledes elevator i hver bygning og hvad angår parkering er der mulighed for at leje en p-plads enten på terræn eller i parkeringskælder. Det er også muligt at opnå tilladelse til at holde hund eller kat. Legeplads og hyggelige grønne arealer findes også i Tobaksbyen. 

I nærheden af Rosendal forefindes: 
- Flere indkøbsmuligheder
- Flere uddannelsesinstitutioner
- Hillerødmotorvejen/ Helsingørmotorvejen
- Spisesteder
- Fitnesscenter mindre end 1 min på gåben fra Rosendal

Derudover ligger Rosendal i rimelig nærhed af samtlige byer. I bil tager det blot: 
- 10 minutter til Lyngby
- 20 minutter til indre by
- 15 minutter til Dyrehaven
- 25 minutter til Hillerød

Hvad angår kollektiv trafik bliver der bygget letbane omtrent 100 meter fra Rosendal, så man hurtigt kan komme rundt, og derudover ligger Husum station samt flere busstoppesteder i nærheden. 

Dette lejemålene fremvises til vores Åbent Hus arrangement, der finder sted hver søndag kl. 11.00 - 12.00,  Mødested er Lykkens Minde 53 ved de hvide beachflag. Kontakt os venligst hvis I ønsker at få fremvist et af vores lejemål ude på Rosendal, så hjælper vi jer videre derfra. 

- Billederne er retningsgivende for farver og materialevalg.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/78m2-3-vaer-id-5300456
"Nygade, 8700 Horsens  - Stuen",4.300 kr.,600 kr.,45 m²,2,Stuen,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,A,"Vi udbyder nu denne flotte lejlighed på 45 kvm. 

Lejligheden består af 2 gode og rummelige værelser, samt køkken og bad. 
Til lejligheden hører der eget kælderrum til, mens der er fælles vaskefaciliteter og gode fællesarealer.

Lejligheden er beliggende i centrum af Horsens og er i kort afstand til indkøbsmuligheder, busstoppested, daginstitution, banegården og shopping.",https://www.boligportal.dk/lejligheder/horsens/45m2-2-vaer-id-5370717
"Strandlodsvej, 2300 København, København S  - 3. sal",17.950 kr.,1.100 kr.,110 m²,4,3.,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,A,"Velkommen til boligen!
Velkommen til denne skønne hjørnelejlighed som vender syd/vest og har 2 store altaner!
Denne fantastiske lejlighed byder på 3 gode soveværelser, lækkert badeværelse med kombimaskine samt et skønt køkkenalrum med fantastisk lysindfald.
Midt imellem Amager Strand og det hyggelige Amagerbro finder du Strandholmen og ejendommen boligen.
boligen byder på lette lyse lejligheder, som oser af kvalitet og lyse materialer, både inde og ude. boligen byder på liv og luft fra du træder ind i entreen, som er optimalt udnyttet, til du træder ud på den store indbydende altan.
boligens lejligheder har optimal planløsning og gedigne materialer, som blandt andet ses på køkkenets hvidevarer og gulvene, der har 18 centimeter brede egeplanker og gulvvarme over det hele. Alle lejligheder har mere end 2,5 meter til loftet (bortset fra entréen) og badeværelserne byder på spejlvæg og kombinerede vaskemaskine og tørretumbler.
Alle lejligheder kommer med store dybe altaner, som indbyder til hyggelige eftermiddage i solskin og godt samvær.
Området Strandholmen byder blandt andet på fælleshaven Vandhaven. Her har landskabsarkitekten skabt en oase, der både er åben og privat, som du kan nyde alene eller sammen med andre, hvor ungerne kan lege tæt på hjemmet, hvor man kan gå tur på stierne, og hvor din cykel kan stå i skur. I dette område vil du også kunne nyde soldæk, ude-fitness og fælles grillområder og bålpladser.
*Husdyr med ansøgning
*Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende bolig, og at udsigt m.v. derfor kan variere.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/110m2-4-vaer-id-5269472
"Appenæs Bygade, 4700 Næstved, Appenæs",12.500 kr.,0 kr.,114 m²,5,-,Hus,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Ja,E,"Nymalet hus beliggende i Appenæs ned til Susåen. Huset er i 3 etager, incl. flot kælder, med udgang til terrasse. Flot japansk inspireret have med havedamme, drivhus og æbletræer. Der er 4 værelser (2 i kælder, 1 i stueplan og 1 på førstesal (2 hvorfra det ene er gennemgangsværelse). Det ligger på en stille villavej, tæt på naturen, tæt på byen, 20 min fra motorvejen. Udlejes straks . Opvarmes med el-pumpesystem.",https://www.boligportal.dk/huse/n%C3%A6stved/114m2-5-vaer-id-5322463
