Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Gammelvej, 9500 Hobro  - Stuen",6.200 kr.,500 kr.,59 m²,2,Stuen,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,A,"Her er en dejlig og godt indrettet lejlighed med gulvvarme i hele lejligheden..Stort spritnyt spisekøkken med alt i hårde hvidevarer og udgang til stor altan. Stor stue og godt værelse med indbygget skab. Stort lækkert badeværelse med vaskesøjle. Lejligheden har fri parkering og kælderrum og ligger på en rolig blind vej lige ved siden af Rema 1000 og tæt på midtbyen,  og banegården..
Billeder kommer snart.",https://www.boligportal.dk/lejligheder/hobro/59m2-2-vaer-id-5361536
"Dagmar Hansens Gade, 8240 Aarhus, Risskov  - 2. sal",7.995 kr.,800 kr.,62 m²,3,2.,Lejlighed,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,N/A,"Velkommen indenfor i denne 3-værelses lejlighed i Skejbyen. Med en lejlighed i Skejbyen er du tæt på både daginstitutioner, sportsfaciliteter, spisesteder, indkøbsmuligheder, skov og meget mere! Du har med andre ord mulighed for et hjem, der passer til lige netop dine behov – hvad end du er til liv og hygge, eller ro og afslapning.

Lejlighedens 62 kvadratmeter fordeler sig over et dejligt opholdsrum bestående af kombineret køkken-alrum og stue, 2 gode værelser samt et moderne badeværelse med vaskesøjle og seperat bruseniche. Fra opholdsrummet har du udgang til lejlighedens altan.

Lejlighederne indeholder alt i hårde hvidevarer og der medfølger depotrum.

OBS. Billederne er fra den etablerede prøvebolig. Plantegningen er gældende.

Kontakt os endelig, hvis en 3-værelses lejlighed i Skejbyen kunne være noget for dig!",https://www.boligportal.dk/lejligheder/aarhus/62m2-3-vaer-id-5335542
"Vendersgade, 7000 Fredericia  - 1. sal",12.000 kr.,900 kr.,160 m²,4,1.,Lejlighed,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Nej,N/A,"✔ 2 store altaner 
✔ Nyrenoveret lejlighed
✔ God indretning
✔ Flot udsigt
✔ Central beliggenhed
✔ Mulighed for at leje parkeringspladser

𝗟𝗶𝗱𝘁 𝗼𝗺 𝗹𝗲𝗷𝗹𝗶𝗴𝗵𝗲𝗱𝗲𝗻:
Lejlighedens hele 160 kvm er indrettet med en entré, rummelig og lys stue med køkkenalrum, badeværelse og 3 gode værelser. 
Køkkenet er indrettet med Corian bordplader og alt i nye hårde hvidevarer. 
Perfekt lejlighed til jer som har brug for flere værelser og som ønsker at bo tæt på alt midt i gågaden. 

𝗟𝗶𝗱𝘁 𝗼𝗺 𝗯𝗲𝗹𝗶𝗴𝗴𝗲𝗻𝗵𝗲𝗱𝗲𝗻:
Her fra Vendersgade er du få skridt fra indkøbsmuligheder og midt i byens centrum med caféer og butikker. Stationen kommer du hurtigt til på gåben eller cykel, og i bil er du lynhurtigt på landevejen eller motorvejen. 𝗗𝗲𝘁 𝗯𝗹𝗶𝘃𝗲𝗿 𝗶𝗸𝗸𝗲 𝗻𝗲𝗺𝗺𝗲𝗿𝗲. 

𝗟𝗶𝗱𝘁 𝗼𝗺 𝗱𝗶𝗻 𝘂𝗱𝗹𝗲𝗷𝗲𝗿:
Vi har mange års erfaring med udlejning af egen lejemål samt for andre, og vi har egne viceværter og egen administration med kontor Fredericia. Vores lejere kan få fat på os via mail og på telefon ligesom du  altid er velkommen til at besøge os på kontoret.

Kontakt os for en 𝗽𝗲𝗿𝘀𝗼𝗻𝗹𝗶𝗴 𝗳𝗿𝗲𝗺𝘃𝗶𝘀𝗻𝗶𝗻𝗴 af lejligheden. Vi vender tilbage hurtigst muligt på hverdage indenfor normal arbejdstid.

Der er mulighed for at leje parkeringspladser ved ejendommen.",https://www.boligportal.dk/lejligheder/fredericia/160m2-4-vaer-id-5260175
"Slotsgade, 8900 Randers, Randers C  - 3. sal",6.243 kr.,750 kr.,94 m²,3,3.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Totalrenoveret lejlighed, beliggende i centrum af Randers.
Lejemålet overtages nyistandsat overalt.
Der er adgang til fælles vaskeri og cykelkælder.",https://www.boligportal.dk/lejligheder/randers/94m2-3-vaer-id-3385340
"Taastrup Hovedgade, 2630 København, Taastrup  - 3. sal",13.500 kr.,1.400 kr.,98 m²,3,3.,Lejlighed,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Ja,A,"I nybyggeri på Taastrup Hovedgade, 2630  Taastrup, 
kan der lejes kvalitets lejlighed med følgende hvidevarer fra Electrolux: Ovn, Vaske-/tørre maskine, Kogeplade, Opvaskemaskine og Køle-/Fryseskab.
Der er altan, der måler 1,51*4,10 (udvendigt).
Pulterrum på 3 m2 er i stueplan.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/98m2-3-vaer-id-5327163
"Kongegade, 5800 Nyborg  - 1. sal",8.500 kr.,900 kr.,141 m²,4,1.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Med rigtig fin beliggenhed lige i centrum af Nyborg, ligger denne dejlige, store, lyse 4 vær. lejlighed i 2 etager og med egen indgang. 
Lejligheden indeholder:
2 store stuer, 2 fine værelser, godt funktionelt køkken, dejligt badeværelse m/brus.
Flotte trægulve overalt. En rigtig fin lejlighed til en fornuftig husleje. 
Bemærk at vandforbrug er indeholdt i huslejen.",https://www.boligportal.dk/lejligheder/nyborg/141m2-4-vaer-id-5199207
"Ballegårdvænget, 7620 Lemvig, Heldum",6.706 kr.,1.035 kr.,85 m²,3,-,Rækkehus,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Afdelingen består af 34 rækkehuse beliggende i udkanten af byen med udsigt over naturskønne områder.
Der er ca. 5 km. Til nærmeste skole, men mindre end 500 meter til bybusforbindelser og skolebussen.

Til hvert rækkehus hører der have og depotrum.
Der er 26 parkeringspladser i afdelingen og et godt fælleshus.

Der skal betales for el og varme udover huslejen.
Det er tilladt at holde 1 husdyr pr. Lejemål.",https://www.boligportal.dk/r%C3%A6kkehuse/lemvig/85m2-3-vaer-id-4890660
"Skejbyparken, 8200 Aarhus, Aarhus N",6.700 kr.,0 kr.,46 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,N/A,"Skøn velindrettet 2-vær. lejlighed på 46m2 i stueplan  udlejes pr. 1/10/2023. 

Lejligheden ligger i et grønt og stille område i Skejbyparken, hvilket betyder, at du kan finde fred og ro fra Aarhus' 
travle byliv - og gratis parkering!

Lejligheden er en lys og dejlig endelejlighed med ekstra vindue i gavlen, beliggende i en 2-etagers ejendom direkte ud til de dejlige grønne områder.

Indeholder entré, badeværelse med vaskesøjle med vaskemaskine og tørretumbler, køkken (m/opvaskemaskine) i åben forbindelse med stor stue og udgang til egen terrasse, samt soveværelse med faste skabe. 
Brugsret til stort depotrum i nabobygningen. 

Husdyr er ikke tilladt.

Derudover:
- 5 km til Aarhus C 
- Gode Letbane- og busforbindelse nær boligen 
- Under 600m fra Skejby Centret som bl.a. byder på specialbutikker, fitnesscenter, restauranter og supermarkeder 
- Kort afstand til Mollerup Skov, med løberuter og indhegnet hundeskov 
- Gå/cykelafstand til flere uddannelsesinstitutioner/arbejdspladser, bl.a. Aarhus Universitetshospital, Aarhus Universitet, VIA University College, Aarhus Tech m.fl.",https://www.boligportal.dk/lejligheder/aarhus/46m2-2-vaer-id-4648810
"Sivmose, 5856 Ryslinge",9.995 kr.,N/A,105 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,A,"Moderne og lyst rækkehus med masser af naturligt lysindfald fra store vinduespartier. Man træder ind i særskilt entre med videre adgang til to gode værelser. Fra entreen finder man husets store opholdsrum med lyst køkken samt god plads til spisebord. Her er ligeledes mulighed for indretning af hyggeligt sofahjørne. Fra alrummet finder man særskilt bryggers med vask samt plads til vaskemaskine og tørretumbler, herfra finder man et stort moderne badeværelse. Ydermere forefindes et stort soveværelse med indbygget skabsvæg. Fra stue er der direkte udgang til bagvedliggende terrasse samt dejlig have.

Bebyggelsen vil bestå af 44 energivenlig og moderne kvalitetsrækkehuse i størrelsen 85, 95, 105 og 115 m² – alle i et plan tegnet i en moderne og enkel streg.

Alle boligerne opføres på selvstændige grundstykker. Til hvert hus hører egen parkering, stort redskabsrum, dejlig have, stor flisebelagt terrasse på begge sider af huset samt flisebelagt gangsti til boligens entre, hvor der udføres niveaufri adgang. Haven omkranses og lukkes af ligusterhæk.

Husene er beliggende på to lukkede vænger, hvorfor der er begrænset med trafik, og børn kan derfor trygt slippes løs og finde legekammerater i den nye bebyggelse. Hunden kan ligeledes luftes på de etablerede stier i området.

Husrækkerne udføres med murede facader af morderne lys beige mursten og sort sadeltag med 25 graders hældning. Stern af træ i farven antracit og mindre hvidmalet udhæng af træ.

Husene monteres med moderne træ/alu vinduer og døre (3-lags vinduer) i mørk farve udvendig og hvid indvendig i. Sålbænke under vinduespartierne i mørk skifer.

Husenes materialevalg er gennemtænkt og harmonisk, så husene vil fremstå smuk, tidløs og velholdt i mange år fremover.

Åbne og lyse huse

Alle husene indrettes lyse og venlige, med hvide glatte lofter og vægge. Store oplukkelige vinduer for ekstra godt lysindfald overalt. Fælles opholdsrum (køkken/alrum/stue) indrettes med store vinduespartier på flere sider for maksimalt lysindfald. Gulve af egeplank (laminat) i køkken/alrum, stue og værelser. Entre, bryggers, badeværelse og brus udføres med lækre klinkegulve i lysgrå. Alle døre i glat hvid finish med rustfri stålgreb og uden dørtrin for optimal betjening. Vindueskarme mures og vandskures i hvid. Vægge mod gulv afsluttes med hvide glatte fodpaneler.

Fine detaljer overalt

Alle boliger indrettes med bryggers med bordplade og vask. Boligens badeværelse ligger i forbindelse med bryggerset. Køkken, bad, bryggers og soveværelse monteres med moderne moduler i glat hvid afslutning og med linje greb i farven antracit grå. Bordplader i praktisk laminat i farven ’rustik skifer’ med rummelige stålvaske. Stænkplade bag kogepladen, for nem rengøring. Vask i badeværelse af formstøbt materiale. Væghængt toilet fra Ifö Sign, kvalitetsarmaturer fra tyske Hans Grohe og linjeafløb i bruseniche.

Kvalitetshvidevarer

Alle hvidevarer medfølger i anerkendt kvalitet herunder integreret køl/frys, integreret opvaskemaskine, kogeplade med induktionsteknologi, emhætte og indbygningsovn i højden med pyrolyse-teknologi. Der medfølger ligeledes vaskemaskine og tørretumbler placeret i bryggers.

Fast og god belysning

Der er etableret lyskilde i bad og bryggers, samt ved ventilation på loft. I køkken er der spot i overskabene.

Forberedt for el-bil

Der er forberedt tomrør til ladestation for el-køretøj.

Sundt indeklima og gulvvarme

Der er gulvvarme i hele huset. Dette styres via separate termostater i alle rum. Boligen er udført med ventilationsanlæg, der sikrer et sundt og godt indeklima.

Individuelle forbrugsmålere

Forbrug til varme, el, vand og spildevand afregnes direkte mellem lejer og forsyningsselskaberne. Opvarmning via fjernvarme.

Udvendig monteres der stikkontakt og vandhane samt væglampe ved entredør.

Illustrationer er modelfotos. Der tages forbehold for rettelser.",https://www.boligportal.dk/r%C3%A6kkehuse/ryslinge/105m2-4-vaer-id-5345645
"Åglimt, 7800 Skive, Mogenstrup",5.343 kr.,N/A,67 m²,2,-,Hus,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,N/A,"Husene/dobbelt husene, som ligger i den nordlige del af byen, er ført i 1983/1989. Hver bolig har egen have og et skur. Boligerne 35 A og 43 A-B-C har desuden en carport.
Mogenstrup er en landsby beliggende i det nordlige Vestjylland omgivet af en smuk natur.

Karup Å, som ligger nabo til byen, er godt besøgt af lystfiskere fra nær og fjern. Afmærkede stier fører vandrerne ud i den smukke natur omkring byen.

I byen findes Fælleshuset, som er en festsal, som kan lejes. Omgivelserne omkring Fælleshuset giver adgang til boldbaner og legeplads.

Der er vuggestue/børnehave i byen (Søstjernen).

Indkøbsmuligheder findes i Vinderup (13 km) eller Skive (14 km), som alle kan nås inden for ca. 15 min. i bil.

Afdelingen består af 79 familieboliger, 14 studieboliger og 28 ældreboliger.

Boligernes energimærke: B/E.

Telefonen er åben mandag - torsdag 9.00-12.00 og 13.00-15.00. Fredag fra 9.00-12.00.
For at kunne leje denne bolig, kræver det man er medlem af boligforeningen. På BoligPortal annonceres kun reelt ledige boliger uden eksisterende venteliste på annonceringstidspunktet. Venligst kontakt udlejer hvis du er interesseret i lejemålet.",https://www.boligportal.dk/huse/skive/67m2-2-vaer-id-5359650
