Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Vestfløjen, 2700 København, Brønshøj  - 3. sal",12.600 kr.,1.000 kr.,87 m²,4,3.,Lejlighed,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,N/A,"Fløjhusene II’s familievenlige lejeboliger består af 83 et-plans lejligheder med 1-6 værelser, hvor der er anvendt kvalitetsmaterialer fra ende til anden. Lejlighederne veksler i størrelse fra 47-144 m2, hvor alle har egen altan, tagterrasse eller terrasse i varierende størrelser.

 

Bor du i en af 1. sals lejlighederne, har du privat terrasse med direkte adgang til den hyggelige, hævede gårdhave. Bor du på 2. sal og op får du glæde af en eller to skønne altaner med god plads og udsigt.

 

Inde i lejlighederne er der flotte egetræsgulve og hvidmalede vægge, der spejler solens stråler og giver et dejligt lysindfald i hele boligen. De indbyggede garderobeskabe har hylder og garderobestang, så du hurtigt kan komme på plads. Når tøjet skal til vask, er din bolig udstyret med enten vaskemaskine/tørretumbler eller en kombimaskine.

Udfold dig i det indbydende køkken

Køkkenelementerne fra HTH er enten model Tendens (hvid) eller Base (grå). Elementerne har modtaget Indeklimamærket, der stiller krav til en sund luftkvalitet i brugsfasen. Alle skuffer er med fuldt udtræk, og låger og skuffer har soft close. Der er LED spots under overskabene og i udtræksemhætten.

 

Køkkenet indeholder ovn, kogesektion, opvaskemaskine og køle-/fryseskab fra Siemens – alt er klar til, at du kan udfolde dig og kokkerere til dig selv, familie og venner.

 

Du kan bl.a. se frem til:

- Flotte egetræsgulve

- Køkken fra HTH

- Vaskemaskine, tørretumbler eller kombimaskine

- Væghængt toilet med trykknapper

- Armaturer fra Børma

- Hårde hvidevarer fra Siemens eller Bosch",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/87m2-4-vaer-id-5350980
"Else Sørensens Vej, 2610 København, Rødovre  - Stuen",11.800 kr.,900 kr.,85 m²,2,Stuen,Lejlighed,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,N/A,"Velkommen til boligen
'boligen samler 85 lejligheder, der lader livet blomstre i Rødovres nye bydel Gartnerbyen.
I boligen er der tænkt over alle de detaljer, du bliver glad for i hverdagen, og som gør, at du kan føle dig hjemme.
Noget af det første, du vil lægge mærke til er rummeligheden, de gode velindrettede værelser, flotte egetræsgulve, indbyggende skabe samt vaskemaskine og tørretumbler i boligerne. I boligen findes der flere forskellige planløsninger. Her er mulighed for at vælge mellem 2-4-værelses lejligheder, ligesom der også findes lejligheder med to toiletter.
Du kan leje:
- 2-værelses moderne lejligheder til parret
- 3-værelses lejligheder til den lille familie eller parret hvor børnene er flyttet hjemmefra
- 4-værelses lejligheder til de større familier
Med en lejlighed på 1. sal eller højere oppe får du din egen private altan, hvor du i stuen har adgang til en hyggelig terrasse. Alle altanerne har glas, så du får læ og en afskærmning, som gør, at du kan være privat. Boligerne i boligen er klar til indflytning pr. 15. november 2023
Derudover:
- Elevator i bygningen
- Depotrum i lejligheden
- Det er muligt at leje en p-plads i kælderen
Det med småt:
- Det er ikke tilladt at stå i RKI
- Husdyr skal godkendes af udlejer
- Bemærk, at billedmaterialet ikke nødvendigvis stammer fra den pågældende bolig.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/85m2-2-vaer-id-5365457
"Fuglekildevej, 5690 Tommerup, Verninge",4.000 kr.,500 kr.,59 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,N/A,"59kvm lejlighed beliggende i Verninge. Der er 25m til busstoppested, skole inden for 1km.
Der er en lille have, samt flisebelagt terrasse og et ca. 7kvm skur tilknyttet.
Der forefindes fibernet i lejligheden.
Lejligheden opvarmes med varmepumpe, og brugsvand med 60l vandvarmer.
El afregnes direkte via egen elmåler, Vand afregnes aconto til udlejer.",https://www.boligportal.dk/lejligheder/tommerup/59m2-2-vaer-id-5366522
"Skolegade, 6880 Tarm",3.989 kr.,945 kr.,68 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Nu kan du leje denne lækkerbisken af en 2 værelses lejlighed lige midt i smørhullet af Tarm - tæt på alting. Gennemgribende renoveret med nye praktiske gulve overalt, nyt facadeparti mod gaden, nyt køkken, og nyt bad. Huslejen er incl. vand.

Indretning: ENTRE fra gården med fast skab, KØKKEN med opvaskemaskine, ekstra indbyggede hylder og god bordplads. STUE med godt lysindfald og plads til både spiseafdeling og hyggekrog. SOVEVÆRELSE med plads til evt lille kontoranretning.

Der er fællesvaskeri i ejendommen og et lille fælles depotrum til cykler mv.

Der betales for 3 stk. system nøgler (Pr stk. DKK 450,00) samt navneskilt postkasse DKK 215,00 sammen med 1. betalingen.

Husdyr tilladt efter særskilt, skriftlig aftale med udlejer (kræver indbetaling af ekstra 2 måneders forudbetalt leje som sikkerhed i forb. med evt skader forvoldt af husdyr, dens ejer eller andre med tilknytning til lejer)

Forudsætning for lejeaftalens indgåelse
Det er en forudsætning for aftalens indgåelse at lejer tilmelder betalingen til BetalingsService via lejers tildelte login på BoligManager sammen med 1. betalingen og kontraktunderskrift. Det oplyses at lejer IKKE kan tilmelde BetalingsService/PBS via egen bank. Underskrift senest 5 hverdage efter lejeren har modtaget aftalen - ellers bortfalder udlejers tilbud og lejemålet kan lejes ud til anden side. Betaling af 1. betaling senest 5 hverdage efter underskrift - ellers kan udlejer udleje lejemålet til anden side. Er der tale om overtagelse af lejemålet med kort varsel skal underskrift/betaling og tilmelding til BetalingsService være udført inden nøgler kan udleveres til lejer. Det er desuden en forudsætning at lejer ikke er registreret i RKI.",https://www.boligportal.dk/lejligheder/tarm/68m2-2-vaer-id-5324306
"Nørrebrogade, 8700 Horsens  - 1. sal",4.180 kr.,500 kr.,38 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,N/A,"Beliggende på Nørrebrogade i den nordlige del af Horsens finder man på 1. sal i en ejendom denne lille, men hyggelige 2 værelses lejlighed på 38 kvm. 
Lejligheden består af en entré og fordelingsgang, stue, soveværelse, mindre men funktionelt køkken og badeværelse. Der er trægulve i gang, værelse og stue samt klinker i bad og linoleum i køkkenet. Samtlige vægge og lofter er hvidmalede. 
På ejendommens bagside findes en fælles have samt et fællesvaskeri i en bygning, hvor der også til lejligheden findes et depotrum. 
Lejemålet overtages med nymalede vægge og lofter ved indflytning og udlejes tidsubegrænset.
Udover huslejen betales:
A conto varme: 350 kr. pr. mdr.
A conto vand: 150 kr. pr. mdr.
El, TV og internet betales direkte til udbydere. 
Depositum: 3 måneders leje
Forudbetalt leje: 1 måneds leje",https://www.boligportal.dk/lejligheder/horsens/38m2-2-vaer-id-5169313
"Østerlunden, 5000 Odense, Odense C  - Stuen",9.995 kr.,N/A,104 m²,4,Stuen,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,N/A,"Østerlunden er drømmeboligen for dig, der søger en lys lejlighed i funktionelt og tidløst design. Her får du en gennemtænkt planløsning med lækkert køkkenalrum og stort badeværelse. Alt sammen udført i lyse, nordiske materialer med smukke trægulve og store vinduespartier, der giver masser af lys i lejligheden. Fra den skønne altan kan du nyde solen og udsigten til de grønne haverum.

Du har desuden dørtelefon i lejligheden, så du har helt styr på, hvem du lukker ind. Til ejendommen hører naturligvis også elevator, så du kan klare de daglige indkøb uden at få sved på panden. Østerlunden gør det kort sagt nemt at få en harmonisk hverdag – både for familier og singler.",https://www.boligportal.dk/lejligheder/odense/104m2-4-vaer-id-5340737
"Ålbækvej, 4174 Jystrup Midtsj, Jystrup  - Stuen",8.000 kr.,1.000 kr.,84 m²,2,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,Hyggelig stuelejlighed med lille terresse udlejes,https://www.boligportal.dk/lejligheder/jystrup-midtsj/84m2-2-vaer-id-5378259
"Solsikkevænget, 8200 Aarhus, Aarhus N  - Stuen",10.400 kr.,500 kr.,108 m²,3,Stuen,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,N/A,"I NYE flytter du ind i et fællesskab med masser af tiltag, muligheder og faciliteter, som du - hvis du ønsker det - frivilligt kan være en del af. Derunder kan bl.a. nævnes; plante / drivhusfællesskab, lokal fodboldklub, yogahold, beboerhus med gæsteværelser, fællesspisning, legepladser og meget mere. 

Selve lejligheden ligger i en flot etageejendom på Solsikkevænget, som er tegnet af AART og opført i 2020. Md de flotte cedertræsfacader, falder byggeriet smukt i tråd med de øvrige bebyggelser i Nye.    

Ejendommene entreres via en flot, lys opgang med elevator til de enkelte etager. Denne lejlighed ligger i stueplan og byder på entré, to gode værelser, det ene med adgang til depotrum, badeværelse med brus, lyst køkken / alrum og stue med udgang til terrasse.",https://www.boligportal.dk/lejligheder/aarhus/108m2-3-vaer-id-5330681
"Søndermarksvej, 8800 Viborg  - 1. sal",2.984 kr.,720 kr.,39 m²,1,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Tæt på centrum finder du det charmerende søndermarksvej. En hyggelig ejendom med 108 velindrettet lejeboliger, som fordeler sig på en til tre værelser - perfekt til singlen, parret, den lille familie eller seniroen.

De hyggelige omgivelser indbyder til hygge, hvor du er omkranset af skøn natur og med gåafstand til bymidten.

I denne skønne etværelses får du:


Fælles entré
køkken med kogepalde og køleskab.
køkken/sove /opholdsrum med fransk altan
badeværelse med brus
Eget skur og fælles cykelskur.
Fællesvaskeri og gratis parkering foran ejendommen.
Mulighed for leje af fælleslokale og adgang til fitnessrum.
Hyggeligt gårdområde og legeplads.

Lejevilkår:


Det er tilladt at holde 1 stk. hund på max. 35 kg, og under 40 kg. i højden. (med forbehold)
Katte er ikke tilladt.
Det er ikke muligt at leje boligen, hvis du er registeret i RKI.

*Bemærk at billederne ikk nødvendigvis er taget af/fra den pågældende bolig, og at udsigt m.v. derfor kan variere

Området:

Søndermarksvej ligger i Viborg. Viborg har ca. 40.000 indbyggere.

Viborg-egnen byder på dejlig natur samt gode muligheder for både uddannelse samt handel.

Viborgs bymidte er smuk og charmerende året rundt og byder på et varieret og bredt udvalg.

Tag på shoppnig hos de kendte butikskæder eller gå en tur i de idylliske gader og opdag udvalget hos de mange specialforretninger.

Byens indkøbscenter Sct. Mathias Centeret byder på mange specialbutikker under et tag.

Viborg Kommune har pasningsgaranti til og med 3 klasse. Der er dagpleje, vuggestuer, børnehaver samt privat børnepasning.

Er børnene lidt ældre, er der mange gode skoler, skolefritidsordninger samt ungdomsklubber i Viborg. Der er gode muligheder for videreuddannelse i Viborg.


Boligerne opvarmes med fjernvarme

ÅBENT HUS:
 - Fredag den 11. august 2023, kl. 13:25-13:55

OBS: Venligst hold dig opdateret, da der godt kan forekomme ændringer.",https://www.boligportal.dk/lejligheder/viborg/39m2-1-vaer-id-5331656
"Jernbanegade, 5750 Ringe  - 1. sal",8.500 kr.,260 kr.,112 m²,4,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,N/A,"Lejemålet ligger i Jernbanegade i centrum af Ringe by. De 10 boliger i Jernbanegade er opført som bylejligheder.

Dette 4 værelses lejemål er beliggende på 1.sal. og er i 2 plan. Lejligheden er indrettet med entré med adgang til det ene værelse samt til dejligt badeværelse. Skønt spisekøkken. På 2.salen er der en dejlig stor stue samt 2 værelser. Der er gulvvarme på badeværelset samt lamel parket gulve i resten af lejligheden. Der er indbyggede skabe i værelserne. Depotrum i kælderen medfølger samt 1 stk. parkeringsplads. 

Området:

Jernbanegade ligger i Ringe og er beliggende på Midtfyn med ca. 5500 indbyggere. Byen ligger i Faaborg-Midtfyn Kommune og der er knap 9 km til Kværndrup, 20 km til Odense samt 22 km til Svendborg. I Ringe er der et godt handelsliv med masser af forskellige butikker. Her er alt hvad hjertet kan begære. Der er også et godt sportsliv - gof, ridning og fitness er blot nolge af de aktiviteter byen byder på. Vuggestuer, børnehaver samt skole findes selvfølgelig også i Ringe. Af offentlige transportmidler findes der tog samt bus forbindelser både mod Svendborg samt mod Odense.

Ejendommen ligger ud til hovedgaden i Ringe og lejlighederne er fordelt i 2 bygninger, der adskilles af en hyggelig gård. I ejendommen ud til Jernbanegade er der elevator. Depotrum i kælderen medfølger til alle lejlligheder samt 1 stk. egen parkeringsplads. Et stenkast fra indkøbsmuligheder samt off. transport og kun 12 minutters kørsel til Odense. Bedre beliggenhed findes ikke!",https://www.boligportal.dk/lejligheder/ringe/112m2-4-vaer-id-5232202
