Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Kirkebjerg Parkvej, 2605 København, Brøndby  - Stuen",10.915 kr.,995 kr.,74 m²,3,Stuen,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,N/A,"156 lejeboliger fordelt på 2-, 3- eller 4-værelses lejligheder. 

Den nyligt opførte rødstensejendom præsenterer sig flot i nabolaget med store vinduespartier, grå detaljer og glasafskærmede altaner, der har en behagelig afstand imellem sig. Alle lejligheder fremstår med regulære værelser, lyse stuer, pæne køkkener og rummelige badeværelser, og når først gårdhavemiljøet er færdiganlagt, får I endnu flere udendørsarealer til rådighed. 

I bosætter jer i et nyetableret kvarter, hvorfra I får korte afstande til alle hverdagens fornødenheder - og det gælder alt fra skolefaciliteter, dagtilbud og indkøbsmuligheder, som tæller både Rema1000, SuperBrugsen, Lidl og Netto. Glostrup Station er ligeledes inden for nær rækkevidde, og her kan I komme til Indre By med S-toget på cirka 20 minutter. Det er derfor ganske nemt at pendle til og fra Indre By, hvilket gør denne adresse ekstra attraktiv. I kommer ligeledes hurtigt til Høje Taastrup, hvorfra regionaltogene fører jer videre rundt på Sjælland. Derudover tager det under fem minutter i bil at komme på motorvejsnettet

Der er 94 parkeringspladser i parkeringskælderen + 62 parkeringspladser i terræn. En parkeringsplads kan lejes for 300 dkk pr. måned i terræn og 350 dkk i parkeringskælderen. Der opsættes tilmed 2 el-lade standere, således at der kan oplades 4 elbiler ad gangen. 

Alle hårde hvidevarer der forefindes i prøveboligen medfølger i alle lejlighederne.

Der er Stofa fibernet og boligerne opvarmes med fjernvarme.

Lejlighederne kan reserveres ved at deltage på åbent hus. Vi holder åbent hus ca. én gang om ugen indtil alt er udlejet. 

Ønsker du at deltage i det åbne hus, så kan du sende en besked via annoncen og modtage en invitation til det næstkommende åbne hus. 

Indflytningsprisen skal betales umiddelbart efter modtagelsen af lejekontrakten. 

Det vil ikke være muligt at besigtige andre boliger end prøveboligen inden indflytning og det er under ingen omstændigheder tilladt at opholde sig på byggepladsen uden en invitation til åbent hus. 

Billeder, plantegning og tekst er vejledende. 

Hvis du er registreret i RKI kan vi desværre ikke tilbyde dig lejligheden. Dette kontrolleres ved udarbejdelse af lejekontrakt.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/74m2-3-vaer-id-5349241
"Pollenvænget, 8381 Aarhus, Tilst  - Stuen",7.495 kr.,800 kr.,69 m²,2,Stuen,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,N/A,"Indgå lejekontrakt inden 1/6-2023 og opnå lejerabat på 500 kr. til og med 31/12-2023.
Oprindelig husleje: 7.995 kr.
Husleje inkl. lejerabat: 7.495 kr.

Lækker nyere 2-værelses i Århus! 

Information omkring lejligheden:
Her er tale om en dejlig, lys nybygget ejendom fra 2019 med mulighed for indskudsfri leje!

Om boligen:
•	Køkkenet er fra Invita og er alt i hårde hvidevarer.
•	Stort og dejligt badeværelse inkl. én kombineret vaskemaskine og tørretumbler.
•	Stor, flot fælles tagterrasse med dejlig udsigt samt kælder med opbevaring og cykelparkering.
•	Ejendommen har elevator og er handicapvenlig.
•	Der er gratis parkeringsområder.
•	1 husdyr er tilladt, som max må veje 15 kg*

Der er gode indkøbsmuligheder og kort til supercykelstien. Der er 7 min. på cykel til Bilka, hvor der i samme område ligger en Jysk, Power, Elgiganten mm. Derudover kan du cykle til Aarhus BSS på 20 min.

*Hvis du har et husdyr, skal du betale en måneds forudbetalt leje. Tilladelse af husdyr sker altid på baggrund af en individuel vurdering.",https://www.boligportal.dk/lejligheder/aarhus/69m2-2-vaer-id-5316852
"Blåkildevej, 9220 Aalborg, Aalborg Øst  - 5. sal",7.150 kr.,545 kr.,68 m²,3,5.,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,A,"Topmoderne 2-værelses lejlighed i nybygget ejendom tegnet af KPF Arkitekter A/S. Lejligheden er rummelig med dejligt lysindfald og har storslået udsigt. Lejligheden er beliggende i skønne omgivelser i et attraktivt område tæt på Aalborg Universitet og blot få minutters kørsel fra Aalborg Centrum. Indkøbsmuligheder, offentlig transport, daginstitution mv. inden for få 100 meter.

Lejligheden er velindrettet med stue i forbindelse med køkkenalrum, soveværelse og badeværelse. Ligeledes tilhører en privat altan. Køkkenet fra Invita rummer en komplet hårde hvidevare pakke med bl.a. opvaskemaskine og induktionskogeplade fra Bosch, mens der på badeværelset er vaskemaskine og tørretumbler.

Ejendommen indeholder elevator og alle lejligheder har tilknyttet depotrum. Desuden er der gode parkeringsforhold og cykelparkering.

Det er tilladt at have mindre husdyr i lejligheden.

En lejlighed som klart bør ses.",https://www.boligportal.dk/lejligheder/aalborg/68m2-3-vaer-id-5363945
"Amaliegade, 8000 Aarhus, Aarhus C  - 2. sal",9.395 kr.,750 kr.,59 m²,2,2.,Lejlighed,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Nej,N/A,"Lækker og velindrettet 2 vær. lejlighed beliggende i helt ugeneret parallelgade til Strøget – lige ved siden af Salling. Lejligheden har egen altan, topmoderne faciliteter samt en flot og funktionel indretning.  Minimalistisk sort køkken & bad med marmor. Egetræsgulve med gulvvarme. Ejendommen er nyere og består af et 5 etagers forhus og baghus på 4 etager med en lækker fælles tagterrasse. De to huse er forbundet med hinanden via altangange. Derudover er der depotrum, elevator og et mindre gårdrum.",https://www.boligportal.dk/lejligheder/aarhus/59m2-2-vaer-id-4679643
"Brystrupvej, 6230 Rødekro, Hellevad",3.950 kr.,250 kr.,65 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Nyrenoveret 2 værelses lejlighed på 1. sal med egen altan, beliggende midt i Hellevad 5 km fra Rødekro.
Lejer er selv tilmeldt varme og el.",https://www.boligportal.dk/lejligheder/r%C3%B8dekro/65m2-2-vaer-id-5376396
"Domkirkestræde, 8800 Viborg  - Stuen",10.475 kr.,1.600 kr.,135 m²,3,Stuen,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"EKSKLUSIV LEJLIGHED I DEN GAMLE BYDEL - KÆMPE TERRASSE MED SMUKKESTE UDSIGT

Fuldstændig fantastisk lejlighed med en ganske unik beliggenhed - i hjertet af den gamle bydel, og med den smukkeste udsigt mod Søerne og Borgvold.

Lejemålet er indrettet med entré/fordelingsgang, et super lækkert badeværelse med bl.a. dobbelt spabad og vaskesøjle mm. Herudover store værelser med skydedørsgarderober.

Lejligheden byder også på et lækkert åbent køkken, i forbindelse med en fantastisk vinkelstue - herfra panoramaudsigt og et helt fantastisk lysindfald. Fra stuen er der udgang til stor, solrig terrasse med markise og enestående udsigt.

Her får du virkelig noget helt eksklusivt og lækkert, i meget kort gåafstand til søerne, Borgvold og Viborgs smukke og hyggelige gågader.

Alle vores lejemål udlejes efter først-til-mølle-princippet.",https://www.boligportal.dk/lejligheder/viborg/135m2-3-vaer-id-4774544
"Randersvej, 8200 Aarhus, Aarhus N  - 3. sal",9.900 kr.,800 kr.,112 m²,3,3.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,C,"Super flot 3-vær. lejlighed på 3.sal udlejes. Ligger tæt ved Universitetet og andre studiesteder, Stjernepladsen og Letbanen. Lejligheden er totalrenoveret i 2001/2002 med nyt HTH-køkken  incl. alt i hårde hvidevarer og  nyt brusebadeværelse. Synlige hanebånd. Nyt trægulv på lagt i 2014. Komb. vaske/tørremaskine er opstillet på badeværelset. Endvidere er der vaskehus i kælderen. Der er adgang til en lille gårdhave.
For yderligere info og aftale om fremvisninger bedes I kontakte Lars",https://www.boligportal.dk/lejligheder/aarhus/112m2-3-vaer-id-1808264
"Preislers Plads, 8800 Viborg",11.500 kr.,1.900 kr.,203 m²,7,-,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Nej,N/A,"Tæt på banegård, Midtbyens Gymnasium, indkøb og meget mere ligger dette fantastiske byhus.

Lejemålet er i 3 etager og fordelt således:
Stueplan:
Indgang med vaskemaskine og tørretumbler, badeværelse samt stort værelse.

1. sal:
Køkken-alrum med opvaskemaskine samt 2 gode værelser.

2. sal: Toilet med håndvask, repos og 2 værelser

Hvis du/I søger en god og delevenligt lejemål, bør det ses!

A conto forbrug er fordelt således:
Varme kr. 1.500-
Vand kr. 400,-",https://www.boligportal.dk/lejligheder/viborg/203m2-7-vaer-id-4611621
"Herningvej, 8600 Silkeborg  - 2. sal",8.944 kr.,0 kr.,95 m²,3,2.,Lejlighed,Nej,Nej,Ja,Ja,Nej,Nej,Nej,Ja,A,"Lejligheden
Det centrale rum i denne store og lyse lejlighed er det rummelige køkken-alrum, som både indeholder et splinternyt køkken i stilrene materialer samt alt i hårde hvidevarer, plads til spisebord samt stue i ét. Rummet indbyder til hyggelige stunder sammen, og gør det muligt at være sammen, selvom madlavningen skal klares imens. Derudover har du fra dette rum adgang til et depotrum, hvor der er plads til alt det, du gerne vil have gemt lidt af vejen. Boligen indeholder to gode værelser; et stort og luftigt soveværelse samt et reelt værelse. Soveværelset har tre faste garderobeskabe med plads til opbevaring af tøj, plads til en stor seng samt masser af luft omkring sengen. Værelset har fast garderobeskab, plads til en seng og et skrivebord. Det moderne og lyse badeværelse tilføjer et strejf af luksus i hverdagen, hvor du kan glæde dig over en god bruseniche, håndvask med opbevaring, toilet samt en funktionel vaskesøjle med egen vaskemaskine og tørretumbler.
Denne lejlighed er indrettet med en stor og indbydende entré, hvor der både er et fast garderobeskab og meget plads til både ekstra opbevaring, en bænk, skoskab m.m.

Attraktiv beliggenhed
Ørnsøhave ligger placeret i det populære boligområde Lysbro, kun tre kilometer fra Silkeborg midtby. Med en lejlighed i Ørnsøhave har du kun 500 meter til Ørnsø og skoven. Lysbro ligger i forlængelse af Funder og Hvinningdal med gode skoler, daginstitutioner, indkøbsmuligheder og fritidsaktiviteter.

Nemt for pendlere
Ørnsøhave ligger blot tre kilometer fra Silkeborg Station, som let nås på cykel. Med den korte afstand til stationen, kan du nemt tage toget mod studiet eller jobbet. Har du bil, får du med en bolig i Ørnsøhave let adgang til motorvejen, og kan være i enten Herning på blot 25 minutter eller Aarhus på 35 minutter

Energivenligt byggeri
Ørnsøhave er opført som energivenligt byggeri og forventes at opnå bæredygtighedscertificeringen DGNB. Det betyder, at der udvises både social-, økonomisk- og miljømæssigt ansvar igennem hele byggeprocessen

OBS: Billeder, visualiseringer og plantegninger er vejledende.",https://www.boligportal.dk/lejligheder/silkeborg/95m2-3-vaer-id-5368413
"Fredensvej, 6800 Varde",9.300 kr.,1.000 kr.,114 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,A,"I dejligt roligt kvarter tæt på indkøb og Frelloskolen udlejes velindrette 4 V bestående af 3 soveværelser, stue øg køkken/spisestue, 2 badeværelser desuden er der dobbelt carport og redskabsskur. Huset er fra 2016 og meget billigt i forbrug. (Aconto 1000,- ud over huslejen). Der er desuden have og terrasse. Husdyr kun ifølge aftale med udlejer.",https://www.boligportal.dk/r%C3%A6kkehuse/varde/114m2-4-vaer-id-5292943
