Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Funder Skovvej, 8600 Silkeborg",10.500 kr.,0 kr.,113 m²,4,-,Rækkehus,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,N/A,"På Funder Skovvej udlejer vi 3-, 4- og 5-værelses skønne rækkehuse varierende fra 77-126 m2. Rækkehusene ligger i et børnevenligt kvarter med naturen som nabo.

INDE:
På Funder Skovvej udlejer vi 48 boliger, som er lyse og stilrene. Hvide vægge, lyst inventar og lyse laminatgulve af eg løfter boligen og giver en rummelig og let fornemmelse at bo i.

Rækkehusene har Troldtekt i loftet, som bidrager til en perfekt akustik og bakke op om den rolige atmosfære. Vådrummene er dækket af store, flotte fliser af ekstra hårdhed, som gør det supernemt at vedligeholde og rengøre, der skal bare bruges lidt vand og sæbe. Det passer perfekt i en travl hverdag.
Der er gulvvarme installeret i boligerne på stueetagen, og radiatorer på 1-sal (kun type C-3). Det er med til at skabe en stabil rumtemperatur. I samtlige boliger er der også installeret et allergivenligt Genvex anlæg, hvilket giver et lavt varmeforbrug.

Du kommer ind i en rummelig entre med adgang til køkken-alrum, afhængigt af typen af rækkehus er der også direkte adgang til badeværelse og/eller et af værelserne.
Når du går fra entréen til køkken-alrummet åbner sig et stort, lyst rum, med ekstra højt til loftet og ovenlysvinduer, som åbner rummet endnu mere op. Det er plads til leg, fest og gode samtaler. Køkken-alrummet er husets hjerte, herfra kan du bevæge dig rundt til alle værelser, badeværelser og ud på terrassen. Alle rækkehusene har et stort soveværelse og værelser, der er oplagt til kontor, børneværelser, eller hvad du ellers har brug for. Soveværelset er det største værelse i rækkehuset, der er god skabsplads, hvor der i typen A og D er et walk-in-closet.
Type C rækkehuset er i to plan. Her finder du alle værelserne på første etage samt et badeværelse.

UDE:
Til alle rækkehusene hører en carport, et skur, en udendørs vandhane og to dejlig terrasse omringet af bøgehække. De rækkehuse, der er i to plan har også en altan med adgang fra soveværelset. Centralt på Funder Skovvej er en legeplads med legehus og gyngestativ, hvis man ikke kan få nok, medfører den smukke natur omkring Funder som nabo. Kun tre minutters gang fra dit hjem ligger Funder legeplads, som har både svævebane, tazanbane og bålplads.

PARKERING:
Alle rækkehuse har egen carport plus en ekstra parkeringsplads i forlængelse. Der er også 12 fælles parkeringspladser og en handicapparkeringsplads.

VARME OG HÅRDE HVIDEVARER:
Der er fjernvarme i alle husene, og i samtlige boliger er der installeret et allergivenligt Genvex anlæg, hvilket giver et lavt varmeforbrug. Der er gulvvarme installeret i boligerne på stueetagen og radiatorer på 1-sal (kun type C3). Boligen har alt i hårde hvidevarer, og der er fibernet.

HUSDYR:
Katte: Lejere kan ansøge om tilladelse til at holde én indekat på adressen. Udekatte er ikke tilladt.
Hunde: Lejere kan ansøge om tilladelse til at holde hund.
Andre dyr: Kontakt os.",https://www.boligportal.dk/r%C3%A6kkehuse/silkeborg/113m2-4-vaer-id-5370456
"Søndre Ringgade, 8000 Aarhus, Aarhus C  - 1. sal",8.450 kr.,500 kr.,69 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,D,"God 2 værelses lejlighed i den roligere ende af Sdr. Ringgade
Beliggende tæt på Harald Jensens Plads.

Der er stor stue med karnap og skønt lysindfald. Her er udgang til lille loggia rum.
Soveværelset er rummeligt, vender imod gården og er med indbyggede skabe.
Fint køkken med god skabsplads. Badeværelset er sparsomt, men funktionelt.

Der er installeret en kombineret vaskemaskine/tørretumbler i lejligheden.

Vand er inkl. i lejen.
Varme er á conto.

Husdyr og rygning ej tilladt på matriklen

Lejeperioden er ubegrænset - minimum 12 mdr.",https://www.boligportal.dk/lejligheder/aarhus/69m2-2-vaer-id-2965422
"Østre Alle, 9000 Aalborg, Aalborg  - Stuen",4.450 kr.,400 kr.,65 m²,2,Stuen,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,D,"Velkommen til denne skønne lejlighed på Østre Alle!

Lejligheden byder på 65 m2, er rigtig godt udnyttet, hvilket gør at der er minimalt spildplads. Lejligheden indeholder to regulære lyse værelser ,hvor der er et dejligt lysindfald i begge rum. Køkkenet har de nødvendige hårde hvidevare. Et hjem der er oplagt til delelejlighed eller til den studerende.


Lejlighed er beliggende i et rigtig godt område, med mange muligheder både for dig der både er til bylivet men samtidig sætter pris på grønne områder. Der er få hundrede meter til Østre anlæg. Parken dækker 6,5 hektar med sø, legeplads, fodboldbane, vollybane, uden døres fitness, opholdssteder med mulighed for gril og stisystemer med dertil anlagt blomsteranlæg. 

Kontakt os endelig for en fremvisning!",https://www.boligportal.dk/lejligheder/aalborg/65m2-2-vaer-id-5362295
"Ida Nielsens Vej, 7323 Give, Bregnhoved",9.645 kr.,N/A,105 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,A,"Moderne og lyst rækkehus med masser af naturligt lysindfald fra store vinduespartier. Man træder ind i særskilt entre med videre adgang til to gode værelser. Fra entreen finder man husets store opholdsrum med lyst køkken samt god plads til spisebord. Her er ligeledes mulighed for indretning af hyggeligt sofahjørne. Fra alrummet finder man særskilt bryggers med vask samt plads til vaskemaskine og tørretumbler, herfra finder man et stort moderne badeværelse. Ydermere forefindes soveværelse med indbygget skabsvæg. Fra stue er udgang til terrasse i hele husets bredde samt dejlig have.

Pigernes kvarter vil bestå af 144 energioptimeret og moderne dobbelthuse i størrelsen 85 m², 95 m², 105 m² og 115 m² – alle i et plan tegnet i en moderne og enkel streg.

Til hvert hus hører redskabsrum og stor flisebelagt terrasse på begge sider af huset samt flisebelagt gangsti til entreen.

Murede facader og gavle af morderne grålig mursten med brune nuancer og sort sadeltag med 25 graders hældning. Stern af træ i farven antracit og mindre hvidmalet udhæng af træ.

Husene monteres med moderne træ/alu vinduer og døre (Auraplus 3-lags vinduer) i mørk farve udvendig og hvid indvendig. Sålbænke under vinduespartierne i mørk skifer.

Husenes materialevalg er gennemtænkt og harmonisk, så husene vil fremstå smuk, tidløs og velholdt i mange år fremover.

Åbne og lyse dobbelthuse

Alle dobbelthuse indrettes lyse og venlige, med hvide glatte lofter og vægge. Dejlige vinduer for ekstra godt lysindfald overalt. Gulve af egeplank (laminat) i køkken/alrum, stue og værelser. Entre, bryggers, badeværelse og brus udføres med lækre klinkegulve i mørkegrå. Alle døre i glat hvid finish med rustfri stålgreb og uden dørtrin for optimal betjening. Vindueskarme mures og vandskures i hvid. Vægge mod gulv afsluttes med hvide glatte fodpaneler.

Fine detaljer overalt

Køkken, bad, bryggers og soveværelse monteres med moderne HTH-moduler i glat hvid afslutning og med antracit line greb. Bordplader i praktisk laminat i farven ’rustik skifer’ med rummelige stålvaske. Stænkplade bag kogepladen, for nem rengøring. Vask i badeværelse af formstøbt materiale. Væghængt toilet fra Ifö Sign, kvalitetsarmaturer fra tyske Hans Grohe og linjeafløb i bruseniche.

Kvalitetshvidevarer

Alle hvidevarer medfølger og i anerkendt kvalitet. Ovn er indbygget i højskab.

Der medfølger ligeledes vaskemaskine og kondenstørretumbler.

Fast og god belysning

Der er etableret lyskilde i bad og bryggers, samt ved ventilation på loft. I køkken er der spot i overskabene.

Forberedt for el-bil

Der er forberedt tomrør til ladestation for el-køretøj.

Sundt indeklima og gulvvarme

Der er gulvvarme i hele dobbelthuset. Dette styres via separate termostater i alle rum. Boligen er udført med ventilationsanlæg, der sikrer et sundt og godt indeklima.

Individuelle forbrugsmålere

Forbrug til el, varme, vand og spildevand afregnes direkte mellem lejer og forsyningsselskaberne. Opvarmning via fjernvarme.

Udvendig monteres der stikkontakt og vandhane samt væglampe ved entredør.

Illustrationer er modelfotos. Der tages forbehold for rettelser.",https://www.boligportal.dk/r%C3%A6kkehuse/give/105m2-4-vaer-id-5369244
"Vesterløkke, 6091 Bjert",8.100 kr.,1.300 kr.,181 m²,6,-,Hus,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Centralt beliggende hus på 181 kvm. Husleje er incl. vand. Bolig i 2 plan med dejlig terrasse med delvis træterrasse. Stueplan: bryggers/baggang, badeværelse, entre med garderobe og opgang til 1. sal, nyere køkken, 3 stuer og udgang til terrasse, forgang. 1. sal med 3 værelser, soveværelse samt toilet. Tilhørende carport og lille have.
Aconto varme 1300,- pr. md. El aconto pr. md. 650,- 

Mulighed for leje af kontor/butikslokale i forbindelse med boligen",https://www.boligportal.dk/huse/bjert/181m2-6-vaer-id-5257719
"Sandvejsbanken, 4220 Korsør  - 1. sal",7.500 kr.,500 kr.,128 m²,4,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,D,"Sandvejsbanken, 1. sal, 4 vær, spise køkken med køle/fryseskab, komfur, emhætte, opvaskemaskine, bryggers, badeværelse med brusekabine og installation til vaskemaskine, hyggelig opholdsstue, spisestue, stort soveværelse med klædeskabsrum, carport, udhus og fælles have, egen fjernvarme.
Oplyst aconto er kun for vand.

For fremvisning, kontakt os venligst via boligportal",https://www.boligportal.dk/lejligheder/kors%C3%B8r/128m2-4-vaer-id-5134060
"Blovstrød Alle, 3450 Allerød",16.995 kr.,490 kr.,130 m²,3,-,Rækkehus,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Nej,N/A,"Dette rækkehus har terrasse samt havestykke vendt mod syd samt et havestykke og terrasse mod vest, hvilket giver et fantastisk lysindfald. 

Boligen indeholder entre som giver dig adgang til boligens ene badeværelse, som er beklædt med grå fliser samt vaskemaskine. Endvidere finder du boligens samlingspunkt, nemlig det store opholdsrum som vender ud mod den syd vendte have samt terrasse. 
Stueetagen giver god mulighed for at etablere spise samt tv - stue. Køkkenet er et hvidt grebsløs Svane køkken med sort bordplade, samt Siemens hårde hvidevarer. På 1. sal har du 2 gode soveværelser med højskab på hjul, så du nemt kan indrette dig, samt et lyst badeværelse med et hvidt Svane baderumsmøbel. 

Rækkehusene har forskellige planløsninger og varierer fra 112 - 152 kvm og er alle i 2 plan samt har de udgang til mindre have.",https://www.boligportal.dk/r%C3%A6kkehuse/aller%C3%B8d/130m2-3-vaer-id-4529224
"Løvehjertevej, 8600 Silkeborg",9.950 kr.,0 kr.,103 m²,4,-,Rækkehus,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,A,"Boligerne består af 1-plan og er opført i et moderne og minimalistisk design, med et minimum af vedligehold.

Boligen består af et lyst bryggers med skabsplads og vask, derudover klargjort til vaskesøjle. Boligen er indrettet med 3 soveværelser med faste skabe i alle værelser. Stort køkken-alrum med lyst HTH køkken i åben forbindelse med stue og entre. Herfra er der udgang til privat terrasse, der er anlagt på begge sider af boligen med afskærmning mod naboer.

Boligen har 1 badeværelser 1 toilet med indbygningsspots. Der er i boligen etableret ventilationsanlæg med varmegenvinding ligesom der er etableret Fibernet som er monteret og klargjort ved indflytning.

Til boligen hører 6 m2 skur og der er anlagt minimum 2 parkeringspladser til boligen hvoraf den ene er under egen carport.

Der medfølger følgende hvidevarer: Ovn, Køle/frys, opvaskemaskine, kogeplade og emhætte.

Husdyr kræver tilladelse fra udlejer.

Huslejen er eksklusiv forbrug, som afregnes direkte med de enkelte udbydere på baggrund af boligens separate målere.",https://www.boligportal.dk/r%C3%A6kkehuse/silkeborg/103m2-4-vaer-id-5362483
"Dybdalhegnet, 8960 Randers, Randers SØ",8.995 kr.,N/A,95 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,N/A,"Velindrettet rækkehus på Dybdalhegnet i Assentoft ved Randers.Huset er på 95 kvmog indeholder: Entre, badeværelse med bruser samt mulighed for egen vaskemaskine, stue og køkken i et. Soveværelse med faste skabe samt 2 gode værelser. Køkkenet er i hvide elementer og er med køle/frys, ovn, kogeplader, emhætte og opvaskemaskine. Til lejemålet er der skur, terrasse ,egen have og parkerings muligheder.

Det er tilladt at holde 1 stk. hund på max 35 kg eller under 40 cm i højden(med forbehold) ingen katte.

Området:

Assentoft er en by i Østjylland med 3.541 indbyggere. Byen ligger otte kilometer øst for Randers, og er en del af Randers Kommune i Region Midtjylland.",https://www.boligportal.dk/r%C3%A6kkehuse/randers/95m2-4-vaer-id-5376287
"Stenskovvej, 4684 Holmegaard",9.400 kr.,500 kr.,101 m²,4,-,Rækkehus,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ja,B,"Indflytningsklart 2 plans ende-rækkehus fra 2010. 101 kvm, 4 værelser med overtagelse 1/10 2023. Leje 9400,- ex. forbrug.
Huset indeholder i stueplan entre, bad med vaskesøjle, 1 værelse, køkken alrum med udgang til baghave. På førstesalen er der repos, toilet og 2 værelser. Alle værelser er med lyse trægulve. 
Der er for- og baghave, begge med terrasse samt et skur i baghave. 
Husdyr og rygning er ikke tilladt.

Aconto vand: 500 kr./mdr.
Varme: afregnes direkte til udbyder. Opvarmes ved fjernvarme.
El: afregnes direkte til udbyder
Depositum: 3 måneders husleje
Forudbetalt leje: 1 måneders leje

Fælles parkeringsplads, 200 m til Stenskovven, 1,3 km til Fensmark Brugs. 

Fremvises efter aftale.",https://www.boligportal.dk/r%C3%A6kkehuse/holmegaard/101m2-4-vaer-id-5094659
