Type,Name,Longitude,Latitude
Schools,Hvidovre Gymnasium & HF,12.45272366666666666666666667,55.62867338333333333333333333
Schools,Store Magleby Skole,12.63767212727272727272727273,55.59520087272727272727272727
Schools,Løjtegårdsskolen,12.61956990588235294117647059,55.62373585882352941176470588
Schools,Nordregårdsskolen,12.60099632,55.6376384
Schools,Tårnby Gymnasium,12.60437808,55.63809552
Schools,Brøndbyøster Skole,12.44754758,55.66139418
Schools,Gasværksvejens Skole,12.55707052173913043478260870,55.66993057391304347826086957
Schools,Heerup Skole,12.50917310909090909090909091,55.69242596363636363636363636
Schools,Rødkilde Skole,12.5076013,55.69716286666666666666666667
Schools,Bakkegårdsskolen,12.52569536470588235294117647,55.74689482941176470588235294
Schools,Karinedals Skole,12.49740703571428571428571429,55.69079313571428571428571429
Schools,Tre Falke Skolen,12.49778454444444444444444444,55.68005848888888888888888889
Schools,Blaagaards Seminarium,12.47691838333333333333333333,55.72306204166666666666666667
Schools,Brønshøj Gamle Skole,12.49816378,55.70342296
Schools,Utterslev Skole,12.51948690909090909090909091,55.71124027272727272727272727
Schools,Ørestad Skole,12.58146000576923076923076923,55.63110666923076923076923077
Schools,Sundbyøster Skole,12.61411086,55.651665884
Schools,Amager Lille Skole,12.61717995,55.65143061
Schools,Skelgårdsskolen,12.58728480540540540540540541,55.60516316216216216216216216
Schools,Københavns Åbne Gymnasium,12.524063725,55.65503785
Schools,Kofoeds Skole,12.61773005882352941176470588,55.66688626470588235294117647
Schools,Hanssted Skole,12.48671369166666666666666667,55.66588843333333333333333333
Schools,Ålholm Skole,12.49498371428571428571428571,55.67009925714285714285714286
Schools,Falkonergården Gymnasium og HF-Kursus,12.49528309285714285714285714,55.68130017142857142857142857
Schools,Søndermarkskolen,12.50262728,55.67440221
Schools,Lykkebo Skole,12.48478399285714285714285714,55.66011261428571428571428571
Schools,Damhusengens Skole,12.4803005,55.68615804666666666666666667
Schools,Vanløse Privatskole,12.48771544,55.68222338
Schools,Randersgades Skole,12.58088342222222222222222222,55.70579422222222222222222222
Schools,Billedskolen i Tvillingehallen,12.56336752820512820512820513,55.66827755641025641025641026
Schools,Blågårds Skole,12.55057917692307692307692308,55.68769427692307692307692308
Schools,Peder Lykke Skolen,12.59821624918032786885245902,55.65539968852459016393442623
Schools,Avedøre Skole,12.45589442666666666666666667,55.63228931333333333333333333
Schools,Øster Farimagsgade Skole,12.57786438571428571428571429,55.69259543571428571428571429
Schools,Heibergskolen,12.58184817692307692307692308,55.70298123076923076923076923
Schools,Den Classenske Legatskole,12.57577244,55.67288032
Schools,St. Petri Skole,12.56946467222222222222222222,55.67970222222222222222222222
Schools,DIA Privatskole,12.56164585,55.6902782
Schools,Lycée Français Prins Henrik,12.54834353529411764705882353,55.67406468235294117647058824
Schools,Frejaskolen,12.51546275333333333333333333,55.66504551333333333333333333
Schools,Valhøj Skole,12.45060513846153846153846154,55.67682901538461538461538462
Schools,Frederiksgård Skole,12.53892835333333333333333333,55.69663056666666666666666667
Schools,Freinetskolen,12.506205048,55.665914928
Schools,Skolen på Grundtvigsvej,12.53932615909090909090909091,55.67815352272727272727272727
Schools,Brønshøj Skole,12.49509455714285714285714286,55.70364998571428571428571429
Schools,Gladsaxe Skole,12.469665555,55.74514923
Schools,Gladsaxe Ungdomsskole,12.48561003076923076923076923,55.73543897692307692307692308
Schools,Buddinge Skole,12.504032465,55.74095523
Schools,Grønnemoseskolen,12.49977583333333333333333333,55.7314895
Schools,UCN 10. klasseskolen,12.4421288,55.66907067272727272727272727
Schools,Bjørns Internationale Skole,12.5586849,55.72173406666666666666666667
Schools,Ryparken Lille Skole,12.5582397,55.72150338
Schools,Gungehusskolen,12.46820497142857142857142857,55.6430718
Schools,Aurehøj Gymnasium,12.54528437,55.74574204
Schools,Rygaards Skole,12.55661505,55.73049784583333333333333333
Schools,Øregård Gymnasium,12.56719992727272727272727273,55.73810570909090909090909091
Schools,Tranegårdskolen,12.56714103,55.73908257
Schools,Tove Ditlevsens Skole,12.54516162727272727272727273,55.66626131818181818181818182
Schools,Skolen i Sydhavnen,12.5532061,55.6507088
Schools,Skovgårdsskolen,12.57051025,55.76607867142857142857142857
Schools,Frederiksberg Privatskole,12.45891213684210526315789474,55.67641639473684210526315789
Schools,Skolen på Islands Brygge,12.58274084761904761904761905,55.66226736984126984126984127
Schools,Valby Skole,12.50829413888888888888888889,55.66483268333333333333333333
Schools,Vigerslev Allés Skole,12.50760461428571428571428571,55.6623453
Schools,Sortedamskolens skolegård,12.57736761428571428571428571,55.69757454285714285714285714
Schools,Sortedamskolen indskolingshuset,12.57387178,55.69705734
Schools,Kirkebjerg Skole,12.48366156363636363636363636,55.69557326363636363636363636
Schools,Vidar Skolen,12.531480325,55.7537178125
Schools,Sankt Annæ Gymnasium,12.5242219375,55.6564582875
Schools,AHI International School,12.487062925,55.6877088875
Schools,"Glostrup Skole, afd. Skovvang",12.41424736,55.6839594
Schools,Amager Privatskole,12.59968028,55.62515708
Schools,Engstrandskolen,12.48026148571428571428571429,55.62631877142857142857142857
Schools,Holbergskolen,12.52982468181818181818181818,55.72431032727272727272727273
Schools,Præstemoseskolen,12.46598634666666666666666667,55.65460776
Schools,Holmegårdsskolen,12.47073878235294117647058824,55.66163806470588235294117647
Schools,Skolen Ved Sundet,12.62800905,55.65276960833333333333333333
Schools,Bellahøj Skole,12.50938298333333333333333333,55.70396894166666666666666667
Schools,Tingbjerg Skole,12.48541031428571428571428571,55.71865302857142857142857143
Schools,Nørre Gymnasium,12.47134033,55.71828225
Schools,Hendriksholm Skole,12.45743847857142857142857143,55.66905105714285714285714286
Schools,Naturcenter Amager Strand,12.6378805,55.66320233
Schools,Højdevangens Skole,12.60384102,55.64656758
Schools,Kalvebod Fælled Skole,12.57017414666666666666666667,55.62388293333333333333333333
