Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Storegade, 6100 Haderslev  - 2. sal",Haderslev,Storegade,6100,55.25191,9.481587,6.245 kr.,1.150 kr.,74 m²,2,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Lejligheden er beliggende kun få hundrede meter fra Haderslev gågade og få meter fra Damparken. 

Lejligheden er nyistandsat og består af fordelergang, dejligt køkken med mindre spiseplads, lys stue og skøn udsigt til Haderslev Dam, badeværelse med brus og tilslutning til VM og TT, samt rummeligt soveværelse. 

Der er fælles parkering i gården og fælles have med adgang til Damparken",https://www.boligportal.dk/lejligheder/haderslev/74m2-2-vaer-id-4744426
"Gartnervej, 4270 Høng, Løve",Høng,Gartnervej,4270,55.485607,11.296496,10.800 kr.,500 kr.,108 m²,3,-,Hus,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,A,"Nu har du muligheden for at overtage dette lækre lejemål. 
4 værelser fordelt på 3 værelser, køkken stue ud i et, bryggers samt et rimeligt badeværelse. 

Egen have og dobbelt carport med skur. 

10 min kørsel fra Slagelse, 2min fra Høng og 20 min fra Kalundborg.",https://www.boligportal.dk/huse/h%C3%B8ng/108m2-3-vaer-id-5376537
"Bysøstræde, 4300 Holbæk  - 1. sal",Holbæk,Bysøstræde,4300,55.717546,11.710737,9.900 kr.,1.500 kr.,123 m²,4,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"I centrum af Holbæk udlejes 123 kvm. lys og moderne lejlighed.

Indeholder: 2 sammenhængende stuer, 2 værelser, nyere køkken/alrum og nyere badeværelse.

Der er mulighed for leje af parkeringsplads på ejendommen.

Lejligheden er ikke delevenlig. 

Telefonnr. bedes oplyst ved henvendelse.",https://www.boligportal.dk/lejligheder/holb%C3%A6k/123m2-4-vaer-id-5363771
"Vesterbro, 9000 Aalborg, Aalborg  - 1. sal",Aalborg,Vesterbro,9000,57.044464,9.912478,5.372 kr.,500 kr.,70 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Flot 2-værelses lejlighed på Vesterbro udlejes. 

Med en beliggenhed på Vesterbro er du tæt på flere grønne arealer bl.a. Kildeparken og Skulpturparken. Derudover er kort afstand fra lejligheden til masser af forskellige indkøbsmuligheder. Lejligheden ligger derudover tæt på gode busforbindelser og Aalborg Station. 

Lejligheden har et dejligt køkken med opvaskemaskine, fint badeværelse, samt en stue og et værelse.  

Lejemålet overtages som beset.",https://www.boligportal.dk/lejligheder/aalborg/70m2-2-vaer-id-5366887
"Falstersgade, 7000 Fredericia  - Stuen",Fredericia,Falstersgade,7000,55.56125,9.764804,4.500 kr.,700 kr.,54 m²,2,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ja,F,Pæn 2 vær lejlighed indenfor Volden nær Østerstrand,https://www.boligportal.dk/lejligheder/fredericia/54m2-2-vaer-id-5376046
"Schleppegrellsgade, 9000 Aalborg, Aalborg  - 4. sal",Aalborg,Schleppegrellsgade,9000,57.053806,9.901696,4.840 kr.,600 kr.,51 m²,2,4.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"** VEDLÆG MOBILNUMMER SAMMEN MED DIN HENVENDELSE **

Rigtig hyggelig 2 værelses lejlighed på Schleppegrellsgade i Aalborg V. 
Tæt ved lystbådehavnen, indkøb, Aalborg streetfood, transport og meget mere.

Lys stue og soveværelse med pænt pergogulv.

Pænt køkken med ovn, emhætte og køle-fryseskab.

Lille badeværelse med bruseniche.

I kælderen er der et depotrum samt fælles brugerbetalt vaskeri.

Husdyr ikke tilladt.
Rygning i lejemålet ikke tilladt.",https://www.boligportal.dk/lejligheder/aalborg/51m2-2-vaer-id-3705835
"Storegade, 6200 Aabenraa  - 1. sal",Aabenraa,Storegade,6200,55.04346,9.418739,6.295 kr.,1.000 kr.,86 m²,3,1.,Lejlighed,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Ja,C,"Nu udbydes denne renoverede lejlighed på støget i Aabenraa. Lejligheden har næsten nyt HTH køkken med alle hvidevarer, og nyt badeværelse med gulvvarme, bruseniche og plads til vaskemaskine og tørretumbler. Stuen er i åben forbindelse med køkkenet, og dertil hører to gode værelser. Lejligheden har nye matlakerede trægulve i bedste kvalitet. Vil du bo centralt i byen i fine rammer, er dette lejligheden for dig. Er klar til indflytning.",https://www.boligportal.dk/lejligheder/aabenraa/86m2-3-vaer-id-4602914
"Samsøvej, 6000 Kolding, Drejens",Kolding,Samsøvej,6000,55.505766,9.556789,10.200 kr.,N/A,92 m²,4,-,Hus,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,A,"Lys og moderne fritliggende bolig, med entré og bryggers i ét, med plads til vaskemaskine og tørretumbler. Fra entréen træder man ind i boligens moderne køkkenalrum & rummelige stue i ét. Herfra kan man tilgå boligens store soveværelse, de to ekstra værelser samt det moderne badeværelse. Fra stuen er der udgang til boligens overdækket terrasse, og derudover udgang fra køkkenet til boligens lille foranliggende terrasse.

Bebyggelserne består af 87 energivenlige moderne rækkehuse/lejligheder i størrelsen 85 til 165m² – I et til tre plan, tegnet i en moderne og enkel streg. Rækkehusene er opdelt på hhv. Farøvej, Samsøvej & Langøvej.

Til hvert hus tilhører enten p-plads eller carport, samt cykelparkering og et lille skur. Arealet foran husene er flisebelagt, således at det er let tilgængeligt og har niveaufri adgang. Udvendigt er rækkehusene opført i en moderne stil, med enten røde, brune, grå eller gule nuancer. Indvendigt er husene ligeledes også opført i en moderne stil, med stort og moderne køkken og badeværelse.

Husene er beliggende på lukkede vænger, hvorfor der er begrænset med trafik, og børn kan derfor trygt slippes løs og finde legekammerater i området. Hunden kan ligeledes luftes på de grønne fællesarealer i området.

Åbne og lyse huse

Alle husene er indrettet lyse og venlige, med hvide glatte lofter og vægge. Store oplukkelige vinduer for ekstra godt lysindfald overalt. Fælles opholdsrum (køkken/alrum/stue) indrettes med store vinduespartier på flere sider for maksimalt lysindfald. Gulve af egeplank (laminat) i køkken/alrum, stue og værelser. Bryggers/entre og badeværelse og brus udføres med lækre klinkegulve i grå nuancer. Alle døre i glat hvid finish med rustfri stålgreb og uden dørtrin for optimal betjening. Vægge mod gulv afsluttes med hvide glatte fodpaneler.

Fine detaljer overalt

Boligens badeværelse er udført i moderne stil. Køkken, bad, bryggers og soveværelse monteres med moderne moduler i glat hvid afslutning. Vask i badeværelse af formstøbt materiale med kvalitetsarmaturer og stort spejl.

Kvalitetshvidevarer

Alle hvidevarer medfølger i anerkendt kvalitet herunder køl/frys, opvaskemaskine, kogeplade med induktionsteknologi, emhætte og indbygningsovn. Der medfølger ligeledes vaskemaskine og tørretumbler.

Sundt indeklima

Boligen er udført med ventilationsanlæg, der sikrer et sundt og godt indeklima.

Individuelle forbrugsmålere

Forbrug til varme, el og vand afregnes direkte mellem lejer og forsyningsselskaberne. Opvarmning via fjernvarme.

Illustrationer er modelfotos. Der tages forbehold for rettelser.",https://www.boligportal.dk/huse/kolding/92m2-4-vaer-id-5358334
"Spurvevej, 9550 Mariager, Assens",Mariager,Spurvevej,9550,56.676795,10.050985,5.895 kr.,700 kr.,110 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,N/A,"Lejemålet er beliggende på Spurvevej og består af 4 værelser samt køkken og bad. Lejemålet er 110 m2 og er klar til overtagelse snarest. Månedlig husleje er 5895 kr. og indskud beløber sig til 22400 kr. 

Send en besked, hvis lejemålet har fanget din interesse.
For at kunne leje denne bolig, kræver det man er medlem af boligforeningen. På BoligPortal annonceres kun reelt ledige boliger uden eksisterende venteliste på annonceringstidspunktet. Venligst kontakt udlejer hvis du er interesseret i lejemålet.",https://www.boligportal.dk/r%C3%A6kkehuse/mariager/110m2-4-vaer-id-3871145
"Klokkerbakken, 8210 Aarhus, Aarhus V  - 1. sal",Aarhus,Klokkerbakken,8210,56.166403,10.160749,8.900 kr.,800 kr.,73 m²,3,1.,Lejlighed,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,N/A,"Lej nu og få gratis parkering i hele 2023.

I Haslehus flytter bydes du på moderne boliger der varierer i størrelser fra 57-118 kvm., varierende fra 2-4 værelses, så du altid kan finde en bolig, der passer netop dine behov. Alle lejligheder er indrettet med entré, stort lyst køkken/alrum med køkken fra Designa og alle hårde hvidevarer, samt stort badeværelse med separat bruseniche samt vaskemaskine og tørretumbler. Alle boligerne har egne private altaner, hvor du ugenert kan nyde solen. Derudover har du som lejer i Haslehus adgang til fælles stor tagterrasse, hvor du kan nyde den fantastiske udsigt over Aarhus. Til lejlighederne hører depotrum og der er mulighed for at leje parkeringspladser på terræn i det fri, eller i aflåst kælder. 
Når du bor i Haslehus har du en attraktiv beliggenhed med kort afstand til Aarhus C. Der er cykelafstand til Aarhus Universitet (2,6 km) og Handelshøjskolen (1,6 km.), ligesom erhvervsområdet og Skejby Sygehus (2,5 km.) blot er få km. fra ejendommen. Her er desuden gode muligheder for at anvende offentlig transport i hele Aarhus fra området omkring Hasle Torv, hvor man også har flere gode indkøbsmuligheder. 

BEMÆRK at billederne muligvis kommer fra prøveboligen.",https://www.boligportal.dk/lejligheder/aarhus/73m2-3-vaer-id-5373763
"Andrupsgade, 7620 Lemvig  - 3. sal",Lemvig,Andrupsgade,7620,56.549759,8.307081,3.525 kr.,350 kr.,44 m²,1,3.,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Nej,E,"Velholdt ejendom med flot trappeopgang og eget depotrum.

Beliggende på gågaden, så du har livet i byen, indkøb og havnen lige uden for din dør. 

Lejligheden indeholder.:
Rummelig flisebelagt entré,  stue, værelse, badeværelse og køkken. Der er udgang til egen stor tagterrasse fra køkkenet

Fotos og plantegning er vejledende.

Bemærk, at huslejen er inklusiv vandforbrug og eget depotrum

Lejevilkår:

•	3 måneders depositum
•	Ubegrænset lejeperiode
•	Lejemålet er uopsigeligt de første 12 måneder. Herefter kan lejemålet opsiges med 3 måneders varsel
•	Husdyrhold er ikke tilladt
•	Lejer tilmelder sig som aftager af EL på adressen",https://www.boligportal.dk/lejligheder/lemvig/44m2-1-vaer-id-5079866
"Rindsvej, 8920 Randers, Randers NV  - 1. sal",Randers,Rindsvej,8920,56.47427,10.019064,3.950 kr.,300 kr.,53 m²,2,1.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,C,"Bemærk at leje er inklusiv udgift til vand.
Så husleje reelt KUN 3650kr

Lejligheden består af en lille gang med garderobeskab.
Hvidt ældre badeværelse med badekar og plads til topbetjent vaskemaskine.
Lille nyere køkken, med komfur og stort kølefryseskab, og plads til lille opvaskemaskine.
I åben forbindelse med god stue, hvor der er plads til et stort spisebord til 6-8 Pers og en stor hjørnesofa.
Lille fint soveværelse med plads til dobbeltseng og med god plads til skabsvæg eller kontorplads.
Stor lækker ugeneret altan på 8 m2 med skøn udsigt.
Lejligheden ligger i flotte og rolige omgivelser med gratis og gode parkeringsmuligheder.

Mulighed for mindre husdyr kan aftales, da ejerforeningen tillader en hund eller kat i ejendommen.
Lejligheden overtages nymalet.
Månedligleje er inklusiv vandforbrug.",https://www.boligportal.dk/lejligheder/randers/53m2-2-vaer-id-5375580
"Lindegårdsvej, 9900 Frederikshavn  - 1. sal",Frederikshavn,Lindegårdsvej,9900,57.447063,10.522766,4.434 kr.,1.311 kr.,92 m²,4,1.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,N/A,"Beboersammensætningen er en skøn blanding af børne- familier, unge mennesker og seniorer, hvilket giver en god alsidig og dynamik i hverdagen. 
Området har mange grønne oaser,legepladser til de mindste og en driftig afdelingsbestyrelse, som sørger for et væld af aktiviteter for alle aldre. Der er aktiviteter i løbet af året, som afdelingsbestyrelsen informerer om i beboperbladet samt ved opslag. 
Beboerne har adgang til 2 gildesale og mulighed for at leje garager, og der findes gæsteværelser, som beboerne kan leje ved at henvende sig til afdelingsbestyrelsen. 
Afdelingen består af 538 boliger, hvoraf langt de fleste er i etagebyggeri, men et mindre antal er rækkehuse. Afdelingen er løbende renoveret. Over de seneste 10 år er en stor del af både køkkener og badeværelser blevet udskiftet. vinduer og tage er udskiftet næsten alle steder, mens resten vil ske inden for de kommende år.
For at kunne leje denne bolig, kræver det man er medlem af boligforeningen. På BoligPortal annonceres kun reelt ledige boliger uden eksisterende venteliste på annonceringstidspunktet. Venligst kontakt udlejer hvis du er interesseret i lejemålet.",https://www.boligportal.dk/lejligheder/frederikshavn/92m2-4-vaer-id-5291398
"Willemoesgade, 6700 Esbjerg, Esbjerg  - 1. sal",Esbjerg,Willemoesgade,6700,55.469682,8.437906,7.850 kr.,500 kr.,86 m²,3,1.,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Nej,C,"Esbjerg midtby.
Centralt beliggende 3 værelses, 1 sals lejlighed,
i en lille bevaringsværdig ejendom i Willemoesgade.
Lejligheden ligger nær bymidten i rolig hyggelig gade.
300-400 meter til indkøb, fitness og gågade.
Helt ny altan og fri adgang til ny vaskemaskine og tørretumbler i vaskekælder, kun til brug for denne lejlighed. 
Gårdmiljø med have møbler, beliggende solvendt mod vest.
Rumfordelingen gør lejligheden velegnet som evt. Delelejlighed.
Mulighed for at leje P-plads i gården.
1 mindre husdyr kan tillades.
Kælderrum.
Inkluderet i prisen er, trappevask, koldt vand, og brug af privat vaskemaskine og tørretumbler, i vaskekælderen.",https://www.boligportal.dk/lejligheder/esbjerg/86m2-3-vaer-id-4606567
"Hovedgaden Vest, 6500 Vojens, Over Jerstal  - 1. sal",Vojens,Hovedgaden Vest,6500,55.197224,9.297681,4.800 kr.,1.100 kr.,94 m²,3,1.,Lejlighed,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,C,"For fremvisning, reservation eller øvrige spørgsmål kan vi kontaktes på tlf. eller ved at sende en besked her på boligportalen. Telefonerne er åben alle hverdage mellem kl. 10-16.

Der kan laves en 3 mdr. betalingsordning på depositummet såfremt at man ikke står registreret i RKI.

Fin stor lejlighed til udlejning med egen indgang i hjertet af Vojens, tæt på indkøb og by. Lejligheden er udstyret med en stor stue, spisekøkken, og 2  gode værelser. 1 af værelserne er gennemgående og kan benyttes til en ekstra stue eller kontor. Ejendommen har en stor indkørsel til parkering af biler samt et grønt fællesareal til benyttelse af beboerne. 

Lejemålet vil blive istandsat og være indflytningsklar inden indflytningsdatoen (maling og rengjort).",https://www.boligportal.dk/lejligheder/vojens/94m2-3-vaer-id-5363183
