Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Arresøvej, 8240 Aarhus, Risskov  - 2. sal",5.700 kr.,800 kr.,37 m²,1,2.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,N/A,"Tag del I fællesskabet

De moderne lejeboliger fordeler sig på 33-107 m2 og med 1-4 værelser. Variationen i boligerne og den gennemgående funktionelle indretning betyder, at der med garanti er en bolig, der matcher dine behov og dit sted i livet.Arresøhave henvender sig til dig, der er studerende, eller som lige har fundet din vej ud på arbejdsmarkedet. Det er både til dig, der er single, eller er en del af et boligsøgende par.Et hjem i rolige omgivelser med kort vej til altingI Risskov får du det bedste af alle verdener. Et bymiljø, der indbyder til ro og socialt nærvær med dine nærmeste – med kort vej til rekreative, grønne oaser og et dyp i havet. Alt sammen blot få kilometer fra Aarhus C.",https://www.boligportal.dk/lejligheder/aarhus/37m2-1-vaer-id-5317127
"Tallerupvej, 5690 Tommerup, Tommerup St  - Stuen",5.000 kr.,575 kr.,58 m²,2,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ja,D,"Nyrenoveret 2 værelses stuelejlighed på hovedgaden i Tommerup St. udlejes. 

Lejligheden indeholder stort og rummeligt køkkenalrum, med alt i nye hårde hvidevarer; kølefryseskab, opvaskemaskine, induktionskogeplade, ovn og emhætte. 
Alrummet er i åben forbindelse med stue og entré, der leder til både soveværelse og badeværelse. Badeværelset er ligeledes også nyt med lys i spejl og stor rainshower i bruser. 

I ejendommen er indlagt fibernet og til lejemålet er også dørtelefon.

Til lejligheden hører et stort opbevaringsrum i kælderen, hvor der også er adgang til fælles vaskeri med nye vaske/tørremaskiner. Derudover er der til ejendommen en stor ugeneret have, der deles med ejendommens 4 øvrige beboere. 

Der er mulighed for gratis parkering direkte ved ejendommen.

5 minutters gang fra ejendommen ligger togstationen, hvor man kan komme til Odense banegård på blot 8 minutter.",https://www.boligportal.dk/lejligheder/tommerup/58m2-2-vaer-id-5236443
"Løvehjertevej, 8600 Silkeborg",10.950 kr.,0 kr.,130 m²,5,-,Rækkehus,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,A,"Fantastiske kvalitetsboliger i Balle Kirkeby. Vi tilbyder et 2 etagers rækkehus i et moderne og minimalistisk design.

Beliggende i et roligt og fredeligt område i Balle Kirkeby, er vores boliger placeret kun en kort afstand fra skoler, institutioner, indkøbsmuligheder og motorvejen. Derudover er der stisystemer til en stor, nyanlagt legeplads og et udendørsområde med svævebane, bålhytte og meget mere, som giver dig og din familie mulighed for at nyde fritiden og samtidig have det sjovt og trygt.

Vores boliger er opført i to etager, hvor stueplanet byder på en rummelig og lys entré med adgang til et lækkert HTH-køkken. Køkkenet er åbent forbundet med stuen, så du kan lave mad og samtidig være sammen med din familie og gæster. Fra stuen har du direkte adgang til en privat terrasse og have, som er afskærmet med hegn på begge sider.

I stueplan finder du også et badeværelse med bruseniche og mulighed for at tilslutte vaskesøjle. På første sal finder du fire store soveværelser med indbyggede garderobeskabe og et badeværelse med bruseniche og indbygningsspots. 

Der er også et ventilationsanlæg med varmegenvinding og Fibernet installeret i hver bolig.

Hver bolig inkluderer et 6 m2 skur med carport og minimum to parkeringspladser, hvoraf den ene er under carport. 

Følgende hvidevarer er inkluderet, såsom ovn, køle/frys, opvaskemaskine, kogeplade og emhætte.

Bemærk venligst, at husdyr kræver tilladelse fra udlejer, og huslejen er eksklusiv forbrug, som afregnes direkte med de enkelte udbydere baseret på boligens separate målere.

Kontakt os for mere information eller en rundvisning i en af vores smukke boliger i Balle Kirkeby.",https://www.boligportal.dk/r%C3%A6kkehuse/silkeborg/130m2-5-vaer-id-5348321
"Mekanikvej, 2605 København, Brøndby  - Stuen",14.900 kr.,1.400 kr.,124 m²,4,Stuen,Rækkehus,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,A,"Lejeboliger i Brøndby!
Hjemlig hygge
Uanset hvor du befinder dig i boligen, er lyset, planløsninger og materialerne med til at give dig den hjemlige hygge, som danner rammen om familielivet og er forudsætningen for den livskvalitet, som boligen bringer.
Uderum til alle
Ens for alle boliger er, at altaner udgør det ekstra uderum, som giver mulighed for en kølig morgenbrise eller brunch under himlen i det sene forår og hele sommeren.
Forskellige størrelser
Lige så varieret som arkitekturen i boligen er og lige så forskellige behov som de mange familier, der flytter ind i kvarteret, måtte have, byder boligerne på varierende størrelser og planløsninger.
Der er de muligheder, som den moderne familie, det unge par og de livsglade seniorer efterspørger.
Du finder alt fra 2-4-værelses boliger.
Parkeringsmuligheder
Det er muligt at leje en parkeringsplads til din bil og der bliver også opsat, så du kan lade din elbil via abonnement.
Kommer du på cykel kan du benytte en af de mange klargjorte pladser (også til ladcykler).
Det med småt
Det er ikke tilladt at stå i RKI.
Husdyr skal godkendes af udlejer.
Bemærk, at billedmaterialet ikke nødvendigvis stammer fra den pågældende bolig.
Er du interesseret i boligen?.",https://www.boligportal.dk/r%C3%A6kkehuse/k%C3%B8benhavn/124m2-4-vaer-id-5330620
"Rosenhøj Allé, 8260 Aarhus, Viby J",9.615 kr.,1.679 kr.,106 m²,3,-,Rækkehus,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,A,"Blot 6 km. syd for Århus – og med ”eget” Letbanestop – ligger dette rækkehus, der er opført i 2016.
Rækkehuset ligger i smukke omgivelser i Nyt Rosenhøj. Det er opført i gedigne og karakterfulde materialer både ude og inde.
Til boligen er der både en lille privat have og en altan. Fra haven er der udgang til en fælles gårdhave med mulighed for ophold og småbørnsleg. Der er adgang til mange aktiviteter i området – multibane, svævebane, fodboldgolf m.v.
Der er ikke egen/fast parkeringsplads til boligen, men der er mulighed for gratis parkering i umiddelbar nærhed.
Rækkehuset overholder energirammen for bygningsklasse 2020, hvorfor det bl.a. er opført med ekstra isolering og 3-lags lavenergiruder. Der er mekanisk ventilation med varmegenvinding.
Lejer skal selv medbringe køl/fryse skab, der er vaskekælder i området. Der er forberedt til vaskemaskine på badeværelset.",https://www.boligportal.dk/r%C3%A6kkehuse/aarhus/106m2-3-vaer-id-5339928
"Isefjords Alle, 4300 Holbæk  - 2. sal",14.298 kr.,1.488 kr.,130 m²,4,2.,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,A,"Lejeboliger med suveræn beliggenhed ved vandet

Bygningen er opført i fem etager med parkering i stueetagen. Boligerne fordeler sig fra 1. sal og op til 5. sal, og de nederste boliger har udgang til en grøn taghave med både fælles og private terrasser. De naturlige nuancer er gennemgående i Østbryggen; det ses både i taghaven, på de rødbrune teglfacader og indendørs.

Oplev de eksklusive detaljer i lejlighederne

Indretningen er gennemtænkt med stilrene og enkle elementer, du finder overalt i lejligheden med blandt andet HTH inventar og hårde hvidevarer fra Siemens. Værelserne er rummelige, og der er rig mulighed for at sætte dit eget præg i hjemmet. Gulve og vægge er i lyse nuancer, og der er selvfølgelig gulvvarme, elevator og dørtelefon i bygningen.

Udsigt over Holbæk Fjord

Den forskudte facade gør, at alle lejlighedernes rum er lyse og indbydende med store vinduespartier. Nyd også udelivet på de store solrige østvendte altaner. Herfra er der skøn udsigt over by og fjord, og perfekte rammer til et godt liv i Holbæk.",https://www.boligportal.dk/lejligheder/holb%C3%A6k/130m2-4-vaer-id-5368689
"Emma Gads Vej, 2300 København, København S  - 3. sal",16.700 kr.,1.100 kr.,105 m²,4,3.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,A,"Velkommen til boligen
BEMÆRK VENLIGST:
Ejendom med butikker og lejligheder boligen er tegnet af Praksis Arkitekter og er kendetegnet ved sin lyse teglkonstruktion med forskellige stentyper, som skaber spil i facaderne og giver bygningen sit eget unikke udtryk. I byggeriets stueetage finder du butikker, cafeer samt bydelens kultur- og beboerhus, mens resten af ejendommen indeholder private boliger.
Lyse og moderne boliger Fra 1. sal består boligen består af 2-4-værelses lejligheder. I alle boliger er der taget udgangspunkt i at sikre gode dagslysforhold og fleksible indretningsmuligheder til de primære opholdsrum. Materialerne i boligerne er lyse, og køkkenet er hvidt og moderne fra Invita.
Indbydende gårdrum Midt i boligen er der skabt et stort grønt gårdrum med plads til ophold og leg. Gårdrummet får tæt beplantning med forskellige græsser, buske og træer og i den nordøstlige del placeres en legeplads med omkringliggende bænke. Midt i gårdrummet er der mulighed for at aflevere sit affald i affaldsstandere, som omkranses af en pergola med klatreplanter.
Husdyr: Kan ansøges
*Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende lejlighed, og at udsigt m.v. derfor kan variere.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/105m2-4-vaer-id-5347126
"Gyngemosevej, 2820 København, Gentofte  - 2. sal",13.100 kr.,825 kr.,75 m²,3,2.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,A,"OBS - Billederne er fra vores prøvelejlighed fra Etape 1, hvorfor de ikke nødvendigvis er retvisende for nærværende lejlighed. Der tages forbehold for ændringer i såvel arealer som indretning.

Project Radio ligger på Gyngemose Parkvej 92 i Søborg, som husede DR fra 1963 til 2007. Over de seneste år er den tidligere TV-Byen blevet omdannet til et attraktivt og livligt boligområde.
Mere end 1.000 nye moderne boliger, erhverv, butikker, privathospital og store, grønne arealer pryder området. 

I de nye suveræne lejeboliger i 1 eller 2 plan er der plads til mindre og større børnefamilier. Boligerne varierer mellem 2-5 værelser og 49-112 m2, så du kan finde en lejlighed, der passer til dig og din families behov.

Træd ind og føl dig hjemme på de mat lakerede trægulve, der står i kontrast til det rå betonloft med et sandblæst udtryk og de hvide vægge, der sætter stilen i din nye bolig. Kontrasten mellem det lyse og lette gulv og det rå, hårde betonloft bringer en dynamisk indretning til live, så boligen emmer af moderne nordisk design.

Dine nye over- og underskabe fra HTH har en slidstærk, lysegrå lakering, der ligesom dit badeværelse bliver let at holde rent. I overskabene er der installeret LED-spots, der oplyser den flotte bordplade af massiv eg.
De rene linjer spiller nydeligt sammen med indbygningsskabe til køle-/ fryseskab, ovn, emhætte og opvaskemaskine. Armaturet er fra Oras Saga, der er et brugervenligt, robust og alsidigt armatur i moderne, nordisk design.
Dine hårde hvidevarer er af mærket Vestfrost, som leverer køle-/fryseskab, opvaskemaskine, ovn og induktionskogeplade med 4 sektioner.

Badeværelset er i tråd med den høje kvalitet, som kendetegner boligen. På gulv og i bruseniche er der matte, mørkegrå klinker, der elegant spiller sammen med de tilsvarende fliser på væggene. Det væghængte og vandsparende toilet med soft luk fra Villeroy & Boch har indbygningscisterne.
Den flotte keramiske håndvask er placeret over stilrene Dansani-skabe med glatte, hvide overflader, der er lette for dig at vedligeholde. Der medfølger også en vaskesøjle med vaskemaskine og tørretumbler fra Vestfrost. Armaturer i håndvask og bruseniche er fra Grohe.

Project Radio byder på mange skønne fællesfaciliteter, som hele familien kan benytte sig af. Her kan børnene hygge sig, ligesom du kan invitere til børnefødselsdage med aktiviteter og spil.
De mange fællesområder inde og ude byder på fremragende faciliteter som f.eks. læsesal, vaskeri og fitnessrum, som du har adgang til alle ugens dage. Her kan du fordybe dig, klare det praktiske og holde formen ved lige – og efterfølgende trække dig tilbage i dit nye hjem.

Familieboligerne i Project Radio ligger i naturskønne omgivelser på grænsen til København, hvorfra du hurtigt kan ramme en supercykelsti. Området er yderst børnevenligt, og inden for få hundrede meter finder du bl.a. daginstitutionerne Solstrålen, Månestrålen og Mosen samt Mørkhøj Skole, Enghavegård Skole og Tingbjerg Skole.
Der er også offentlige transportmuligheder i nærheden med buslinjer, Husum St. samt den kommende letbanestation på Dynamovej. Har du bil, kommer du hurtigt ud på Hillerødmotorvejen. Området i Gyngemose Park er et livligt miljø med kontorerhverv og boligejendomme, der er omgivet af store, grønne fællesarealer. Her finder du også butikker til de daglige indkøb. I den lokale idrætshal Gyngemosehallen og i Blågård Svømmehal kan du og børnene få sved på panden.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/75m2-3-vaer-id-5375955
"Jyllandsgade, 7000 Fredericia  - 3. sal",7.630 kr.,950 kr.,80 m²,3,3.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"på Axeltorv, beliggende på 3. sal med skråvægge.
Stue og køkken ud i ét og 2 værelser.
Pænt badeværelse med vaskemaskine og tørretumbler og køkkenet har opvaskemaskine.",https://www.boligportal.dk/lejligheder/fredericia/80m2-3-vaer-id-3958484
"Vanløse Torv, 2720 København, Vanløse  - 3. sal",16.600 kr.,1.200 kr.,119 m²,4,3.,Rækkehus,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,A,"Kronen Shoppingcenter er centralt placeret i Vanløse og på toppen findes 118 moderne boliger med udsigt, en usædvanlig ro og grønne gårdhaver. Boligerne fås i alle størrelser, lige fra rækkehuset til den store børnefamilie og studios til den yngre generation. Boligerne er placeret i klynger der skaber rum for naboskab og et aktivt liv for børnene og beboerne. Alle boliger har velindrettede planløsninger hvor udsigten og lyset er i centrum. Her er store vinduespartier, pæne parketgulve, lyse HTH-køkkener og rummelige badeværelser. Flere af boligerne har terrasse eller altan. Boligerne varierer i størrelse fra 1 – 5 værelser og nogle boliger er i flere plan. Som beboer i Tagkronen har du en helt enestående mulighed for at bo top centralt med Metro og S-tog lige foran døren og alligevel i rolige og grønne omgivelser. Med et bredt udvalg af butikker i underetagen og private boliger med udsigt på toppen, bliver det ikke nemmere for dig der har en aktiv hverdag og nyder at slappe af i hjemmelige rammer efter dagens gøremål.",https://www.boligportal.dk/r%C3%A6kkehuse/k%C3%B8benhavn/119m2-4-vaer-id-5371613
