Type,Name,Longitude,Latitude
Beaches,n/a,12.2418697,57.1085543
Beaches,Fyns Nordligste Punkt,10.3007019,55.6227199
Beaches,Djursnæs,11.8545308,55.9450952
Beaches,FKK,13.4197429,54.5788756
Beaches,Sibirien stranden,12.8142196,56.2369066
Beaches,Fyns Sydligste Punkt,10.5164440,55.0265954
Beaches,Älmeshultabadet,14.8612410,57.7131631
Beaches,Ellenbogenspitze,8.4639548,55.0459475
Beaches,Ålabodarnas strand,12.7809636,55.9379594
Beaches,Holmens Camping,9.7608350,56.0767228
Beaches,FKK-Strand,10.0310218,54.6464350
Beaches,Rosenholm Bådelaug,10.3952930,56.2925721
Beaches,Bøgehoved,10.0373535,55.7349882
Beaches,Vätterstranden,14.1891229,57.7821713
Beaches,FKK Strand Niedamm / Golsmaas,9.9740342,54.7603305
Beaches,Skullarydsbadet,14.9190638,57.7584431
Beaches,Strandübergang #36,8.3118227,54.9319311
Beaches,Strandübergang #35,8.3139212,54.9348872
Beaches,Strandübergang #34,8.3147742,54.9371770
Beaches,Strandübergang #33,8.3167697,54.9398056
Beaches,Strandübergang #32,8.3189101,54.9429733
Beaches,Strandübergang #31,8.3203166,54.9455611
Beaches,Hundbad Vårhallen,14.3344801,55.5802205
Beaches,Balgö Brygga,12.2104929,57.1685709
Beaches,Rånnavägsbadplats,13.4900590,57.6756338
Beaches,Svanebäcksstranden,12.5646262,56.1595625
Beaches,Badplats Färåstjärn,12.0285450,57.6111534
Beaches,Stora skärsvägen Nyhamnsläge,12.5352512,56.2353705
Beaches,Bryggan Nyhamnsläge,12.5355012,56.2399520
Beaches,Rumpen,10.70993580555555555555555556,55.93180051111111111111111111
Beaches,Kyholm,10.67083601304347826086956522,55.93178081739130434782608696
Beaches,Lindholm,10.69515165277777777777777778,55.92749261388888888888888889
Beaches,Hjelm,10.80059507647058823529411765,56.13328691764705882352941176
Beaches,Hunseby Strand,11.54370003636363636363636364,54.8281902
Beaches,Nybølle Strand,11.24469865,54.95747965
Beaches,Ostseebad,9.430278478846153846153846154,54.81245779038461538461538462
Beaches,Weidefelder Strand,10.03152417073170731707317073,54.64904301951219512195121951
Beaches,Nordstrand,10.66765944347826086956521739,55.45927487608695652173913043
Beaches,Sydstranden,10.66746766176470588235294118,55.44781841764705882352941176
Beaches,Bellevue Strand,12.59252446296296296296296296,55.77757486666666666666666667
Beaches,Vedbæk Sydstrand,12.57214272083333333333333333,55.84744911666666666666666667
Beaches,Dragør Sydstrand,12.66564680487804878048780488,55.58308898536585365853658537
Beaches,Hellerup Strand,12.58224718095238095238095238,55.73305801904761904761904762
Beaches,Kastrup Søbad,12.64819288846153846153846154,55.64576498846153846153846154
Beaches,Vallensbæk Strand - Brøndby Strand,12.42035596764705882352941176,55.61267975
Beaches,Hundige Strand - Ishøj Strand,12.38450735,55.602521875
Beaches,Olsbæk Strand,12.33818003913043478260869565,55.58760779130434782608695652
Beaches,Ølsemagle Revle,12.20977002727272727272727273,55.49611475909090909090909091
Beaches,Furesøbad,12.385892625,55.80350953125
Beaches,Jersie Strand,12.22309579375,55.5212981625
Beaches,Henne Strand,8.169525267857142857142857143,55.73365387142857142857142857
Beaches,Badestelle Lüttmoorsiel,8.870676716666666666666666667,54.56108520833333333333333333
Beaches,Skanörs norra revel nakenbad,12.84095938627450980392156863,55.43159604607843137254901961
Beaches,Enø Strand,11.65045651190476190476190476,55.17224904285714285714285714
Beaches,Strand Sandwig,9.530988191891891891891891892,54.84228383243243243243243243
Beaches,Klinten strand,10.25553108275862068965517241,55.08750896896551724137931034
Beaches,Karlas Plads,10.61657846666666666666666667,55.0494811
Beaches,Vindebyøre strand,10.63079235555555555555555556,55.05520804722222222222222222
Beaches,Skrånbjerg,8.4415191,55.43742286086956521739130435
