Type,Name,Latitude,Longitude
Beaches,Bøgeskov strand,55.625529275,9.752655618333332
Beaches,Ærøskøbing Strand,54.89909908867925,10.403739107547167
Beaches,Liseleje Strand,56.01321541089744,11.958445767948715
Beaches,Gummistranden,56.043739151851845,12.607891403703704
Beaches,Luisenbad,54.51116175,9.558905008333332
Beaches,Trössedal Badplats,57.43641644285714,13.262981642857142
Beaches,Almenäs,57.761992944,12.939636696
Beaches,Den Sorte Strand,54.89736551463415,9.799397968292682
Beaches,Åhus Strand,55.940436,14.322518862962962
Beaches,Väbynäs Badplats,56.1593877,15.132957345454544
Beaches,Den gule strand,54.9046603875,9.7859052
Beaches,Adela Udde,57.6428444,14.7016301375
Beaches,Kniepsand,54.6577957175,8.346017928214286
Beaches,Haväng,55.718449863207546,14.199434868867923
Beaches,Dragør Strand,55.58786658823529,12.675339158823528
Beaches,Rødvig Strand - Krostranden,55.25462391451613,12.385310887096773
Beaches,Gråstensvej Strand,55.98487966511628,11.883688788372092
Beaches,Trekanten,55.967570753846154,11.846984823076925
Beaches,Dybbøl Strand,54.90449005384615,9.779599676923077
Beaches,Fria Bad,56.058073184,12.680948308
Beaches,Tropical Beach,56.04425142666666,12.686674646666667
Beaches,Tinkarpsbadet,56.07450958333333,12.665824711111112
Beaches,Pålsjöbaden,56.06493811470588,12.677103297058824
Beaches,Vikingstrand,56.07140851571429,12.669328004285713
Beaches,Hullehavn Strand,55.13108257058824,15.152490223529412
Beaches,Rungsted Strand,55.88259048571429,12.546220285714284
Beaches,Vemmetofte Strand,55.237237425,12.24292380625
Beaches,Rødvig Sand Strand,55.25343839166666,12.368345375
Beaches,Bøgeskov Strand,55.36960071052632,12.41222334736842
Beaches,Magleby Strand,55.39823556571429,12.344200914285715
Beaches,Strøby Ladeplads Strand,55.40072118644068,12.32114600338983
Beaches,Køge Sydstrand,55.448161735,12.19834958
Beaches,Skodsborg Strand - Struckmannparken,55.8304023,12.574682357377048
Beaches,Stranden ved Lokeshøj,55.83899178695652,12.574405473913044
Beaches,Babylone Strand,55.97558884901961,12.547310825490197
Beaches,Bjerre Strand,55.957401366666666,12.537112455555556
Beaches,Stranden ved Ida Tesdorpfs Vej,55.9608606,12.540135371428573
Beaches,Snekkersten Strand,56.005368975,12.580718381578947
Beaches,Julebæk Strand,56.05977443023256,12.574593920930232
Beaches,Stranden ved Hornbæk Plantage,56.09165261538462,12.488525147435896
Beaches,Dronningmølle Strand,56.100323670370365,12.393026448148149
Beaches,Gilleleje Strand,56.1284232,12.305846895
Beaches,Stængehus Strand,56.03962352727273,12.02645146060606
Beaches,Stængehus - Melby Strand,56.025396472,11.994777864
Beaches,Tisvildeleje Strand,56.05434442441861,12.054174097674418
Beaches,Strand,55.75346500833333,11.849085958333331
Beaches,Vigen Strandpark,55.6737067,12.076707746666665
Beaches,Ejby Strand,55.69596699285714,11.837243171428572
Beaches,Herslev Strand,55.677780175,11.9864763
Beaches,Borrevejle Strandpark,55.65429179285714,11.938535142857141
Beaches,Kisserup Strand,55.79310445769231,11.72446913076923
Beaches,Gudmindrup Strand,55.896509096385536,11.52567960120482
Beaches,Tengslemark Strand,55.92036473076923,11.525499515384617
Beaches,Lumsaas Sønderstrand,55.925408315384615,11.523558684615384
Beaches,Vesterlyng Strand,55.73668232307692,11.278699812820513
Beaches,Strand Hagab,54.56938902,9.76431954
Beaches,Flickornas badplats,57.19865484,14.34105526
Beaches,Orlunden Beach,56.25242184285714,14.619965314285714
Beaches,Lomudden,57.37274746071429,14.279877403571428
Beaches,Flansbæk Strand,55.62551927391304,9.795472534782608
Beaches,Helnæs Strand,55.13307524363636,10.041701769090908
Beaches,Marbæk Strandpark,55.819315823333326,12.065570206666665
Beaches,Skolestranden,55.98853375625,12.5578342875
Beaches,Bäckerstrand,54.50635203333333,9.600324444444444
Beaches,Hesnæs_Strand,54.81401076666666,12.129048704761905
Beaches,Strandänges Badplats,56.06761215,14.453349372222222
Beaches,Kallebyer Strand,54.80609853529412,9.729559164705881
Beaches,Badesee Wanderup,54.70286983571429,9.355398614285713
Beaches,Flyvesandet,55.621126317910445,10.297460520895521
Beaches,Kobæk Strand,55.26003768301887,11.244466983018867
Beaches,Badestelle Gunneby,54.57546112,9.7769906
Beaches,Rågångsnabben,56.033994390909086,14.5579496
Beaches,Bogens Strand,56.20963411029412,10.57812551617647
Beaches,Trylleskoven strand,55.55049328,12.248949806666666
Beaches,Solrød Strand,55.53897575789473,12.236320331578948
Beaches,Knud Strand,55.319433254032255,9.639558025
Beaches,Kidholme,55.51176542152778,9.594500794444444
