Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Vestergade, 6040 Egtved  - 1. sal",Egtved,Vestergade,6040,55.616127,9.306134,5.200 kr.,800 kr.,81 m²,2,1.,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,C,"Gang-Soveværelse-stue-badeværelse og køkkenalrum med plads til spisebord. Lille altan. 

Mulighed for vaskemaskine i badeværelset (eller kælder hvis det ønskes). Der er opvaskemaskine i køkkenet.

Der er nyt køkken og badeværelse. Nye gulve i gang-stue-køkken og soveværelse. Ligger centralt med busholdeplads lige uden for døren til Kolding-Billund og Vejle. 

Der er profiber i lejlighed som lejer kan overtage. 

Aconto er  Varme-vand. 

Husdyr er kun tilladt efter aftale ! 

Udlejes til rolig lejer. 

For at kunne leje en af vores lejligheder, må man ikke stå registeret i RKI- og debitorregister, som dårlig betaler.",https://www.boligportal.dk/lejligheder/egtved/81m2-2-vaer-id-3953196
"Jens Baggesens Gade, 4220 Korsør  - 2. sal",Korsør,Jens Baggesens Gade,4220,55.328066,11.141835,7.450 kr.,1.000 kr.,86 m²,3,2.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,D,"På den bedste beliggenhed i Korsør ligger denne flotte lejlighed i halvandet plan med udsigt over byens tage fra den privat tagterrasse. Ligeledes er der brugsret til haven med husets to andre beboere.

Selve lejligheden blev totalt istandsat for nogle år siden og byder på et stort køkkenalrum i åben forbindelse med stuen og gangen, som skaber en fantastisk pladsfølelse. Herudover er der et badeværelse og to soveværelser, foruden en stor hems der kan bruges som et tredje værelse.

Der er desuden egne vaskefaciliteter og opvaskemaskine.",https://www.boligportal.dk/lejligheder/kors%C3%B8r/86m2-3-vaer-id-5000299
"Arresøvej, 8240 Aarhus, Risskov  - 2. sal",Aarhus,Arresøvej,8240,56.20274,10.234978,8.300 kr.,1.100 kr.,63 m²,3,2.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,N/A,"Tag del I fællesskabet

De moderne lejeboliger fordeler sig på 33-107 m2 og med 1-4 værelser. Variationen i boligerne og den gennemgående funktionelle indretning betyder, at der med garanti er en bolig, der matcher dine behov og dit sted i livet.Arresøhave henvender sig til dig, der er studerende, eller som lige har fundet din vej ud på arbejdsmarkedet. Det er både til dig, der er single, eller er en del af et boligsøgende par.Et hjem i rolige omgivelser med kort vej til altingI Risskov får du det bedste af alle verdener. Et bymiljø, der indbyder til ro og socialt nærvær med dine nærmeste – med kort vej til rekreative, grønne oaser og et dyp i havet. Alt sammen blot få kilometer fra Aarhus C.",https://www.boligportal.dk/lejligheder/aarhus/63m2-3-vaer-id-5317076
"Vilhelm Ehlerts Alle, 8800 Viborg  - 1. sal",Viborg,Vilhelm Ehlerts Alle,8800,56.447324,9.390657,7.700 kr.,0 kr.,79 m²,3,1.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,A,"Type E-75-3-2  
Skøn energivenlig treværelses lejlighed med lyst og åbent køkken-alum med direkte udgang til en hyggelig altan. Stort soveværelse, dejligt værelse, bad i tidløst design og praktisk entré.

Fra entréen træder du ind i lejlighedens køkken-alrum. Rummet indbyder til at invitere gæster over til brætspil og god mad, der kan nydes enten ved stue- eller spisebordsområdet. I lejeboligen har du nemlig fin plads til både spisebord, sofa og TV-møbel.

Boligens lyse soveværelse inkluderer to faste garderobeskabe, som sikrer dig masser af opbevaringsplads. Lejlighedens andet værelse er placeret i modsatte ende af soveværelset, hvilket gør det oplagt til både kontor, hobbyrum eller måske gæsteværelse.

Med direkte adgang fra køkken-alrummet finder du badeværelset, som er opført med enkle og tidløse kvalitetsmaterialer. Her kan vasketøjet nemt klares, da du både har egen vaskemaskine og tørretumbler.

Fra stuen kan du træde direkte ud på lejlighedens altan, hvor du kan nyde de lange, lyse sommeraftener. Her kan du glæde dig over plads til cafesæt, dekorative planter eller krukker med velsmagende krydderurter.

Den energivenlige bolig har gulvvarme i alle rum og ventilationsanlæg for et bedre indeklima.
Forbruget betales direkte til forsyningsselskaberne.

Elevator i hver opgang, gratis p-plads, cykelparkering og depotrum i kælderen.

Husdyr er tilladt efter aftale.

Billeder og illustrationer er vejledende.",https://www.boligportal.dk/lejligheder/viborg/79m2-3-vaer-id-5369040
"Niels Brocks Gade, 8900 Randers, Randers C  - 2. sal",Randers,Niels Brocks Gade,8900,56.462193,10.045194,7.970 kr.,1.068 kr.,97 m²,3,2.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,N/A,"Stor 3. Værelses lejlighed på 97 m2, beliggende på 2 sal i Randers centrum. Med til lejemålet hører komfur, emhætte og der er forberedt til installation af vaskemaskine. Der er altan, samt fælles tagterrasse.
Der er fuld hårde hvidevarer pakke i lejemålet.

Husdyr er tilladt.",https://www.boligportal.dk/lejligheder/randers/97m2-3-vaer-id-4569715
"Kirkebjerg Parkvej, 2605 København, Brøndby  - 2. sal",København,Kirkebjerg Parkvej,2605,55.657001,12.39624,10.915 kr.,995 kr.,74 m²,3,2.,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,N/A,"156 lejeboliger fordelt på 2-, 3- eller 4-værelses lejligheder. 

Den nyligt opførte rødstensejendom præsenterer sig flot i nabolaget med store vinduespartier, grå detaljer og glasafskærmede altaner, der har en behagelig afstand imellem sig. Alle lejligheder fremstår med regulære værelser, lyse stuer, pæne køkkener og rummelige badeværelser, og når først gårdhavemiljøet er færdiganlagt, får I endnu flere udendørsarealer til rådighed. 

I bosætter jer i et nyetableret kvarter, hvorfra I får korte afstande til alle hverdagens fornødenheder - og det gælder alt fra skolefaciliteter, dagtilbud og indkøbsmuligheder, som tæller både Rema1000, SuperBrugsen, Lidl og Netto. Glostrup Station er ligeledes inden for nær rækkevidde, og her kan I komme til Indre By med S-toget på cirka 20 minutter. Det er derfor ganske nemt at pendle til og fra Indre By, hvilket gør denne adresse ekstra attraktiv. I kommer ligeledes hurtigt til Høje Taastrup, hvorfra regionaltogene fører jer videre rundt på Sjælland. Derudover tager det under fem minutter i bil at komme på motorvejsnettet

Der er 94 parkeringspladser i parkeringskælderen + 62 parkeringspladser i terræn. En parkeringsplads kan lejes for 300 dkk pr. måned i terræn og 350 dkk i parkeringskælderen. Der opsættes tilmed 2 el-lade standere, således at der kan oplades 4 elbiler ad gangen. 

Alle hårde hvidevarer der forefindes i prøveboligen medfølger i alle lejlighederne.

Der er Stofa fibernet og boligerne opvarmes med fjernvarme.

Lejlighederne kan reserveres ved at deltage på åbent hus. Vi holder åbent hus ca. én gang om ugen indtil alt er udlejet. 

Ønsker du at deltage i det åbne hus, så kan du sende en besked via annoncen og modtage en invitation til det næstkommende åbne hus. 

Indflytningsprisen skal betales umiddelbart efter modtagelsen af lejekontrakten. 

Det vil ikke være muligt at besigtige andre boliger end prøveboligen inden indflytning og det er under ingen omstændigheder tilladt at opholde sig på byggepladsen uden en invitation til åbent hus. 

Billeder, plantegning og tekst er vejledende. 

Hvis du er registreret i RKI kan vi desværre ikke tilbyde dig lejligheden. Dette kontrolleres ved udarbejdelse af lejekontrakt.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/74m2-3-vaer-id-5349233
"Gadelandet, 2700 København, Brønshøj  - 3. sal",København,Gadelandet,2700,55.711466,12.479679,13.600 kr.,1.350 kr.,93 m²,4,3.,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,A,"Boliger til singler, par og familier
361 nye boliger
En unik og spændende ny bæredygtig bydel med et stort potentiale. Projektet er en omdannelse og revitalisering af et gammelt industrikvarter til et levende og mangfoldigt beboelses- og erhvervsområde.
Bebyggelsen indeholder 361 nyopførte boliger med en stor variation af indretning. Der er 170 1-værelses Micro Living boliger, som er velegnet til singler og studerende. Derudover er der 167 familiebolig/delevenlige boliger med 2- til 5 værelser. Langs gårdhavens midterstrøg er der 24 rækkehuse, hvoraf 12 af dem er i to plan.
Boligerne er centralt placeret i bydelen ved Husum Torv med ­mangfoldige indkøbsmuligheder og tæt på offentlig transport og skole. Tæt på ligger Utterslev Mose, et fantastisk rekreativt område med sø og natur, samt Vestvolden, som er en 17 km lang rekreativ cykel- og gårute fra Utterslev Mose til Brøndby Havn.
Derudover:
- Energivenlig
- Delevenlig
- Elevator i bygningen
- Kælderrum
- Cykelparkering
- Det er muligt at leje en p-plads i kælderen
- Ét husdyr er tilladt
- Det er ikke tilladt at stå i RKI
Bemærk, at billedmaterialet ikke stammer fra den pågældende bolig.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/93m2-4-vaer-id-5370622
"Smedevænget , 8830 Tjele, Vorning",Tjele,Smedevænget ,8830,56.52567,9.729673,6.800 kr.,0 kr.,134 m²,5,-,Hus,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Din og velholdt hus udlejes eller sælges.
Der er monteret hent ny Panasonic luft til vand varmepumpe.
Lækker stor have.
Fin garage med redskabsrum.

Alt henvendelse kun på tlf 
Mail besvares ikke.",https://www.boligportal.dk/huse/tjele/134m2-5-vaer-id-5313459
"Hvidkløvervænget, 2625 København, Vallensbæk",København,Hvidkløvervænget,2625,55.655,12.362262,17.500 kr.,0 kr.,132 m²,5,-,Rækkehus,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,N/A,"I et dejligt kvarter i Vallensbæk udlejer vi 61 rækkehuse. Boligerne kaldes Hollænderhusene og henviser til boligernes unikke arkitektur, som er inspireret af Amsterdams flotte kanalhuse. Disse er bl.a. kendetegnet ved stor variation i boligernes facade og taghældning. Der er tale om 4- og 5-værelses rækkehuse i varierende størrelse på 114-138 m2. Alle rækkehuse er i to plan.

 

INDE:

Boligerne er opført i materialer af høj kvalitet og er alle udstyret med lyse Invita-køkkener, hårde hvidevarer fra Siemens og trægulve i ahorn. Træder du ind af hoveddøren, møder du i stueetagen en entré, køkken- og opholdsstue i ét samt et gæstetoilet. På første sal finder du husets dejlige badeværelse, hvor brusekabinen er opført med ”rainshower”, der skruer op for følelsen af luksus. På 1. sal findes desuden tre eller fire separate værelser afhængig af husets størrelse. 

UDE:
Hvert rækkehus har egen have og terrasse. Til hver bolig findes desuden et skur til opbevaring.

HÅRDE HVIDEVARER:
Boligerne er etableret med en fuld hvidevarepakke fra Siemens. 

PARKERING:
Der er parkering foran hver bolig med plads til to biler. Derudover finder du også gæsteparkeringspladser i området.

HUSDYR:
Katte: Lejere kan ansøge om tilladelse til at holde én indekat på adressen. Udekatte er ikke tilladt.
Hunde: Lejere kan ansøge om tilladelse til at holde hund. 
Andre dyr: Kontakt os for vores samlede husdyrsregler. 

FÆLLESAREALER:
Mellem boligerne er der anlagt grønne arealer, som skaber rammerne om hyggelige stunder blandt beboerne – unge som ældre.",https://www.boligportal.dk/r%C3%A6kkehuse/k%C3%B8benhavn/132m2-5-vaer-id-5342094
"Englandsgade, 6700 Esbjerg, Esbjerg  - 1. sal",Esbjerg,Englandsgade,6700,55.467015,8.454474,7.500 kr.,1.000 kr.,81 m²,3,1.,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Ja,N/A,"Velindrettet 3-værelses bolig i Esbjerg
Boligen inkluderer entré, badeværelse, gang, køkken, stue, soveværelse samt et værelse.
Lejligheden er installeret HTH inventar, opvaskemaskine, køl-fryseskab, ovn, induktions kogeplade, vaskemaskine samt tørretumbler.
Laminat gulve i røget eg og betonfarvede keramiske fliser på WC-badegulve og vægge i brusenichen.
Mulighed for leje af fast parkeringsplads.",https://www.boligportal.dk/lejligheder/esbjerg/81m2-3-vaer-id-4954162
