Monthly rent,Aconto,Square meters,Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,PostalCode_1000-2999,PostalCode_2000-3999,PostalCode_3000-4999,PostalCode_4000-5999,PostalCode_5000-6999,PostalCode_6000-7999,PostalCode_7000-8999,PostalCode_8000-9999,PostalCode_9000-10999,Distance to Transport Station (km),Distance to Beach (km),Distance to School (km),Distance to Restaurant (km),Distance to Hospital (km),Distance to Mall (km)
6055.0,1140.0,88.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.79002840662737,3.66721354964737,0.1192604316063755,0.1908771142222394,1.357665192962776,2.5274544821291345
16829.0,1100.0,74.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.2671147296495574,3.046197919834399,0.0474698928089161,0.0388695408630836,1.881988846499396,0.3856228938623723
6076.0,200.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,3.78764609137472,13.286904888829564,0.7881950226296778,0.462625021981085,2.578312605866908,2.5106421811645983
6150.0,1800.0,113.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,12.019149329132832,8.8702792785373,0.4854294305279268,0.0652806967212397,2.81148164920598,29.42395516977807
9200.0,400.0,62.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1.640627343250179,8.592684571447254,0.2019167925288981,0.6557042879353394,3.796753705343504,1.7244456963266233
3700.0,700.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,8.709322245622198,24.975622110558582,4.112418453190979,8.080133513134365,8.029805019368075,8.289981032128326
5900.0,600.0,73.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,12.360277640223677,17.880663156953734,0.2593992096378454,0.1626960213787868,16.861129876467636,13.259420634881694
3977.0,509.0,84.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0.8353449779580105,42.07486520412634,0.2868542195552594,0.7540138617859512,30.6875622754119,3.325650827496564
4800.0,600.0,75.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0.2421448411344267,20.502961673640986,0.6561973529711146,0.0315357115268065,13.25140857034974,12.698143921749413
11995.0,0.0,137.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,3.1993604002691898,1.230418633063708,1.2683371749182015,0.4214219142083241,3.6155203573394337,22.886926724159
2950.0,1000.0,65.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,12.9867699907689,19.36999228393626,2.2162803218705416,1.4609143628442989,21.796733223394803,22.39184324378624
7000.0,0.0,108.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0.7798202212446748,23.8582780720243,0.3237200923313824,0.4607802570195433,1.788931494372992,19.16261059841861
9850.0,1100.0,99.0,4.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1.262168034788575,1.7500286189452954,1.285557373822641,0.298949368882458,1.7874724490497838,4.234280520914631
11440.0,1000.0,93.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1.6136163794876308,8.432507934062555,0.4660793558607405,0.6434153682226726,3.717070936439493,1.6109401087260364
8700.0,400.0,70.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1.4347720913267572,10.643244435998318,0.4982648095191632,1.3109550922362885,2.074832479595706,1.2860432140784026
4658.0,700.0,53.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1.4221314654821202,44.87823599890508,0.9526018741087332,0.2023198187277282,1.6338048415254258,0.7880399139717735
6400.0,450.0,89.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0.2008605166397304,45.1993586919933,0.3689239616282619,0.2722989355177126,0.4459588446920998,1.1387187939317436
5850.0,250.0,60.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,3.687922362332413,4.17035788744479,0.4275757663875626,0.9070430478887236,1.0014284844110928,3.623274490577345
12400.0,1000.0,98.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0.0978265680814181,11.372078915222524,0.59467317543552,0.1687772470694494,6.882083794061922,4.969544118146392
4000.0,600.0,60.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1.0511589764662577,1.5877028731959708,0.8354700566947173,0.2535486917688097,0.376368802437651,22.45768523055825
5128.0,650.0,80.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,1.307823338784914,44.4197741254784,0.5262450049717426,0.5917655233067539,1.7022975851862847,0.9153404807463804
7750.0,500.0,72.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1,1.5417122232741594,43.44138899140222,0.5685870318326112,0.5130279044960133,2.167735565081869,1.631691071523863
9295.0,350.0,121.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,3.410518568828296,3.632197107880471,0.4185976572012265,3.385949000819824,4.083631965532319,30.93135229500541
11050.0,800.0,63.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0.6249943970887145,4.127549490490132,0.7593394680276486,0.1712038372531947,3.139107464635116,1.6181431141675646
5000.0,1000.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1.0626656093822056,33.87642857121885,0.8028479778548415,0.2133013027900276,0.2823738255751998,0.6243844365588519
12900.0,1000.0,100.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0.0233251370806245,0.6953667236043852,0.7309781664167416,0.3064124872361519,21.319955649376592,21.533702036644947
5285.0,992.0,70.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.2804809980587822,22.113692842817954,0.1927540223098909,0.5003108148509138,1.3149509021110235,1.2390036416481052
5495.0,1050.0,63.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1.0672720089435428,23.397452487913643,0.1374254333491446,0.5905006823254648,2.041676850009935,18.751966243664743
4000.0,400.0,72.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.2391030755654305,45.39575068311541,0.1702707386458419,0.0685001535073879,0.7131742478805051,1.086225547568803
7500.0,500.0,39.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.5183761727902289,3.948442297780738,0.2907931874302487,0.0712121630803766,2.6834169230751272,1.1193743923955215
4800.0,700.0,75.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.2256437586928003,2.6463305346620487,0.4208065174298739,0.0254792456968095,12.671960010770036,12.799606885575038
4945.0,500.0,38.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1.5920826521239444,44.96602837887224,1.083300367123418,0.3186922916920996,1.7819561014376175,0.9384463223991588
6200.0,1000.0,78.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,12.337255124574147,8.553229362246995,0.2230595823705723,0.2817861968328262,2.918008021675873,29.7456154395644
5900.0,0.0,66.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,13.058430308355756,12.492303026284205,3.004082204380743,5.556456125179774,10.102287756858155,12.83547664512318
5236.0,630.0,85.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0.7844852884377406,12.882002916508483,0.3795596091385954,1.0472803010295653,27.180398048896603,1.038757176305071
12360.0,1470.0,95.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0.4352664400833221,2.756498049533382,0.64520989231547,0.3874143780570377,3.1131537430080285,2.200779419436273
