Latitude,Longitude
55.393856,10.394185
56.300211,10.477949
57.05739,9.936155
55.721333,12.556324
56.199538,10.198303
56.46599,10.034878
55.973541,10.145876
55.465056,8.456541
56.204861,9.015997
55.24391,9.299112
55.871169,9.839791
55.399701,10.389513
55.130128,9.131757
55.425215,9.285583
55.253774,9.501007
54.911939,9.794497
56.196107,8.772983
55.044687,9.418649
55.400721,10.39272
55.76517,9.692598
55.49132,9.469015
55.681471,12.574214
56.185439,10.126467
55.249473,9.488304
56.14938,10.166026
56.499693,9.503079
57.162633,9.72964
55.751674,8.928588
56.69364,9.492536
56.13785,9.565094
56.970023,9.277769
55.867855,9.846178
55.485657,9.498978
56.149784,10.171438
56.179073,10.199313
57.046424,9.93932
57.051328,9.907304
56.116617,10.206425
55.648132,12.195966
56.635773,9.793054
57.042346,9.938284
57.033678,9.935609
56.175321,9.493281
55.617429,12.566277
56.449946,9.414883
56.122423,12.308948
56.463763,10.018442
55.871924,9.844803
57.053233,9.904568
55.655805,12.503371
54.921043,9.593732
57.047023,9.941917
55.24665,9.49034
55.254785,10.670994
56.367767,8.608495
55.627195,12.38814
57.051082,9.912914
55.717769,12.437481
56.188416,10.186281
55.502855,9.37728
56.450169,9.39994
55.464847,8.462831
55.664888,12.622322
57.042627,9.91921
57.044613,9.917159
57.047344,9.922277
55.404561,10.37256
56.56913,9.016078
57.03495,9.93351
56.464816,10.02691
55.468434,8.455581
57.050631,9.908709
55.619014,12.567329
54.935466,8.853912
56.463845,10.036751
56.155337,10.169838
55.672706,12.576185
57.024255,9.899865
57.44456,10.528567
56.164517,9.542594
55.682761,12.455596
56.462411,10.030951
56.140162,10.18426
55.722833,12.580202
56.188745,9.510916
55.646045,12.200939
56.154546,10.18119
55.873854,9.80292
55.311551,10.791463
57.053293,9.911053
56.157592,10.204799
56.185543,10.18822
56.465728,10.031057
55.68401,12.453681
55.870811,9.837631
55.608979,12.598006
55.706622,9.980551
56.466322,10.023023
55.394362,10.380989
57.024716,9.94332
55.969995,12.022272
55.681188,12.51862
55.713657,9.525199
55.679125,12.579776
55.130128,9.131663
57.0229,9.943102
55.375816,10.365862
55.837733,12.065478
55.646859,12.27767
56.161681,9.543793
55.594543,11.865001
56.171371,10.217784
56.185341,10.230212
56.467688,10.065634
55.645472,12.212015
57.058634,9.939259
56.792328,8.853398
55.617819,12.567905
55.868708,9.837878
56.15637,10.14178
56.147477,10.207507
57.047027,9.924122
56.035474,12.611726
55.484532,9.490638
57.036117,9.913894
57.013778,9.891364
55.619189,12.566969
56.204202,10.231046
55.396492,10.390203
56.175601,10.150339
56.451103,9.407502
56.129857,10.180373
55.656717,12.395842
55.5848,12.320129
55.238962,10.479225
55.253885,9.486298
55.390682,10.37903
56.168103,9.547475
55.48424,9.490495
55.474583,8.436725
55.933848,12.295604
56.172789,9.55476
55.470928,8.435758
56.150638,10.170459
55.400224,10.376686
57.039136,9.877359
57.044681,9.949716
55.839884,8.886026
55.645408,12.290196
56.202572,10.234778
56.202392,10.235095
56.039951,12.566716
57.045367,9.929107
55.56012,9.755162
57.051244,9.909947
56.449758,9.400136
56.443659,10.039459
56.45813,10.038997
56.449026,9.406434
55.86767,9.841727
55.403466,10.381807
56.360219,8.623389
57.043738,9.910677
55.596255,12.332843
55.66835,12.534516
55.362346,10.375885
55.49047,9.475061
56.464408,10.026282
57.051955,9.90754
56.18475,10.126189
55.667613,12.531766
55.659507,12.362068
55.657185,12.394943
55.729681,12.353377
57.448367,10.539044
56.970129,9.831531
55.861242,9.858342
56.463588,10.026536
57.046195,9.915179
55.170746,10.734111
55.658057,12.39873
56.186274,10.186238
56.032471,8.854118
57.025637,10.001786
55.24652,9.49037
56.123937,10.170336
54.946481,8.871793
57.048688,9.937919
56.170658,9.552547
55.867078,9.83844
56.463829,10.016934
54.921821,9.596788
56.265321,10.063297
56.472078,10.06717
55.654193,12.518908
55.757104,8.929679
55.707112,12.558923
56.158713,10.195895
57.050246,9.916731
56.470949,10.018602
56.46371,10.045366
57.043917,9.95101
56.163987,10.21343
57.021779,9.866772
55.869458,9.84358
55.694459,12.544151
55.873408,9.803108
57.033648,9.9349
55.402519,11.34967
55.708179,9.554656
