Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Østerlunden, 5000 Odense, Odense C  - Stuen",Odense,Østerlunden,5000,55.401567,10.410733,8.995 kr.,N/A,85 m²,3,Stuen,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,N/A,"Østerlunden er drømmeboligen for dig, der søger en lys lejlighed i funktionelt og tidløst design. Her får du en gennemtænkt planløsning med lækkert køkkenalrum og stort badeværelse. Alt sammen udført i lyse, nordiske materialer med smukke trægulve og store vinduespartier, der giver masser af lys i lejligheden. Fra den skønne altan kan du nyde solen og udsigten til de grønne haverum.

Du har desuden dørtelefon i lejligheden, så du har helt styr på, hvem du lukker ind. Til ejendommen hører naturligvis også elevator, så du kan klare de daglige indkøb uden at få sved på panden. Østerlunden gør det kort sagt nemt at få en harmonisk hverdag – både for familier og singler.",https://www.boligportal.dk/lejligheder/odense/85m2-3-vaer-id-5369264
"Æblegården, 4200 Slagelse",Slagelse,Æblegården,4200,55.412423,11.349266,10.050 kr.,700 kr.,100 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,N/A,"58 rækkehuse opført i 2008 i lyse mursten centralt beliggende i Slagelse på Sjælland.

Med en bolig i Æblegården får du:

- Et rækkehuse opført i 2 etager med egen lille gårdhave samt et mindre skur til opbevaring af cykler og havemøbler m.v.

- Boligerne er mellem 100 og 104 m2 3- eller 4-vær.

- I underetagen befinder der sig en éntre med skabsvæg og hvorfra der er adgang til toilet, åbent køkken og stueareal. Køkkenet er opført i lyse materialer med grå laminatbordplade, som giver et venligt og stringent udtryk.

- Fra stuen er der trappe til boligens 1. sal, hvor der er et stort soveværelse, et mindre børneværelse samt et lille kontor/repos med skab og et stort vindue, som bringer lys igennem hele boligens øvre etage.

- Alle gårdhaver er vestvendte.

- På 1. sal er der ligeledes et badeværelse med lyse skabe og vask samt mørkegrå klinker på gulvet og mørkegrå fliser i brusekabinen.

Bebyggelsen er centreret omkring parkerings- og fællesareal og giver et åbent og imødekommende udtryk. Den er beliggende i et velintegreret boligområde i Slagelse by og har let adgang til byens faciliteter, men har samtidig en rolig beliggenhed, hvor man har adgang til grønne arealer og legepladser m.v. blandt andet en petanque bane.

Vestsjællandscentret ligger 1 km fra bebyggelsen og her er der rig mulighed for dagligvareindkøb, samt shopping og cafebesøg.

Syddansk Universitet, Slagelse, ligger ligeledes 1 km fra bebyggelsen.

Der er kun 1 times kørsel til Hovedstaden og der er god forbindelse til motorvejen og den offentlige transport, således at du med denne centrale beliggenhed i Danmark, kan nå både Hovedstaden og Odense inden for rimelig tid.

Bofællesskaber og delebolig er ikke tilladt.

Det er ej heller muligt at leje en bolig, såfremt du er registreret i RKI.",https://www.boligportal.dk/r%C3%A6kkehuse/slagelse/100m2-4-vaer-id-5345595
"Egevænget, 6392 Bolderslev",Bolderslev,Egevænget,6392,54.993608,9.280516,4.690 kr.,1.060 kr.,65 m²,2,-,Rækkehus,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Lejemålet er beliggende på Egevænget og består af 2 værelser samt køkken og bad. Lejemålet er 65 m2 og er klar til overtagelse 01-11-2023. Månedlig husleje er 4690 kr. og indskud beløber sig til 15405 kr. 

Send en besked, hvis lejemålet har fanget din interesse.
For at kunne leje denne bolig, kræver det man er medlem af boligforeningen. På BoligPortal annonceres kun reelt ledige boliger uden eksisterende venteliste på annonceringstidspunktet. Venligst kontakt udlejer hvis du er interesseret i lejemålet.",https://www.boligportal.dk/r%C3%A6kkehuse/bolderslev/65m2-2-vaer-id-5127527
"Hovervej, 6950 Ringkøbing, Hee  - 1. sal",Ringkøbing,Hovervej,6950,56.14463,8.285607,4.200 kr.,300 kr.,80 m²,3,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,N/A,"Energivenlig og hyggelig lejlighed på 1. sal, med solceller og varmepumpe

Lejligheden består af: 
- Egen indgang på stueplan med faste skabe 
- Stor og lyst køkken-alrum
- 2 værelser; et af dem med fast skab 
- Lille badeværelse med badekar/bruser 

Lejligheden er placeret med to minutters gang til togstation, og tæt på familiepark, pizzeria, busstation, legepladser, skole, børnehave og vuggestue.",https://www.boligportal.dk/lejligheder/ringk%C3%B8bing/80m2-3-vaer-id-5377004
"Ejnar Nielsens Vej, 8883 Gjern  - 1. sal",Gjern,Ejnar Nielsens Vej,8883,56.229904,9.738651,4.450 kr.,950 kr.,60 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,A,"Rigtig flot lejlighed som er helt nyopført i 2018.
Det er forbrugsmålere på alt, vaskeri i kælder.
Lejligheden har dejlig stue, værelse, bad, køkken, samt stor hems som er ca 12 m2.
Opbevaringsrum/pulterum i kælder.
Tæt på naturen.
Samt Randers, Viborg, Silkeborg og Århus 
Indenfor 30 min i bil.",https://www.boligportal.dk/lejligheder/gjern/60m2-2-vaer-id-3897355
"Gammel Kongevej, 1610 København, København V  - 4. sal",København,Gammel Kongevej,1610,55.674071,12.559519,21.400 kr.,1.450 kr.,128 m²,3,4.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,N/A,"Stor 3 værelses bolig i baghus på Gammel Kongevej. 

Ejendommen er beliggende meget centralt i København ved Vesterport Station og lige overfor Planetarium og søerne.

Der er i gården et hyggeligt gårdmiljø, hvor der med grønt afskærmning er placeret flere borde- bænkesæt til fælles benyttelse, hvor du kan nyde en rolig stund midt i Hovedstaden.

I gården findes der også gode muligheder for parkering af din cykel eller ladcykel. 
 
Bemærk venligst at der tages forbehold for, at billederne er vejledende og ikke nødvendigvis fra den specifikke bolig.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/128m2-3-vaer-id-5376174
"Svinget, 6000 Kolding  - 1. sal",Kolding,Svinget,6000,55.483027,9.462762,5.500 kr.,600 kr.,55 m²,2,1.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Nymoderniseret 2-værelses lejlighed med nyrenoveret køkken. Lejligheden er en charmerende og moderne indflytningsklar lejlighed - perfekt til den unge studerende, det unge par eller den enlige der ønsker en lækker lejlighed tæt på byen. Lejligheden er ligger i rolige omgivelser med direkte adgang til en fælles have. 

Det er ikke muligt at leje en bolig i ejendommen såfremt du er registreret i RKI. 

Kontakt os med det samme for en fremvisning.

Ejendommen er beliggende i grønne omgivelser, tæt på byens mange kulturelle tilbud. Munkensdam gymnasium samt de mange uddannelsesinstitutioner er ligeledes indenfor cykelafstand. Ligeledes er ejendommen beliggende tæt på indkøb, fitness mv.

Smukt kvarter med mange fritliggende, unikke ejendomme. Der er brugsret til fælles have samt kælder tilhørende ejendommen. Flere af lejlighederne er med udsigt over byen.",https://www.boligportal.dk/lejligheder/kolding/55m2-2-vaer-id-5378773
"Skræddervej, 8920 Randers, Randers NV",Randers,Skræddervej,8920,56.478274,10.024367,9.950 kr.,0 kr.,109 m²,3,-,Rækkehus,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,N/A,"Indbydende 4-værelses rækkehus beliggende i Randers NV.

Skøn terrasse og egen carport. 

Husdyr er tilladt.",https://www.boligportal.dk/r%C3%A6kkehuse/randers/109m2-3-vaer-id-5373865
"Johs. Jensens Allé, 7000 Fredericia  - 2. sal",Fredericia,Johs. Jensens Allé,7000,55.576292,9.746081,4.200 kr.,600 kr.,53 m²,2,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,N/A,"✔ Rolige omgivelser
✔ Nye gulve
✔ Fælles baghave

𝗟𝗶𝗱𝘁 𝗼𝗺 𝗹𝗲𝗷𝗹𝗶𝗴𝗵𝗲𝗱𝗲𝗻:
Lejlighedens  kvm er indrettet med en entré, rummelig lys stue, et fint lille køkken, badeværelse og soveværelse. Køkkenet er indrettet med ovn, komfur og køleskab. Til lejligheden er der en lille fælles baggård.  
Lejligheden er perfekt til dig/jer, som ønsker en mindre lejlighed tæt på alt. 

𝗟𝗶𝗱𝘁 𝗼𝗺 𝗯𝗲𝗹𝗶𝗴𝗴𝗲𝗻𝗵𝗲𝗱𝗲𝗻:
Her fra Johs. Jensens Allé er du få skridt fra indkøbsmuligheder, gymnasiet, Dino legeland og byens centrum med caféer og butikker. Stationen kommer du hurtigt til på gåben eller cykel, og i bil er du lynhurtigt på landevejen eller motorvejen. 𝗗𝗲𝘁 𝗯𝗹𝗶𝘃𝗲𝗿 𝗶𝗸𝗸𝗲 𝗻𝗲𝗺𝗺𝗲𝗿𝗲. 

𝗟𝗶𝗱𝘁 𝗼𝗺 𝗱𝗶𝗻 𝘂𝗱𝗹𝗲𝗷𝗲𝗿:
Vi har mange års erfaring med udlejning af egen lejemål samt for andre, og vi har egne viceværter og egen administration med kontor Fredericia. Vores lejere kan få fat på os via mail og på telefon ligesom du  altid er velkommen til at besøge os på kontoret.

Kontakt os for en 𝗽𝗲𝗿𝘀𝗼𝗻𝗹𝗶𝗴 𝗳𝗿𝗲𝗺𝘃𝗶𝘀𝗻𝗶𝗻𝗴 af lejligheden. Vi vender tilbage hurtigst muligt på hverdage indenfor normal arbejdstid.",https://www.boligportal.dk/lejligheder/fredericia/53m2-2-vaer-id-811438
"Kirkebjerg Parkvej, 2605 København, Brøndby  - Stuen",København,Kirkebjerg Parkvej,2605,55.658543,12.395401,14.995 kr.,750 kr.,89 m²,3,Stuen,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,N/A,"Livet leves i Kirkebjerg Park i trygge, moderne rammer. De attraktive lejligheder opføres midt i et område i spændende udvikling - som en central del af Glostrups nye, inspirerende bymidte hen over jernbanen, tæt på skoler, indkøbsmuligheder og offentlig transport. Bebyggelsen, i 3-5 etager, fremstår i varme naturfarvede sten og vil danne trygge komfortable rammer for den kvalitetsbevidste livsnyder med plads til fordybelse på tagterrassen eller på altanen med smuk
udsigt. Boligerne indeholder alle moderne bekvemmeligheder i et stilrent, arkitektonisk udtryk fordelt på 2- 3-værelses lejligheder - henvender sig til alle aldre. Når storbyen kalder, er der mulighed for at komme til København på 18 minutter med tog fra Glostrup Station.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/89m2-3-vaer-id-5374894
